Compound Id	LUMO
t2	3.21
t3	1.05
t4	1.16
t8	1.16
t9	3.14
t10	3.04
t11	3.01
t15	1.19
t16	3.29
t17	3.32
t18	3.30
t19	-0.41
t20	-0.39
t22	-0.37
t24	0.44
t27	0.36
t28	-1.06
t29	-0.34
t30	-0.97
t31	-0.54
t32	-1.01
t33	-0.48
t35	-0.96
t36	-0.53
t37	-1.04
t38	-1.00
t39	-0.56
t41	-0.78
t42	-1.22
t44	-0.92
t46	-0.80
t52	-0.60
t53	-0.71
t54	-0.75
t56	-1.65
t57	-1.79
t58	0.28
t60	1.16
t62	2.94
t63	2.89
t64	2.50
t65	2.87
t66	2.84
t69	2.50
t72	3.26
t74	0.38
t78	0.39
t79	-0.26
t81	0.33
t82	0.31
t84	0.39
t89	0.36
t90	0.03
t91	0.05
t92	-0.02
t93	0.02
t94	-0.03
t95	-0.08
t96	0.09
t98	0.08
t100	-0.22
t102	-0.22
t103	-0.26
t104	-0.27
t106	-0.64
t107	-0.50
t108	-0.55
t111	3.40
t113	0.88
t114	3.31
t116	-0.80
t117	0.65
t118	0.29
t121	-0.74
t122	0.30
t123	-0.01
t124	-0.05
t125	0.60
t126	-0.74
t127	-0.93
t128	-1.35
t129	-1.46
t130	-1.08
t131	-1.61
t132	-1.51
t133	0.43
t134	3.27
t135	0.92
t136	1.21
t137	0.97
t138	-0.35
t139	-1.26
t140	-1.26
t144	-0.23
t146	-0.62
t147	0.34
t148	-0.48
t149	3.29
t150	3.17
t151	0.42
t154	3.19
t155	1.17
t156	-0.76
t160	-1.00
t161	-1.11
t162	-0.07
t163	-0.35
t164	-0.40
t166	-0.68
t167	-0.59
t168	-0.56
t169	-0.59
t171	-0.29
t172	-0.69
t173	-0.37
t175	-0.29
t176	-0.66
t177	-0.58
t178	-0.68
t179	-0.97
t180	-0.68
t181	-0.78
t182	-0.56
t184	-0.85
t185	-0.46
t188	-0.81
t191	0.09
t192	0.05
t193	-0.17
t194	-0.19
t195	-0.32
t196	-0.70
t197	-0.33
t198	-0.38
t200	-0.64
t201	-0.74
t202	-0.56
t203	-0.81
t207	-0.74
t208	-0.78
t209	-0.85
t210	-0.73
t212	-0.85
t213	-0.84
t214	-0.81
t215	-0.60
t216	-0.71
t218	0.50
t219	-0.16
t221	-1.54
t222	-0.09
t225	-0.68
t226	-0.63
t227	-0.93
t229	-0.12
t230	-1.55
t231	-0.86
t232	1.02
t233	0.63
t234	0.07
t235	-0.95
t236	-0.95
t239	-0.33
t240	0.39
t244	-0.46
t245	-0.61
t248	0.03
t249	-1.19
t251	-0.45
t252	-0.53
t253	-1.06
t256	-0.49
t257	-0.58
t259	-0.04
t262	-0.15
t263	-0.57
t266	0.78
t268	0.15
t269	-0.53
t271	-1.06
t272	-0.88
t273	-0.41
t274	-1.14
t276	2.24
t277	2.80
t279	2.81
t281	2.42
t282	1.33
t284	1.09
t286	0.57
t287	-0.09
t288	0.57
t289	0.27
t290	0.43
t291	0.44
t293	0.39
t294	0.14
t295	-0.06
t296	0.46
t297	0.42
t298	0.41
t299	0.43
t300	0.13
t301	-0.11
t303	-0.12
t304	0.13
t306	0.29
t307	0.35
t308	-1.00
t312	-0.16
t313	-1.13
t314	-1.08
t315	-1.08
t316	-1.11
t323	0.57
t324	0.38
t327	-1.08
t328	-1.01
t330	-1.13
t331	-1.01
t334	-1.12
t335	-1.22
t336	-1.34
t339	-0.29
t340	0.77
t342	-0.23
t344	0.02
t345	-0.38
t346	-0.51
t349	-0.48
t350	-1.29
t351	-1.21
t352	-0.32
t354	0.11
t355	0.04
t357	2.84
t358	2.73
t359	0.03
t360	0.61
t361	0.19
t363	1.26
t364	-0.83
t366	-0.73
t368	-0.31
t369	-0.29
t370	-1.15
t372	0.16
t373	0.23
t374	0.18
t378	-0.22
t380	-0.98
t381	-0.41
t382	-0.30
t383	-0.63
t384	-0.73
t385	-0.19
t386	-2.27
t387	0.90
t388	-1.75
t389	-1.14
t390	-1.16
t391	-1.05
t392	-1.40
t393	0.02
t394	-1.49
t398	0.32
t402	-0.32
t403	-1.06
t404	0.22
t406	-0.30
t407	2.66
t408	0.02
t410	-0.29
t411	-0.75
t412	-0.55
t413	-1.51
t416	-1.18
t422	-0.75
t423	-0.14
t427	-2.56
t431	-0.32
t432	0.10
t433	0.12
t434	-0.20
t436	-1.64
t437	-1.79
t440	-0.10
t441	-0.01
t442	-0.52
t446	-2.15
t448	-0.67
t449	-0.09
t450	-0.55
t451	-1.17
t452	-0.40
t453	-1.05
t455	-0.96
t458	-1.32
t459	-1.31
t460	-1.41
t463	-0.96
t464	0.12
t465	-1.69
t466	-1.60
t468	-1.35
t469	-2.05
t470	-1.35
t471	-1.37
t472	-1.59
t473	-1.54
p1	3.32
p5	1.05
p6	3.28
p7	3.27
p12	-0.79
p13	3.34
p14	3.30
p21	-0.35
p23	-0.33
p25	0.42
p26	0.42
p34	-0.95
p40	-0.93
p43	-1.28
p45	-0.79
p47	-0.53
p48	-1.07
p49	-0.52
p50	-1.07
p51	-1.05
p55	-1.78
p59	1.11
p61	0.18
p67	2.86
p68	1.27
p70	-1.16
p71	0.32
p73	0.20
p75	0.08
p76	0.40
p77	0.35
p80	0.36
p83	0.32
p85	0.39
p86	0.42
p87	0.39
p88	0.24
p97	0.02
p99	-0.25
p101	-0.18
p105	-0.43
p109	-0.71
p110	1.09
p112	3.48
p115	3.11
p119	0.23
p120	-0.24
p141	-1.16
p142	-1.48
p143	-1.34
p145	0.26
p152	3.35
p153	3.26
p157	-0.66
p158	-0.96
p159	-0.83
p165	-0.68
p170	-0.38
p174	-0.40
p183	-0.50
p186	-0.52
p187	-1.08
p189	0.06
p190	-0.05
p199	-0.44
p204	-1.08
p205	-0.29
p206	-0.64
p211	-0.74
p217	-0.54
p220	-0.68
p223	0.21
p224	-0.14
p228	1.31
p237	0.25
p238	-0.08
p241	-0.14
p242	0.01
p243	-0.40
p246	-0.18
p247	0.15
p250	1.31
p254	-0.52
p255	-0.40
p258	-0.59
p260	-0.30
p261	-0.54
p264	3.06
p265	2.98
p267	0.40
p270	-1.24
p275	2.34
p278	0.54
p280	2.35
p283	1.42
p285	0.50
p292	0.41
p302	-0.17
p305	-0.30
p309	-1.05
p310	-1.01
p311	-1.17
p317	-1.27
p318	-1.36
p319	-1.91
p320	-1.49
p321	0.10
p322	0.41
p325	0.18
p326	-1.06
p329	-1.03
p332	-1.03
p333	-1.81
p337	-1.16
p338	-0.52
p343	0.30
p347	-0.35
p348	-0.56
p353	0.06
p356	-0.65
p362	-0.20
p365	0.26
p367	-0.59
p371	0.24
p375	0.30
p377	-0.34
p379	-0.15
p395	-1.58
p396	0.16
p397	0.12
p399	-0.43
p400	0.02
p401	-0.19
p405	-0.47
p409	-0.57
p414	-1.31
p415	-1.87
p417	-0.66
p419	-0.11
p421	-1.52
p424	1.24
p425	2.45
p426	0.01
p435	-0.35
p438	-0.96
p439	0.54
p443	-0.53
p444	0.05
p445	-0.72
p447	-1.42
p454	-0.95
p456	-1.38
p457	-1.23
p461	-1.05
p462	-0.71
p467	-1.37
e2	-0.96
e6	-1.04
e8	-0.95
e11	-1.42
e21	0.10
e23	0.26
e24	-0.13
e40	-0.79
e41	1.33
e50	-1.59
e68	-2.53
e76	-0.35
e78	-1.61
e79	-1.04
e83	-0.83
e84	-1.60
e89	-0.38
e96	-0.44
e98	-1.26
e103	-2.03
e104	-3.13
e112	-0.76
e118	-0.88
e128	0.30
e144	-0.62
e147	-1.49
e160	0.21
e165	-2.55
e172	-2.96
e177	-0.09
e190	0.31
e191	-1.02
e196	-0.32
e197	-0.19
e202	-0.45
e203	-0.11
e214	0.28
e219	0.79
e222	2.58
e238	-0.72
e240	-0.76
e243	-1.20
e246	-0.16
e251	-1.50
e252	-3.39
e254	-2.46
e257	-2.35
e260	-2.02
e264	-0.96
e288	-3.36
e301	-2.25
e302	-2.01
e303	-1.96
e304	-1.39
e305	-2.14
e307	-1.94
e309	-0.05
e312	-1.03
e315	-0.83
e323	-1.72
e327	2.73
e332	0.34
e335	-2.05
e341	2.82
e343	-1.47
e349	-1.61
e358	-2.21
e363	0.99
e377	-0.53
e378	-0.66
e379	-0.56
e381	-0.80
e382	-0.55
e384	0.37
e386	-1.95
e388	0.27
e390	-0.57
e398	-0.04
e399	-0.80
e402	-0.68
e403	-0.54
e404	-0.41
e405	1.25
e406	-1.01
e407	-2.09
e409	-1.21
e413	-1.31
e414	-1.84
e420	0.82
e422	-2.57
e424	-1.88
e427	-1.01
e429	-0.30
e431	-1.08
e435	-1.88
e436	-0.81
e437	-2.13
e438	-0.67
e441	-0.58
e448	2.93
e450	-0.78
e451	-0.54
e452	-0.60
e459	0.45
e460	-0.86
e468	-0.50
e469	-1.33
e471	-0.81
e472	-1.05
e473	-1.27
e474	0.13
e475	-0.84
e476	1.10
e479	-0.41
e491	-2.07
e492	-0.37
e493	-0.38
e494	0.19
e495	-1.79
e497	-0.47
e504	2.20
e506	-1.98
e509	-2.20
e513	-0.72
e514	0.05
e515	0.36
e525	-0.89
e526	-0.25
e529	-0.14
e535	-0.20
e539	-1.69
e540	-0.68
e546	-2.58
e548	-2.36
e549	-0.60
e554	0.33
e555	-0.31
e556	-0.70
e557	-0.98
e558	-0.77
e559	-0.02
e561	0.87
e565	-0.73
e567	-0.62
e568	-0.56
e569	-0.68
e585	-0.95
e587	-0.96
e592	-0.65
e596	-0.99
e600	-0.58
e602	-0.42
e606	-0.47
e607	-0.62
e608	-0.35
e609	-0.45
e614	0.98
e625	-1.70
e629	-0.54
e630	0.13
e637	-0.21
