Compound Id	THSA
t2	553.32
t3	571.84
t4	548.64
t8	557.92
t9	643.42
t10	500.10
t11	591.25
t15	542.17
t16	429.13
t17	387.17
t18	457.10
t19	375.11
t20	425.21
t22	443.45
t24	473.85
t27	423.43
t28	370.83
t29	420.51
t30	435.52
t31	423.83
t32	427.46
t33	501.78
t35	482.64
t36	465.79
t37	429.81
t38	468.03
t39	481.29
t41	476.51
t42	488.15
t44	564.31
t46	426.75
t52	473.43
t53	488.77
t54	507.92
t56	379.23
t57	584.76
t58	382.59
t60	506.06
t62	311.00
t63	240.33
t64	238.01
t65	384.13
t66	443.16
t69	362.04
t72	299.91
t74	481.10
t78	449.37
t79	391.75
t81	400.02
t82	573.97
t84	442.00
t89	475.49
t90	313.37
t91	290.51
t92	304.70
t93	319.11
t94	296.21
t95	311.30
t96	376.45
t98	356.31
t100	401.52
t102	342.88
t103	334.20
t104	307.71
t106	386.55
t107	364.55
t108	318.83
t111	385.81
t113	525.32
t114	496.06
t116	318.63
t117	229.47
t118	558.65
t121	545.23
t122	370.00
t123	663.07
t124	352.40
t125	294.51
t126	365.02
t127	287.95
t128	307.24
t129	321.70
t130	335.02
t131	344.81
t132	369.65
t133	425.96
t134	448.25
t135	458.30
t136	427.31
t137	410.91
t138	449.25
t139	450.00
t140	542.34
t144	595.14
t146	347.59
t147	426.50
t148	378.01
t149	615.97
t150	715.42
t151	458.95
t154	508.61
t155	627.28
t156	456.80
t160	480.50
t161	498.51
t162	446.59
t163	501.46
t164	507.80
t166	474.89
t167	486.26
t168	485.56
t169	509.15
t171	478.18
t172	505.37
t173	538.99
t175	454.33
t176	498.64
t177	451.75
t178	519.83
t179	511.17
t180	546.14
t181	521.01
t182	508.38
t184	660.18
t185	502.10
t188	513.24
t191	420.88
t192	402.97
t193	444.80
t194	404.49
t195	434.73
t196	392.51
t197	440.79
t198	439.12
t200	484.97
t201	478.05
t202	459.24
t203	496.84
t207	570.21
t208	546.49
t209	593.94
t210	561.76
t212	558.85
t213	574.92
t214	567.57
t215	536.88
t216	587.62
t218	392.34
t219	356.52
t221	375.56
t222	455.51
t225	483.82
t226	400.84
t227	513.40
t229	645.52
t230	568.71
t231	409.37
t232	507.04
t233	564.63
t234	506.80
t235	417.65
t236	442.55
t239	326.14
t240	482.03
t244	487.33
t245	373.96
t248	563.96
t249	589.78
t251	533.83
t252	494.56
t253	497.44
t256	408.63
t257	486.13
t259	577.06
t262	555.66
t263	585.63
t266	776.65
t268	666.81
t269	506.27
t271	656.58
t272	755.37
t273	943.59
t274	892.80
t276	915.94
t277	338.40
t279	348.48
t281	330.52
t282	363.66
t284	346.88
t286	387.68
t287	359.27
t288	420.03
t289	395.06
t290	412.16
t291	417.15
t293	487.88
t294	445.07
t295	583.70
t296	418.27
t297	386.74
t298	425.08
t299	408.75
t300	457.70
t301	464.22
t303	458.96
t304	515.65
t306	407.06
t307	402.39
t308	495.73
t312	481.45
t313	335.79
t314	382.04
t315	384.08
t316	414.77
t323	297.78
t324	491.96
t327	379.13
t328	375.27
t330	376.02
t331	361.20
t334	554.25
t335	247.29
t336	257.60
t339	558.19
t340	457.35
t342	503.53
t344	598.33
t345	496.31
t346	400.24
t349	524.59
t350	432.33
t351	472.72
t352	501.33
t354	333.51
t355	366.12
t357	395.98
t358	419.60
t359	290.57
t360	309.71
t361	421.55
t363	417.61
t364	270.00
t366	316.48
t368	474.16
t369	499.72
t370	563.46
t372	750.55
t373	331.25
t374	570.11
t378	434.79
t380	380.00
t381	345.75
t382	423.94
t383	410.44
t384	342.47
t385	345.36
t386	604.52
t387	433.91
t388	427.30
t389	402.16
t390	337.50
t391	378.79
t392	437.50
t393	456.82
t394	286.58
t398	407.14
t402	388.26
t403	354.91
t404	262.31
t406	369.78
t407	324.64
t408	574.02
t410	273.94
t411	406.84
t412	569.58
t413	664.93
t416	344.31
t422	538.44
t423	509.83
t427	453.23
t431	319.72
t432	522.00
t433	583.52
t434	605.40
t436	400.40
t437	405.33
t440	442.71
t441	267.49
t442	701.83
t446	588.18
t448	315.35
t449	370.80
t450	474.53
t451	531.45
t452	458.51
t453	393.08
t455	364.63
t458	482.44
t459	555.24
t460	497.68
t463	368.89
t464	396.23
t465	342.53
t466	540.35
t468	457.14
t469	809.32
t470	534.25
t471	576.99
t472	613.42
t473	533.88
p1	572.48
p5	471.28
p6	446.96
p7	513.72
p12	381.41
p13	434.86
p14	428.76
p21	463.11
p23	513.20
p25	468.75
p26	425.12
p34	478.86
p40	490.47
p43	503.56
p45	423.84
p47	479.94
p48	458.79
p49	481.36
p50	444.02
p51	444.46
p55	391.26
p59	409.26
p61	509.14
p67	535.41
p68	481.23
p70	287.76
p71	626.87
p73	380.54
p75	420.09
p76	411.08
p77	511.78
p80	362.04
p83	473.30
p85	481.55
p86	539.59
p87	518.16
p88	484.80
p97	362.05
p99	316.67
p101	368.46
p105	353.56
p109	873.33
p110	404.46
p112	444.23
p115	385.05
p119	526.19
p120	489.45
p141	428.31
p142	500.41
p143	433.84
p145	502.73
p152	462.58
p153	476.60
p157	490.42
p158	490.74
