Compound Id	min_HA_HD
t2	0
t3	0
t4	0
t8	0
t9	0
t10	1
t11	1
t15	0
t16	0
t17	0
t18	0
t19	0
t20	0
t22	0
t24	0
t27	1
t28	0
t29	0
t30	0
t31	0
t32	0
t33	0
t35	0
t36	0
t37	0
t38	0
t39	0
t41	0
t42	0
t44	0
t46	0
t52	0
t53	0
t54	0
t56	1
t57	1
t58	0
t60	0
t62	2
t63	2
t64	4
t65	1
t66	1
t69	3
t72	1
t74	0
t78	0
t79	0
t81	1
t82	1
t84	1
t89	3
t90	1
t91	1
t92	1
t93	1
t94	1
t95	1
t96	2
t98	2
t100	1
t102	1
t103	1
t104	1
t106	1
t107	2
t108	1
t111	0
t113	0
t114	0
t116	1
t117	4
t118	1
t121	4
t122	2
t123	3
t124	2
t125	4
t126	1
t127	2
t128	2
t129	2
t130	2
t131	3
t132	3
t133	0
t134	0
t135	0
t136	0
t137	0
t138	0
t139	2
t140	2
t144	1
t146	2
t147	1
t148	0
t149	0
t150	0
t151	0
t154	0
t155	0
t156	0
t160	3
t161	3
t162	0
t163	0
t164	0
t166	0
t167	0
t168	0
t169	0
t171	0
t172	0
t173	0
t175	0
t176	0
t177	0
t178	0
t179	0
t180	0
t181	0
t182	0
t184	0
t185	0
t188	0
t191	1
t192	1
t193	0
t194	0
t195	0
t196	0
t197	0
t198	0
t200	0
t201	0
t202	0
t203	0
t207	0
t208	0
t209	0
t210	0
t212	0
t213	0
t214	0
t215	6
t216	0
t218	2
t219	1
t221	1
t222	3
t225	0
t226	2
t227	2
t229	2
t230	2
t231	4
t232	2
t233	3
t234	4
t235	0
t236	0
t239	0
t240	1
t244	1
t245	0
t248	6
t249	6
t251	5
t252	1
t253	3
t256	1
t257	1
t259	2
t262	0
t263	5
t266	4
t268	2
t269	6
t271	4
t272	4
t273	4
t274	6
t276	1
t277	3
t279	3
t281	4
t282	2
t284	3
t286	1
t287	2
t288	1
t289	1
t290	1
t291	2
t293	1
t294	1
t295	2
t296	2
t297	1
t298	1
t299	1
t300	2
t301	2
t303	2
t304	2
t306	2
t307	1
t308	2
t312	0
t313	0
t314	2
t315	2
t316	2
t323	2
t324	2
t327	1
t328	3
t330	3
t331	3
t334	0
t335	0
t336	0
t339	5
t340	2
t342	2
t344	4
t345	1
t346	2
t349	1
t350	2
t351	2
t352	4
t354	2
t355	2
t357	2
t358	2
t359	6
t360	1
t361	1
t363	3
t364	1
t366	3
t368	7
t369	7
t370	10
t372	4
t373	4
t374	4
t378	3
t380	1
t381	2
t382	1
t383	0
t384	1
t385	1
t386	0
t387	1
t388	0
t389	3
t390	3
t391	4
t392	1
t393	2
t394	1
t398	1
t402	5
t403	2
t404	4
t406	2
t407	1
t408	12
t410	9
t411	2
t412	6
t413	8
t416	3
t422	2
t423	6
t427	6
t431	4
t432	3
t433	2
t434	3
t436	1
t437	1
t440	1
t441	2
t442	4
t446	6
t448	2
t449	4
t450	7
t451	6
t452	0
t453	3
t455	4
t458	6
t459	0
t460	0
t463	4
t464	2
t465	8
t466	4
t468	2
t469	12
t470	3
t471	5
t472	6
t473	2
p1	0
p5	0
p6	0
p7	0
p12	1
p13	0
p14	0
p21	0
p23	0
p25	0
p26	0
p34	0
p40	0
p43	0
p45	0
p47	0
p48	0
p49	0
p50	0
p51	0
p55	1
p59	0
p61	0
p67	1
p68	1
p70	4
p71	4
p73	0
p75	0
p76	0
p77	0
p80	1
p83	1
p85	1
p86	1
p87	1
p88	1
p97	2
p99	1
p101	1
p105	1
p109	3
p110	0
