Compound Id	WPSA1
t2	249.32
t3	257.20
t4	240.05
t8	265.95
t9	348.14
t10	250.70
t11	361.53
t15	210.88
t16	158.28
t17	138.68
t18	178.23
t19	80.76
t20	106.26
t22	124.58
t24	145.30
t27	168.46
t28	76.80
t29	105.73
t30	102.51
t31	97.85
t32	97.63
t33	148.61
t35	133.54
t36	121.15
t37	101.60
t38	120.71
t39	121.42
t41	120.07
t42	124.17
t44	166.11
t46	90.78
t52	102.85
t53	99.82
t54	110.28
t56	17.56
t57	105.63
t58	93.76
t60	203.14
t62	125.30
t63	104.76
t64	128.10
t65	135.93
t66	181.68
t69	202.59
t72	98.65
t74	151.55
t78	148.23
t79	86.77
t81	142.22
t82	287.03
t84	187.42
t89	249.68
t90	88.64
t91	67.98
t92	71.79
t93	89.72
t94	67.91
t95	72.02
t96	107.56
t98	100.50
t100	101.49
t102	80.49
t103	82.88
t104	61.30
t106	66.19
t107	140.65
t108	106.76
t111	123.61
t113	194.55
t114	211.82
t116	71.66
t117	114.92
t118	320.54
t121	110.72
t122	153.55
t123	427.09
t124	137.25
t125	169.17
t126	74.97
t127	95.46
t128	126.46
t129	98.64
t130	119.57
t131	125.38
t132	193.95
t133	126.98
t134	183.89
t135	149.29
t136	146.93
t137	121.44
t138	120.43
t139	175.80
t140	263.79
t144	266.64
t146	104.13
t147	156.30
t148	101.69
t149	304.66
t150	393.75
t151	160.64
t154	236.60
t155	285.70
t156	60.55
t160	68.47
t161	71.82
t162	99.54
t163	117.31
t164	119.91
t166	91.00
t167	94.59
t168	96.05
t169	112.97
t171	86.09
t172	83.50
t173	103.15
t175	71.10
t176	79.87
t177	78.47
t178	106.53
t179	75.39
t180	109.75
t181	80.13
t182	78.76
t184	127.89
t185	77.19
t188	75.51
t191	104.36
t192	83.39
t193	98.55
t194	70.44
t195	69.19
t196	53.56
t197	77.95
t198	60.85
t200	85.11
t201	61.39
t202	67.51
t203	86.91
t207	130.29
t208	116.43
t209	125.40
t210	114.84
t212	97.78
t213	102.59
t214	73.56
t215	73.06
t216	119.11
t218	69.50
t219	54.47
t221	55.76
t222	87.35
t225	90.17
t226	71.33
t227	168.48
t229	260.91
t230	120.13
t231	65.50
t232	161.70
t233	184.93
t234	147.67
t235	81.59
t236	85.20
t239	66.97
t240	135.55
t244	130.91
t245	63.46
t248	110.04
t249	108.71
t251	204.63
t252	94.69
t253	217.28
t256	121.79
t257	170.62
t259	217.89
t262	196.86
t263	107.99
t266	953.96
t268	388.96
t269	130.56
t271	427.71
t272	562.64
t273	859.58
t274	838.94
t276	790.64
t277	130.35
t279	162.52
t281	181.57
t282	127.58
t284	165.83
t286	102.58
t287	116.79
t288	143.39
t289	110.18
t290	117.43
t291	153.77
t293	192.57
t294	130.30
t295	231.52
t296	149.52
t297	114.53
t298	135.71
t299	125.56
t300	145.19
t301	128.57
t303	126.63
t304	173.60
t306	141.57
t307	119.18
t308	141.57
t312	135.26
t313	46.28
t314	71.83
t315	66.90
t316	76.62
t323	103.42
t324	191.23
t327	66.01
t328	87.19
t330	79.75
t331	87.53
t334	108.50
t335	69.30
t336	66.33
t339	205.56
t340	221.46
t342	146.79
t344	237.69
t345	128.68
t346	127.04
t349	165.18
t350	173.44
t351	209.07
t352	143.30
t354	110.81
t355	145.72
t357	180.80
t358	196.94
t359	126.33
t360	68.77
t361	126.73
t363	120.50
t364	122.42
t366	103.80
t368	162.97
t369	183.13
t370	160.65
t372	652.95
t373	156.87
t374	366.16
t378	189.81
t380	81.67
t381	81.94
t382	116.73
t383	86.84
t384	81.23
t385	48.50
t386	13.55
t387	141.77
t388	56.73
t389	94.56
t390	63.20
t391	102.89
t392	83.17
t393	185.82
t394	82.99
t398	125.87
t402	154.22
t403	85.33
t404	87.34
t406	82.12
t407	96.37
t408	379.16
t410	201.18
t411	168.56
t412	364.20
t413	259.02
t416	92.04
t422	145.17
t423	59.82
t427	232.44
t431	149.23
t432	153.64
t433	247.28
t434	348.58
t436	78.70
t437	92.91
t440	167.79
t441	127.66
t442	448.39
t446	267.08
t448	84.16
t449	153.82
t450	120.43
t451	222.02
t452	150.45
t453	131.81
t455	122.42
t458	265.21
t459	232.82
t460	167.38
t463	131.05
t464	200.43
t465	152.39
t466	313.45
t468	177.93
t469	583.16
t470	251.69
t471	205.50
t472	315.60
t473	176.69
p1	243.17
p5	192.06
p6	179.49
p7	243.55
p12	57.05
p13	158.34
p14	161.14
p21	127.41
p23	158.95
p25	151.18
p26	137.50
p34	138.06
p40	129.08
p43	130.11
p45	92.30
p47	136.03
p48	78.40
p49	131.26
p50	70.44
p51	73.33
p55	27.26
p59	137.08
p61	186.50
p67	245.58
p68	204.45
p70	169.90
p71	546.15
p73	95.59
p75	126.16
p76	126.17
p77	174.14
p80	126.15
p83	218.52
p85	206.63
p86	270.49
p87	251.87
p88	161.17
p97	114.64
p99	70.71
p101	94.46
p105	77.48
p109	605.65
p110	116.34
p112	143.53
p115	167.61
p119	154.47
p120	148.14
p141	221.50
p142	185.47
p143	119.44
p145	166.25
p152	188.13
p153	197.92
p157	94.44
p158	79.05
p159	56.78
p165	98.93
p170	83.96
p174	78.49
p183	77.24
p186	132.06
p187	125.86
p189	77.00
p190	77.43
p199	91.87
p204	63.86
p205	149.02
p206	119.09
p211	113.87
p217	108.47
p220	35.33
p223	149.53
p224	117.33
p228	128.81
p237	53.93
p238	91.25
p241	87.66
p242	95.42
p243	123.63
p246	139.85
p247	246.46
p250	128.12
p254	112.50
p255	129.52
p258	61.31
p260	96.63
p261	119.91
p264	432.60
p265	250.99
p267	297.00
p270	18.25
p275	121.61
p278	94.09
p280	153.59
p283	96.00
p285	71.80
p292	154.22
p302	59.30
p305	90.57
p309	105.83
p310	76.70
p311	127.27
p317	58.87
p318	47.24
p319	82.77
p320	45.51
p321	184.81
p322	177.91
p325	240.06
p326	118.04
p329	80.90
p332	72.55
p333	38.15
p337	80.27
p338	131.86
p343	189.40
p347	116.53
p348	168.72
p353	120.79
p356	93.99
p362	200.59
p365	122.76
p367	169.97
p371	288.65
p375	928.97
p377	105.79
p379	68.51
p395	72.01
p396	159.38
p397	153.91
p399	151.92
p400	125.76
p401	109.91
p405	72.78
p409	66.51
p414	512.23
p415	394.03
p417	334.39
p419	125.94
p421	86.29
p424	104.67
p425	135.53
p426	252.68
p435	106.11
p438	291.90
p439	318.74
p443	593.72
p444	680.61
p445	568.23
p447	239.52
p454	126.49
p456	143.98
p457	208.80
p461	216.34
p462	217.52
p467	235.80
e2	48.29
e6	50.80
e8	325.65
e11	242.92
