solvent,SMILES,a,csid
"1,2-dichloroethane",ClCCCl,-2.801,13837650
"1,4-dioxane",O1CCOCC1,-0.582,29015
1-butanol,CCCCO,0.056,258
1-chlorobutane,ClCCCC,-2.918,7714
1-decanol,OCCCCCCCCCC,0.026,7882
1-heptanol,OCCCCCCC,0.002,7837
1-hexanol,OCCCCCC,0.054,7812
1-octanol,OCCCCCCCC,-0.024,932
1-pentanol,OCCCCC,0.141,6040
1-propanol,CCCO,0.247,1004
"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,-3.687,10445
2-butanol,OC(C)CC,0.158,6320
2-methyl-1-propanol,OCC(C)C,0.016,6312
2-methyl-2-propanol,OC(C)(C)C,0.331,6146
2-pentanol,OC(C)CCC,0.206,21011
2-propanol,CC(O)C,0.406,3644
3-methyl-1-butanol,OCCC(C)C,0.09,29000
acetone,CC(=O)C,-0.608,175
acetonitrile,CC#N,-1.566,6102
benzene,c1ccccc1,-3.009,236
benzonitrile,c1ccc(cc1)C#N,-1.605,7224
bromobenzene,Brc1ccccc1,-3.174,7673
butanone,O=C(C)CC,-0.767,6321
butyl acetate,O=C(OCCCC)C,-0.867,29012
carbon tetrachloride,ClC(Cl)(Cl)Cl,-3.56,5730
chlorobenzene,Clc1ccccc1,-3.183,7676
chloroform,C(Cl)(Cl)Cl,-3.112,5977
cyclohexane,C1CCCCC1,-3.74,7787
cyclohexanone,O=C1CCCCC1,-0.976,7679
decane,C(CCCCCCCC)C,-3.449,14840
dibutyl ether,O(CCCC)CCCC,-1.414,8569
dibutylformamide,O=C(NCCCC)CCCC,0.358,121365
dichloromethane,C(Cl)Cl,-3.058,6104
diethyl ether,CCOCC,-0.588,3168
diethylacetamide,O=C(N(CC)CC)C,1.342,12181
dodecane,C(CCCCCCCC)CCC,-3.545,7890
ethanol,CCO,0.326,682
ethyl acetate,O=C(OCC)C,-0.7,8525
ethylbenzene,CCc1ccccc1,-3.001,7219
fluorobenzene,Fc1ccccc1,-3.03,9614
heptane,CCCCCCC,-3.571,8560
hexane,CCCCCC,-3.578,7767
methanol,CO,0.243,864
methyl acetate,O=C(OC)C,-1.035,6335
methyl tert-butyl ether,O(C(C)(C)C)C,-0.618,14672
methylcyclohexane,CC1CCCCC1,-3.517,7674
m-xylene,Cc1cccc(c1)C,-2.981,7641
N-ethylacetamide,O=C(NCC)C,1.18,11752
N-ethylformamide,O=CNCC,0.935,11815
N-methyl-2-piperidone,O=C1N(C)CCCC1,1.556,13014
N-methylacetamide,O=C(NC)C,1.305,6334
N-methylformamide,O=CNC,0.542,28994
N-methylpyrrolidinone,O=C1N(C)CCC1,0.84,12814
nonane,CCCCCCCCC,-3.532,7849
octane,CCCCCCCC,-3.585,349
o-xylene,Cc1ccccc1C,-2.884,6967
pentane,CCCCC,-3.535,7712
propylene carbonate,CC1COC(=O)O1,-1.283,7636
p-xylene,Cc1ccc(cc1)C,-2.939,7521
sulfolane,C1CCS(=O)(=O)C1,-0.381,29080
THF,C1CCOC1,-0.238,7737
toluene,c1ccccc1C,-3.002,1108
undecane,C(CCCCCCCC)CC,-3.421,13619
