Compound Id	Molecular weight
[Bmim][PF6]_1	284.087704467
[Bmim][PF6]_2	284.087704467
[Bmim][PF6]_3	284.087704467
[Bmim][PF6]_4	284.087704467
[Bmim][PF6]_5	284.087704467
[Bmim][PF6]_6	284.087704467
[Bmim][PF6]_7	284.087704467
[Bmim][PF6]_8	284.087704467
[Bmim][PF6]_9	284.087704467
[Bmim][PF6]_10	284.087704467
[Bmim][PF6]_11	284.087704467
[Bmim][PF6]_12	284.087704467
[Bmim][PF6]_13	284.087704467
[Bmim][PF6]_14	284.087704467
[Bmim][PF6]_15	284.087704467
[Bmim][PF6]_16	284.087704467
[Bmim][PF6]_17	284.087704467
[Bmim][PF6]_18	284.087704467
[Bmim][PF6]_19	284.087704467
[Bmim][PF6]_20	284.087704467
[Bmim][PF6]_21	284.087704467
[Bmim][PF6]_22	284.087704467
[Bmim][PF6]_23	284.087704467
[Bmim][PF6]_24	284.087704467
[Bmim][PF6]_25	284.087704467
[Bmim][PF6]_26	284.087704467
[Bmim][PF6]_27	284.087704467
[Bmim][PF6]_28	284.087704467
[Bmim][PF6]_29	284.087704467
[Bmim][PF6]_30	284.087704467
[Bmim][PF6]_31	284.087704467
[Bmim][PF6]_32	284.087704467
[Bmim][PF6]_33	284.087704467
[Bmim][PF6]_34	284.087704467
[Bmim][PF6]_35	284.087704467
[Bmim][PF6]_36	284.087704467
[Bmim][PF6]_37	284.087704467
[Bmim][PF6]_38	284.087704467
[Bmim][PF6]_39	284.087704467
[Bmim][PF6]_40	284.087704467
[Pemim][PF6]_1	298.103354531
[Pemim][PF6]_2	298.103354531
[Pemim][PF6]_3	298.103354531
[Pemim][PF6]_4	298.103354531
[Pemim][PF6]_5	298.103354531
[Pemim][PF6]_6	298.103354531
[Pemim][PF6]_7	298.103354531
[Pemim][PF6]_8	298.103354531
[Pemim][PF6]_9	298.103354531
[Pemim][PF6]_10	298.103354531
[Pemim][PF6]_11	298.103354531
[Pemim][PF6]_12	298.103354531
[Emim][BF4]_1	198.095141
[Emim][BF4]_2	198.095141
[Emim][BF4]_3	198.095141
[Emim][BF4]_4	198.095141
[Emim][BF4]_5	198.095141
[Emim][BF4]_6	198.095141
[Emim][BF4]_7	198.095141
[Emim][BF4]_8	198.095141
[Emim][BF4]_9	198.095141
[Prmim][BF4]_1	212.110791
[Bmim][BF4]_1	226.126441
[Bmim][BF4]_2	226.126441
[Bmim][BF4]_3	226.126441
[Bmim][BF4]_4	226.126441
[Bmim][BF4]_5	226.126441
[Bmim][BF4]_6	226.126441
[Bmim][BF4]_7	226.126441
[Bmim][BF4]_8	226.126441
[Bmim][BF4]_9	226.126441
[Bmim][BF4]_10	226.126441
[Bmim][BF4]_11	226.126441
[Bmim][BF4]_12	226.126441
[Bmim][BF4]_13	226.126441
[Bmim][BF4]_14	226.126441
[Bmim][BF4]_15	226.126441
[Bmim][BF4]_16	226.126441
[Bmim][BF4]_17	226.126441
[Bmim][BF4]_18	226.126441
[Bmim][BF4]_19	226.126441
[Bmim][BF4]_20	226.126441
[Bmim][BF4]_21	226.126441
[Bmim][BF4]_22	226.126441
[Bmim][BF4]_23	226.126441
[Bmim][BF4]_24	226.126441
[Bmim][BF4]_25	226.126441
[Bmim][BF4]_26	226.126441
[Pemim][BF4]_1	240.142091
[Pemim][BF4]_2	240.142091
[Pemim][BF4]_3	240.142091
[Pemim][BF4]_4	240.142091
[Pemim][BF4]_5	240.142091
[Pemim][BF4]_6	240.142091
[Pemim][BF4]_7	240.142091
[Pemim][BF4]_8	240.142091
[Pemim][BF4]_9	240.142091
[Hmim][BF4]_1	254.157741
[Hmim][BF4]_2	254.157741
[Hmim][BF4]_3	254.157741
[Hmim][BF4]_4	254.157741
[Hmim][BF4]_5	254.157741
[Hmim][BF4]_6	254.157741
[Hmim][BF4]_7	254.157741
[Hmim][BF4]_8	254.157741
[Hmim][BF4]_9	254.157741
[Hmim][BF4]_10	254.157741
[Omim][BF4]_1	282.189041
[Omim][BF4]_2	282.189041
[Omim][BF4]_3	282.189041
[Omim][BF4]_4	282.189041
[Omim][BF4]_5	282.189041
[Omim][BF4]_6	282.189041
[Omim][BF4]_7	282.189041
[Omim][BF4]_8	282.189041
[Omim][BF4]_9	282.189041
[Omim][BF4]_10	282.189041
[Omim][BF4]_11	282.189041
[Omim][BF4]_12	282.189041
