Compound Id	Temperature
[Bmim][PF6]_1	353.15
[Bmim][PF6]_2	343.15
[Bmim][PF6]_3	343.1
[Bmim][PF6]_4	343
[Bmim][PF6]_5	338
[Bmim][PF6]_6	333.15
[Bmim][PF6]_7	333.1
[Bmim][PF6]_8	333
[Bmim][PF6]_9	328.15
[Bmim][PF6]_10	328
[Bmim][PF6]_11	323.15
[Bmim][PF6]_12	323.1
[Bmim][PF6]_13	323
[Bmim][PF6]_14	318.15
[Bmim][PF6]_15	318
[Bmim][PF6]_16	313.15
[Bmim][PF6]_17	313.1
[Bmim][PF6]_18	313
[Bmim][PF6]_19	311.15
[Bmim][PF6]_20	308.15
[Bmim][PF6]_21	308
[Bmim][PF6]_22	305.15
[Bmim][PF6]_23	304
[Bmim][PF6]_24	303.15
[Bmim][PF6]_25	303.1
[Bmim][PF6]_26	303
[Bmim][PF6]_27	301.15
[Bmim][PF6]_28	298.15
[Bmim][PF6]_29	298.1
[Bmim][PF6]_30	298
[Bmim][PF6]_31	297
[Bmim][PF6]_32	296.15
[Bmim][PF6]_33	293.15
[Bmim][PF6]_34	293.1
[Bmim][PF6]_35	293
[Bmim][PF6]_36	288.15
[Bmim][PF6]_37	283.15
[Bmim][PF6]_38	283.1
[Bmim][PF6]_39	278.15
[Bmim][PF6]_40	273.15
[Pemim][PF6]_1	357.9
[Pemim][PF6]_2	353
[Pemim][PF6]_3	347
[Pemim][PF6]_4	342
[Pemim][PF6]_5	337
[Pemim][PF6]_6	331.5
[Pemim][PF6]_7	326
[Pemim][PF6]_8	321.5
[Pemim][PF6]_9	315
[Pemim][PF6]_10	310
[Pemim][PF6]_11	301
[Pemim][PF6]_12	299.1
[Emim][BF4]_1	323.15
[Emim][BF4]_2	318.15
[Emim][BF4]_3	313.15
[Emim][BF4]_4	308.15
[Emim][BF4]_5	303.15
[Emim][BF4]_6	299.15
[Emim][BF4]_7	298.15
[Emim][BF4]_8	298
[Emim][BF4]_9	293.15
[Prmim][BF4]_1	298.15
[Bmim][BF4]_1	353.15
[Bmim][BF4]_2	353.1
[Bmim][BF4]_3	348.15
[Bmim][BF4]_4	343.15
[Bmim][BF4]_5	343.1
[Bmim][BF4]_6	333.15
[Bmim][BF4]_7	333.1
[Bmim][BF4]_8	323.15
[Bmim][BF4]_9	323.1
[Bmim][BF4]_10	318.15
[Bmim][BF4]_11	313.15
[Bmim][BF4]_12	313.1
[Bmim][BF4]_13	308.15
[Bmim][BF4]_14	303.15
[Bmim][BF4]_15	303.1
[Bmim][BF4]_16	298.15
[Bmim][BF4]_17	298.1
[Bmim][BF4]_18	298
[Bmim][BF4]_19	293.15
[Bmim][BF4]_20	293.1
[Bmim][BF4]_21	293
[Bmim][BF4]_22	288.15
[Bmim][BF4]_23	283.15
[Bmim][BF4]_24	283.1
[Bmim][BF4]_25	278.15
[Bmim][BF4]_26	273.15
[Pemim][BF4]_1	353.6
[Pemim][BF4]_2	348
[Pemim][BF4]_3	343.2
[Pemim][BF4]_4	338
[Pemim][BF4]_5	333.2
[Pemim][BF4]_6	328.1
[Pemim][BF4]_7	323.2
[Pemim][BF4]_8	319.2
[Pemim][BF4]_9	307.7
[Hmim][BF4]_1	353.15
[Hmim][BF4]_2	323.15
[Hmim][BF4]_3	318.15
[Hmim][BF4]_4	313.15
