Compound Id	Viscosity parameter Y for the anion
[Omim][BF4]_11	0.02021
[Omim][BF4]_12	0.02021
[Omim][BF4]_13	0.02021
[Omim][BF4]_14	0.02021
[Omim][BF4]_15	0.02021
[Dmim][BF4]_1	0.02021
[Dmim][BF4]_2	0.02021
[Dmim][BF4]_3	0.02021
[iBmim][BF4]_1	0.02021
[iBmim][BF4]_2	0.02021
[iBmim][BF4]_3	0.02021
[iBmim][BF4]_4	0.02021
[iBmim][BF4]_5	0.02021
[iBmim][BF4]_6	0.02021
[iBmim][BF4]_7	0.02021
[iBmim][BF4]_8	0.02021
[iBmim][BF4]_9	0.02021
[iBmim][BF4]_10	0.02021
[EOHmim][BF4]_1	0.02021
[EOHmim][BF4]_2	0.02021
[EOHmim][BF4]_3	0.02021
[Bmim][OTf]_1	0.0178
[Bmim][OTf]_2	0.0178
[Bmim][OTf]_3	0.0178
[Bmim][OTf]_4	0.0178
[Bmim][OTf]_5	0.0178
[Bmim][OTf]_6	0.0178
[Bmim][OTf]_7	0.0178
[Bmim][OTf]_8	0.0178
[Bmim][OTf]_9	0.0178
[Bmim][OTf]_10	0.0178
[Bmim][OTf]_11	0.0178
[Bmim][OTf]_12	0.0178
[Bmim][OTf]_13	0.0178
[Bmim][OTf]_14	0.0178
[Bmim][OTf]_15	0.0178
[Bmim][OTf]_16	0.0178
[Bmim][OTf]_17	0.0178
[Emim][TF2N]_1	0.01464
[Emim][TF2N]_2	0.01464
[Emim][TF2N]_3	0.01464
[Emim][TF2N]_4	0.01464
[Emim][TF2N]_5	0.01464
[Emim][TF2N]_6	0.01464
[Emim][TF2N]_7	0.01464
[Emim][TF2N]_8	0.01464
[Emim][TF2N]_9	0.01464
[Emim][TF2N]_10	0.01464
[Emim][TF2N]_11	0.01464
[Emim][TF2N]_12	0.01464
[Emim][TF2N]_13	0.01464
[Emim][TF2N]_14	0.01464
[Emim][TF2N]_15	0.01464
[Emim][TF2N]_16	0.01464
[Emim][TF2N]_17	0.01464
[Emim][TF2N]_18	0.01464
[Emim][TF2N]_19	0.01464
[Emim][TF2N]_20	0.01464
[Emim][TF2N]_21	0.01464
[Emim][TF2N]_22	0.01464
[Emim][TF2N]_23	0.01464
[Emim][TF2N]_24	0.01464
[Prmim][TF2N]_1	0.01464
[Bmim][TF2N]_1	0.01464
[Bmim][TF2N]_2	0.01464
[Bmim][TF2N]_3	0.01464
[Bmim][TF2N]_4	0.01464
[Bmim][TF2N]_5	0.01464
[Bmim][TF2N]_6	0.01464
[Bmim][TF2N]_7	0.01464
[Bmim][TF2N]_8	0.01464
[Bmim][TF2N]_9	0.01464
[Bmim][TF2N]_10	0.01464
[Bmim][TF2N]_11	0.01464
[Bmim][TF2N]_12	0.01464
[Bmim][TF2N]_13	0.01464
[Bmim][TF2N]_14	0.01464
[Bmim][TF2N]_15	0.01464
[Bmim][TF2N]_16	0.01464
[Bmim][TF2N]_17	0.01464
[Bmim][TF2N]_18	0.01464
[Bmim][TF2N]_19	0.01464
[Bmim][TF2N]_20	0.01464
[Bmim][TF2N]_21	0.01464
[Bmim][TF2N]_22	0.01464
[Bmim][TF2N]_23	0.01464
[Bmim][TF2N]_24	0.01464
[Bmim][TF2N]_25	0.01464
[Bmim][TF2N]_26	0.01464
[Hmim][TF2N]_1	0.01464
[Hmim][TF2N]_2	0.01464
[Hmim][TF2N]_3	0.01464
[Hmim][TF2N]_4	0.01464
[Hmim][TF2N]_5	0.01464
[Hmim][TF2N]_6	0.01464
[Hmim][TF2N]_7	0.01464
[Hmim][TF2N]_8	0.01464
[Hmim][TF2N]_9	0.01464
[Hmim][TF2N]_10	0.01464
[Hmim][TF2N]_11	0.01464
[Hmim][TF2N]_12	0.01464
[Hmim][TF2N]_13	0.01464
[Hmim][TF2N]_14	0.01464
[Hmim][TF2N]_15	0.01464
[Hmim][TF2N]_16	0.01464
[Hmim][TF2N]_17	0.01464
[Hmim][TF2N]_18	0.01464
[Hmim][TF2N]_19	0.01464
[Hmim][TF2N]_20	0.01464
[Hmim][TF2N]_21	0.01464
[Hmim][TF2N]_22	0.01464
[Hmim][TF2N]_23	0.01464
[Hmim][TF2N]_24	0.01464
[Hmim][TF2N]_25	0.01464
[Hmim][TF2N]_26	0.01464
[Hmim][TF2N]_27	0.01464
[Hmim][TF2N]_28	0.01464
[Hmim][TF2N]_29	0.01464
[Hmim][TF2N]_30	0.01464
[Omim][TF2N]_1	0.01464
[Omim][TF2N]_2	0.01464
[Omim][TF2N]_3	0.01464
[Omim][TF2N]_4	0.01464
[Omim][TF2N]_5	0.01464
[Omim][TF2N]_6	0.01464
[Omim][TF2N]_7	0.01464
[Omim][TF2N]_8	0.01464
[Omim][TF2N]_9	0.01464
[Omim][TF2N]_10	0.01464
[Omim][TF2N]_11	0.01464
[Omim][TF2N]_12	0.01464
[Omim][TF2N]_13	0.01464
[Omim][TF2N]_14	0.01464
[Omim][TF2N]_15	0.01464
[Omim][TF2N]_16	0.01464
[Omim][TF2N]_17	0.01464
[Omim][TF2N]_18	0.01464
[Dmim][TF2N]_1	0.01464
[Dmim][TF2N]_2	0.01464
[Dmim][TF2N]_3	0.01464
[Dmim][TF2N]_4	0.01464
[Dmim][TF2N]_5	0.01464
[Dmim][TF2N]_6	0.01464
[Emim][DCA]_1	0.01667
[Emim][DCA]_2	0.01667
[Emim][DCA]_3	0.01667
[Emim][DCA]_4	0.01667
[Emim][DCA]_5	0.01667
[Emim][DCA]_6	0.01667
[Emim][DCA]_7	0.01667
[Emim][DCA]_8	0.01667
[Emim][DCA]_9	0.01667
[Bmim][DCA]_1	0.01667
[Bmim][DCA]_2	0.01667
[Prmim][I]_1	0.02342
[Prmim][I]_2	0.02342
[Prmim][I]_3	0.02342
[Prmim][I]_4	0.02342
[Prmim][I]_5	0.02342
[Prmim][I]_6	0.02342
[Prmim][I]_7	0.02342
[Bmim][I]_1	0.02342
[Hmim][I]_1	0.02342
[IBmim][I]_1	0.02342
[Bmim][MSO4]_1	0.02177
[Bmim][MSO4]_2	0.02177
[Bmim][MSO4]_3	0.02177
[Bmim][MSO4]_4	0.02177
[Bmim][MSO4]_5	0.02177
[Bmim][MSO4]_6	0.02177
[Bmim][MSO4]_7	0.02177
[Bmim][MSO4]_8	0.02177
[Bmim][MSO4]_9	0.02177
[Bmim][TFA]_1	0.01791
[Bmim][TFA]_2	0.01791
[Bmim][TFA]_3	0.01791
[Bmim][TFA]_4	0.01791
[Bmim][TFA]_5	0.01791
[Bmim][TFA]_6	0.01791
[Bmim][TFA]_7	0.01791
[Bmim][TFA]_8	0.01791
[Bmim][TFA]_9	0.01791
[Bmim][TFA]_10	0.01791
[Bmim][TFA]_11	0.01791
[Bmim][TFA]_12	0.01791
[Bmim][TFA]_13	0.01791
[Bmim][TFA]_14	0.01791
