Compound Id	48-h Tetrahymena toxicity as log(IGC50)
1	-4.72
2	-4.34
3	-3.67
4	-3.91
5	-3.66
6	-4.34
7	-4.20
8	-3.82
9	-4.85
10	-3.75
11	-3.86
12	-4.23
13	-3.09
14	-2.86
15	-2.98
16	-4.52
17	-4.66
18	-4.92
19	-4.32
20	-3.54
21	-4.01
22	-3.64
23	-3.93
24	-3.70
25	-3.74
26	-3.98
27	-2.66
28	-2.36
29	-2.17
30	-1.68
31	-4.77
32	-4.70
33	-4.06
34	-3.68
35	-3.55
36	-3.52
37	-3.53
38	-3.52
39	-3.27
40	-3.76
41	-2.63
42	-2.08
43	-2.24
44	-1.78
45	-2.07
46	-2.38
