Compound Id	LUMO
1	3.778
2	3.565
4	3.554
5	-0.074
6	-0.102
7	0.001
9	0.882
10	0.055
11	0.91
12	-0.141
14	-0.115
15	0.398
16	0.045
17	0.639
19	0.483
20	0.013
21	0.266
22	0.396
24	0.474
25	0.392
26	0.595
27	-0.435
29	-0.434
30	-1.068
31	-2.55
32	0.429
34	-0.43
35	0.422
36	-0.917
37	-1.017
39	-1.475
40	0.02
41	0.218
42	0.263
44	-1.78
45	-0.683
46	0.024
47	-0.423
49	0.408
50	-0.042
51	-0.857
52	-0.006
54	-0.142
55	-1.911
56	-1.807
57	-2.208
59	-2.349
60	-2.068
61	-2.658
62	-1.096
64	-1.841
65	-1.832
66	-1.667
67	-1.452
69	-1.296
70	-0.767
71	-0.391
72	-0.24
74	-1.895
75	-1.84
76	-1.344
77	-2.124
79	-0.56
80	-1.431
81	-0.473
82	-1.628
84	-0.978
85	-2.027
86	-1.536
87	-2.037
89	-0.097
90	-1.419
91	-1.193
3	3.438
8	3.425
13	-0.115
18	0.879
23	0.313
28	0.396
33	0.436
38	0.095
43	0.079
48	-1.493
53	0.407
58	-1.404
63	-2.494
68	-2.632
73	-1.219
78	0.464
83	0.431
88	-0.768
