Compound Id	MEDV-11
1	0
2	1
3	0.25
4	0.1111
5	0.75
6	0.0625
7	0.4722
8	1.5
9	0.04
10	0.375
11	0.2847
12	1.0833
13	0.9444
14	0.0278
15	0.33
16	0.2136
17	0.9375
18	0.7083
19	0.75
20	0.7569
21	0.1875
22	1.6667
23	0.0204
24	0.3056
25	0.1789
26	0.1528
27	0.87
28	0.6147
29	0.5661
30	0.66
31	0.6372
32	0.4983
33	0.1425
34	1.3819
35	1.375
36	1.2917
37	1.1944
38	0.5625
39	0.5208
40	2.5
41	0.0156
42	0.2908
43	0.1593
44	0.1229
45	0.8333
46	0.5678
47	0.4931
48	0.4967
49	0.6111
50	0.58
51	0.415
52	0.3925
53	0.5278
54	0.1181
55	0.1078
56	1.2658
57	1.1686
58	1.24
59	1.1494
60	0.9619
61	1.0072
62	1.0522
63	1.0331
64	0.495
65	0.4725
66	0.4272
67	0.3786
68	2.0764
69	1.9306
70	2.0625
71	1.8889
72	1.1875
73	1.0069
74	1
75	0.375
76	0.0123
77	0.2813
78	0.1471
79	0.1059
80	0.0956
81	0.8112
82	0.5408
83	0.4558
84	0.4333
85	0.4575
86	0.5816
87	0.5482
88	0.3729
89	0.3243
90	0.3382
91	0.4754
92	0.3365
93	0.1033
94	0.0882
95	1.2067
96	1.0833
97	1.0644
98	1.1667
99	1.08
100	0.8664
101	0.8214
102	0.9133
103	0.9306
104	0.7953
105	0.8611
106	0.9378
107	0.9272
108	0.8561
109	0.9011
110	0.7397
111	0.4583
112	0.4256
113	0.4236
114	0.3803
115	0.3214
116	0.3092
117	0.3056
118	0.3439
119	0.0833
120	0.4378
121	1.9117
122	1.6756
123	1.6983
124	1.7172
125	1.6497
126	1.86
127	1.6078
128	1.6044
129	1.5592
130	1.4656
131	1.6789
132	1.0975
133	1.0525
134	0.8908
135	0.8197
136	0.7936
137	0.8197
138	0.865
139	0.8647
140	0.7744
141	0.3075
142	0.285
143	0.91
144	2.7361
145	2.7292
146	1.7431
147	1.6875
148	1.5556
149	0.8125
150	1.5
