Compound Id	MEDV-34
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	1
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	1
35	0.25
36	1
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	1
57	0.25
58	0.1111
59	1
60	0
61	0
62	0.25
63	1
64	0
65	0
66	0
67	0
68	0
69	1.25
70	0
71	2
72	1
73	1
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	1
96	0.25
97	0.1111
98	0.0625
99	1
100	0
101	0
102	0
103	0.25
104	0
105	0
106	0.1111
107	1
108	0.25
109	1
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	1.25
123	1.1111
124	0
125	0.3611
126	0
127	2
128	1.25
129	1.25
130	0
131	0
132	1
133	0.25
134	1
135	0
136	0
137	0.25
138	0
139	1
140	1
141	0
142	0
143	0
144	1.25
145	2
146	0
147	1.25
148	2
149	1
150	0
