Compound Id	MEDV-23
1	0
2	0
3	0
4	0
5	0
6	0
7	1
8	0
9	0
10	1.25
11	2
12	0
13	0
14	0
15	1.3611
16	2.25
17	0
18	1.25
19	2
20	0
21	3
22	0
23	0
24	1.4236
25	2.3611
26	2.5
27	0
28	1.6111
29	3.1111
30	2.5
31	0
32	2.5
33	3.25
34	1
35	1
36	0.25
37	0
38	2.5
39	0
40	0
41	0
42	1.4636
43	2.4236
44	2.6111
45	0
46	1.7847
47	3.4236
48	3.5625
49	2.7222
50	0
51	2.8611
52	4.2222
53	0
54	3.3611
55	3.5
56	1.25
57	2
58	1.25
59	0.3611
60	1.3611
61	2.25
62	1.1111
63	1.25
64	2.8611
65	4.2222
66	0
67	3.75
68	0
69	0
70	0
71	0
72	2
73	0.5
74	1.5
75	0
76	0
77	1.4914
78	2.4636
79	2.6736
80	2.7222
81	0
82	1.8872
83	3.5747
84	3.8525
85	3.7622
86	2.8472
87	0
88	3.0347
89	4.5347
90	4.625
91	0
92	3.2222
93	3.4236
94	3.6111
95	1.3611
96	2.25
97	2.25
98	1.3611
99	0.4236
100	1.7847
101	3.4236
102	2.8611
103	1.1736
104	3.5625
105	4.2222
106	1.3125
107	1.5
108	2.1111
109	1.3611
110	2.7222
111	3.0347
112	4.5347
113	4.625
114	0
115	4.1111
116	5.3333
117	4.1111
118	0
119	3.75
120	3.2222
121	0
122	1.25
123	2
124	0
125	1.25
126	0
127	1.1111
128	1.25
129	0.3611
130	0
131	0
132	2.25
133	3
134	0.6111
135	2.7222
136	2.8611
137	1.2222
138	3.6111
139	2.25
140	1.5
141	0
142	5
143	1.9722
144	0
145	0
146	0
147	1.25
148	0.5
149	0.75
150	0
