Compound Id	MEDV-24
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	1
13	0
14	0
15	0
16	0
17	1.25
18	0
19	0
20	2
21	0
22	0
23	0
24	0
25	0
26	0
27	1.3611
28	0
29	0
30	0
31	2.25
32	0
33	0
34	0.25
35	1
36	1
37	0
38	0
39	3
40	0
41	0
42	0
43	0
44	0
45	1.4236
46	0
47	0
48	0
49	0
50	2.3611
51	0
52	0
53	2.5
54	0
55	0
56	0.3611
57	1.1111
58	1.25
59	1.25
60	0
61	0
62	2
63	1.25
64	0
65	0
66	3.25
67	0
68	1.25
69	0
70	2
71	0
72	0.5
73	2
74	0
75	4
76	0
77	0
78	0
79	0
80	0
81	1.4636
82	0
83	0
84	0
85	0
86	0
87	2.4236
88	0
89	0
90	0
91	2.6111
92	0
93	0
94	0
95	0.4236
96	1.1736
97	1.3125
98	1.3611
99	1.3611
100	0
101	0
102	0
103	2.25
104	0
105	0
106	2.25
107	1.3611
108	2.1111
109	1.5
110	0
111	0
112	0
113	0
114	3.3611
115	0
116	0
117	0
118	3.5
119	0
120	0
121	1.6111
122	0.1111
123	0.25
124	3.1111
125	1
126	2.5
127	0.25
128	1
129	1
130	0
131	2.5
132	0.6111
133	1.2222
134	2.25
135	0
136	0
137	3
138	0
139	1.5
140	2.25
141	4.25
142	0
143	0
144	0
145	0
146	2.5
147	0.25
148	1
149	3
150	0
