Compound Id	MEDV-14
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	4
9	0
10	0
11	0
12	3.25
13	0
14	0
15	0
16	0
17	3.1111
18	0
19	0
20	2.5
21	0
22	3.5
23	0
24	0
25	0
26	0
27	3.0625
28	0
29	0
30	0
31	2.3611
32	0
33	0
34	3.3611
35	3.2222
36	2.75
37	0
38	0
39	1.75
40	7.5
41	0
42	0
43	0
44	0
45	3.04
46	0
47	0
48	0
49	0
50	2.3125
51	0
52	0
53	2.2222
54	0
55	0
56	3.3125
57	3.1736
58	3.125
59	2.6111
60	0
61	0
62	2.4722
63	2.6111
64	0
65	0
66	1.6111
67	0
68	6.6111
69	3.4722
70	6.6667
71	3
72	3.2222
73	2
74	0
75	1
76	0
77	0
78	0
79	0
80	0
81	3.0278
82	0
83	0
84	0
85	0
86	0
87	2.29
88	0
89	0
90	0
91	2.1736
92	0
93	0
94	0
95	3.29
96	3.1511
97	3.1025
98	3.08
99	2.5625
100	0
101	0
102	0
103	2.3333
104	0
105	0
106	2.375
107	2.5625
108	2.4236
109	2.4722
110	0
111	0
112	0
113	0
114	1.5625
115	0
116	0
117	0
118	1.4722
119	0
120	0
121	6.4236
122	3.4236
123	3.375
124	5.8681
125	3.2361
126	6.375
127	2.8611
128	2.7222
129	2.7222
130	0
131	5.7222
132	3.1736
133	3.125
134	1.8611
135	0
136	0
137	1.7222
138	0
139	2.4722
140	1.8611
141	0.8611
142	0
143	0
144	6.9722
145	7.1667
146	5.7222
147	3.3333
148	2.25
149	1.25
150	0
