Compound Id	MEDV-12
1	0
2	0
3	2
4	2.5
5	0
6	2.7222
7	1.5
8	0
9	2.8472
10	1.9722
11	2.7222
12	1.75
13	0
14	2.9272
15	2.2083
16	3.0972
17	2.3333
18	1.4722
19	1
20	3.2222
21	3.6667
22	0
23	2.9828
24	2.3508
25	3.2883
26	3.4272
27	2.6319
28	1.9583
29	2.2361
30	1.4444
31	3.7083
32	2.8472
33	3.9444
34	1.5833
35	1.25
36	1.7222
37	0
38	2.6667
39	4.4167
40	0
41	3.0236
42	2.4464
43	3.4064
44	3.5939
45	2.8144
46	2.2119
47	2.6286
48	2.5869
49	1.6944
50	3.9619
51	3.2883
52	3.4272
53	4.1494
54	4.0906
55	4.1772
56	2.1319
57	2.5486
58	1.8056
59	2.3194
60	1.4861
61	0.9722
62	2.7361
63	3.2083
64	3.0556
65	3.1944
66	4.8056
67	3.9444
68	1.8333
69	0
70	1.5
71	0
72	2.8889
73	3.1667
74	1.4444
75	5.3333
76	3.0548
77	2.515
78	3.4872
79	3.6972
80	3.7458
81	2.9378
82	2.37
83	2.8353
84	2.9325
85	2.79
86	1.8544
87	4.12
88	3.5175
89	3.7953
90	3.705
91	4.3786
92	3.705
93	4.1842
94	4.2989
95	2.4256
96	2.9811
97	2.9881
98	2.1181
99	2.6356
100	1.9897
101	2.2258
102	1.4306
103	3.2397
104	2.3647
105	1.75
106	3.1981
107	3.7119
108	3.9897
109	3.7606
110	2.9272
111	3.2642
112	3.4897
113	3.4517
114	5.1617
115	4.2883
116	4.3406
117	4.3406
118	5.1494
119	4.365
120	3.3994
121	2.4931
122	1.5486
123	1.0833
124	3.0486
125	1.2222
126	2.1667
127	1.5972
128	1.2222
129	1.7361
130	0
131	3.5694
132	3.3403
133	3.5694
134	3.6667
135	2.6944
136	2.8333
137	3.9444
138	2.1806
139	4.4167
140	4.5556
141	5.625
142	4.9444
143	1.9444
144	0
145	0
146	3.3889
147	1.5556
148	1.6944
149	4.3333
150	0
