Compound Id	MEDV-13
1	0
2	0
3	0
4	0
5	3
6	0
7	2.25
8	0
9	0
10	2.1111
11	1.5
12	0
13	5
14	0
15	2.0625
16	1.3611
17	0
18	4.1111
19	4.4444
20	0
21	0.75
22	2.75
23	0
24	2.04
25	1.3125
26	1.2222
27	0
28	3.9236
29	3.6458
30	4.25
31	0
32	3.2222
33	0.6111
34	2
35	2.3333
36	2.6111
37	6.9444
38	3.2222
39	0
40	0
41	0
42	2.0278
43	1.29
44	1.1736
45	0
46	3.8525
47	3.4844
48	3.4775
49	4.16
50	0
51	3.0347
52	2.8472
53	0
54	0.5625
55	0.4722
56	1.8611
57	1.5833
58	2.1875
59	2.5625
60	6.0069
61	6.3333
62	2.2847
63	1.8611
64	3.0347
65	2.8472
66	0
67	2.3333
68	0
69	4.8333
70	0
71	5.4444
72	1.25
73	2.4722
74	5.9167
75	0
76	0
77	2.0204
78	1.2778
79	1.1511
80	1.125
81	0
82	3.8178
83	3.4236
84	3.3264
85	3.3978
86	4.1111
87	0
88	2.9636
89	2.6858
90	2.705
91	0
92	2.8472
93	0.54
94	0.4236
95	1.8125
96	1.4444
97	1.4375
98	2.12
99	2.54
100	5.7969
101	5.5122
102	6.0975
103	2.2622
104	5.4219
105	5.8267
106	2.165
107	1.7222
108	1.5347
109	1.8125
110	5.0694
111	2.9636
112	2.6858
113	2.705
114	0
115	2.1458
116	2.0486
117	2.1458
118	0
119	0.3333
120	2.8472
121	0
122	3.9444
123	4.2708
124	0
125	4.2708
126	0
127	4.6458
128	4.9722
129	4.6458
130	8.9167
131	0
132	1.1111
133	0.8333
134	2.4236
135	5.0694
136	4.9792
137	2.2361
138	5.3958
139	1.1111
140	1.7222
141	0
142	1.4444
143	5.6806
144	2.8333
145	2.5
146	0
147	3.9444
148	5.1667
149	2.3333
150	8.8333
