Compound Id	MEDV-22
1	0
2	0
3	0
4	1
5	0
6	2.25
7	0
8	0
9	3.6111
10	1
11	0.25
12	0
13	0
14	5.0347
15	2.25
16	1.3611
17	1
18	0
19	0
20	0.25
21	0.75
22	0
23	6.4983
24	3.6111
25	2.6736
26	2.5347
27	2.25
28	1
29	0.25
30	1
31	1.3611
32	0.1111
33	1.9722
34	0
35	0
36	0
37	0
38	0.25
39	0.75
40	0
41	7.9897
42	5.0347
43	4.0747
44	3.8872
45	3.6111
46	2.25
47	1.3611
48	1.3611
49	2.25
50	2.6736
51	1.1736
52	0.5625
53	2.5347
54	3.3472
55	3.2569
56	1
57	0.25
58	1
59	1
60	0
61	0
62	0.25
63	0.1111
64	1.3611
65	0.75
66	1.9722
67	0.4722
68	0
69	0
70	0
71	0
72	0.25
73	0.25
74	0
75	1.5
76	9.5015
77	6.4983
78	5.5261
79	5.3161
80	5.2675
81	5.0347
82	3.6111
83	2.6736
84	2.5347
85	2.6736
86	3.6111
87	4.0747
88	2.4636
89	1.7136
90	1.7622
91	3.8872
92	2.2761
93	4.7883
94	4.6719
95	2.25
96	1.3611
97	1.3611
98	2.25
99	2.25
100	1
101	0.25
102	1
103	1.3611
104	0.1111
105	0.25
106	1.3611
107	1.1736
108	0.5625
109	1.1736
110	0.0625
111	2.6736
112	1.9722
113	1.9722
114	3.3472
115	1.6458
116	1.125
117	1.5972
118	3.2569
119	4.6042
120	2.5347
121	1
122	0
123	0
124	0.25
125	0
126	1
127	0
128	0
129	0
130	0
131	0.1111
132	1.3611
133	0.75
134	1.3611
135	0.25
136	0.1111
137	0.75
138	0.25
139	0.4722
140	0.4722
141	2.8333
142	0.9444
143	1
144	0
145	0
146	0.25
147	0
148	0
149	0.75
150	0
