Compound Id	asfd
1	-0.51
2	-0.27
3	0.77
4	0.35
5	1.8
6	0.08
7	0.48
8	-0.8
9	-0.27
10	-0.15
11	-0.8
12	0.69
13	1.15
14	0.57
15	0.24
16	0
17	-0.03
18	0.61
19	0.08
20	0.71
21	-0.48
22	0.64
23	0.65
24	0.4
25	-0.15
26	0.33
27	0.05
28	0.3
29	0.22
30	0.16
31	-0.27
32	0.86
33	-0.74
34	0.12
35	0.49
36	1.14
37	0.05
38	0.11
39	-1.08
40	0.96
41	1.29
42	0.59
43	-0.19
44	0.2
45	-0.08
46	0
47	-1.51
48	0.21
49	0.08
50	0.97
51	0.97
52	0.03
53	-0.24
54	0.14
55	-0.36
56	-0.22
57	-0.85
58	-0.01
59	-0.77
60	-0.6
61	-0.89
62	1.68
63	1.13
64	0.15
65	-0.38
66	-0.85
67	2.83
68	0.35
69	3.1
70	2.55
71	2.59
72	0.77
73	2.14
74	1.57
75	0.92
76	0.41
77	-0.43
78	0.64
79	0.79
80	1.3
81	1.4
82	1.54
83	2.14
84	-0.19
85	0.39
86	0.94
87	0.16
88	-0.62
89	-0.13
90	0.89
91	-0.32
92	0.23
93	0.67
94	-0.43
95	-1
96	-0.51
97	-0.26
98	0.07
99	-1.18
100	0.16
101	0.22
102	-0.37
103	0.25
104	-0.37
