Compound Id	Number of rotatable bonds
000061-82-5	0
000086-50-0	5
002642-71-9	7
024017-47-8	7
041814-78-2	0
042509-80-8	7
043121-43-3	5
055219-65-3	5
060207-31-0	3
060207-90-1	5
066246-88-6	5
068049-83-2	3
076674-21-0	4
079983-71-4	6
082200-72-4	5
086598-92-7	6
088671-89-0	6
089482-17-7	5
094361-06-5	5
098967-40-9	3
103112-35-2	4
107534-96-3	6
112143-82-5	6
112281-77-3	6
114369-43-6	6
116255-48-2	3
119126-15-7	7
119446-68-3	5
122836-35-5	3
125116-23-6	4
125225-28-7	5
125306-83-4	4
128639-02-1	6
