Compound Id	Number of Nitrogen atoms
000061-82-5	4
000086-50-0	3
000095-14-7	3
000134-58-7	6
024017-47-8	3
041083-11-8	3
041814-78-2	3
042509-80-8	3
043121-43-3	3
055179-31-2	3
055219-65-3	3
060207-31-0	3
060207-90-1	3
060207-93-4	3
075736-33-3	3
076674-21-0	3
079983-71-4	3
082200-72-4	3
083657-22-1	3
083657-24-3	3
086598-92-7	4
088671-89-0	4
089482-17-7	3
094361-06-5	3
107534-96-3	3
112143-82-5	4
112281-77-3	3
114369-43-6	4
116255-48-2	3
119446-68-3	3
122836-35-5	4
125116-23-6	3
125225-28-7	3
125306-83-4	4
128639-02-1	3
129586-32-9	3
131983-72-7	3
139528-85-1	5
000273-02-9	3
000288-36-8	3
000288-88-0	3
000938-56-7	3
001123-54-2	6
001455-77-2	5
001680-44-0	3
002338-12-7	4
002440-22-4	3
002683-90-1	5
003357-42-4	3
004368-68-7	3
006085-94-5	3
007411-23-6	3
013351-73-0	3
016584-05-7	3
026621-45-4	4
028911-01-5	4
028981-97-7	4
036791-04-5	4
057801-81-7	4
059338-93-1	5
069141-50-0	3
077314-77-3	6
104958-85-2	5
