Compound Id	Complementary Information Content index (neighborhood symmetry of 0-order)
000061-82-5	1.8
000086-50-0	2.831
000095-14-7	2.277
000134-58-7	2.101
000273-40-5	2.03
001031-47-6	3.654
002642-71-9	3.203
014500-23-3	2.775
024017-47-8	3.237
041083-11-8	4.588
041814-78-2	2.647
042509-80-8	3.072
043121-43-3	3.446
055179-31-2	4.109
055219-65-3	3.556
060207-31-0	2.994
060207-90-1	3.509
060207-93-4	3.352
066246-88-6	3.438
068049-83-2	3.299
075736-33-3	3.652
076674-21-0	3.396
079983-71-4	3.501
082200-72-4	3.556
083657-17-4	3.643
083657-22-1	3.643
083657-24-3	3.549
086598-92-7	3.43
088671-89-0	3.678
089482-17-7	3.556
094361-06-5	3.643
098967-40-9	2.812
103112-35-2	2.846
107534-96-3	3.881
112143-82-5	3.697
112281-77-3	2.968
114369-43-6	3.858
116255-48-2	3.059
119126-15-7	3.458
119446-68-3	3.675
122836-35-5	2.668
125116-23-6	3.917
125225-28-7	4.039
125306-83-4	3.801
128639-02-1	3.204
129586-32-9	3.643
131983-72-7	3.826
139528-85-1	3.256
147150-35-4	3.169
