Compound Id	Moran autocorrelation of lag 7 weighted by Sanderson electronegativity
000061-82-5	0
000086-50-0	-0.395
000095-14-7	0
000134-58-7	0
000273-40-5	0
001031-47-6	-0.186
002642-71-9	-0.338
014500-23-3	-0.471
024017-47-8	-0.27
041083-11-8	-0.043
041814-78-2	0
042509-80-8	-0.378
043121-43-3	0.076
055179-31-2	-0.151
055219-65-3	0.076
060207-31-0	-0.103
060207-90-1	-0.021
060207-93-4	-0.039
066246-88-6	0.107
068049-83-2	-0.063
075736-33-3	-0.084
076674-21-0	-0.072
079983-71-4	0.008
082200-72-4	0.076
083657-17-4	0.052
083657-22-1	0.052
083657-24-3	-0.084
086598-92-7	-0.096
088671-89-0	0.294
089482-17-7	0.076
094361-06-5	-0.058
098967-40-9	-0.129
103112-35-2	-0.292
107534-96-3	-0.141
112143-82-5	0.609
112281-77-3	-0.184
114369-43-6	-0.174
116255-48-2	-0.115
119126-15-7	-0.195
119446-68-3	-0.172
122836-35-5	-0.085
125116-23-6	-0.23
125225-28-7	-0.188
125306-83-4	-0.412
128639-02-1	0.142
129586-32-9	-0.027
131983-72-7	-0.23
139528-85-1	0.101
147150-35-4	0.24
