Compound Id	R autocorrelation of lag 2 / weighted by Sanderson electronegativity
000061-82-5	1.092
000086-50-0	1.977
000095-14-7	1.043
001031-47-6	1.923
002642-71-9	1.992
024017-47-8	1.926
041814-78-2	1.639
042509-80-8	2.098
043121-43-3	1.829
055179-31-2	1.898
055219-65-3	1.836
060207-31-0	1.958
060207-90-1	1.942
060207-93-4	2.045
066246-88-6	1.802
068049-83-2	1.807
075736-33-3	1.839
076674-21-0	1.804
079983-71-4	1.894
082200-72-4	1.87
083657-17-4	1.816
083657-22-1	1.816
083657-24-3	1.83
086598-92-7	1.829
088671-89-0	1.848
089482-17-7	1.87
094361-06-5	1.849
098967-40-9	2.005
103112-35-2	1.809
107534-96-3	1.934
112143-82-5	2.136
112281-77-3	2.084
114369-43-6	1.726
116255-48-2	1.901
119126-15-7	2.184
119446-68-3	1.984
122836-35-5	2.208
125116-23-6	1.975
125225-28-7	2.031
125306-83-4	2.068
131983-72-7	1.933
139528-85-1	2.191
147150-35-4	2.172
001123-54-2	1.078
001455-77-2	0.994
002338-12-7	1.106
002440-22-4	1.586
006085-94-5	1.709
013351-73-0	1.788
015421-84-8	1.931
019794-93-5	1.989
029975-16-4	1.764
057801-81-7	1.779
059338-93-1	2.133
066535-86-2	1.123
083366-66-9	2.139
