Compound Id	Presence/absence of C - C at topological distance 8
000061-82-5	0
000086-50-0	1
000095-14-7	0
000134-58-7	0
024017-47-8	1
041083-11-8	1
041814-78-2	0
042509-80-8	1
043121-43-3	1
055179-31-2	1
055219-65-3	1
060207-31-0	1
060207-90-1	1
060207-93-4	1
075736-33-3	1
076674-21-0	1
079983-71-4	1
082200-72-4	1
083657-22-1	1
083657-24-3	1
086598-92-7	1
088671-89-0	1
089482-17-7	1
094361-06-5	1
107534-96-3	1
112143-82-5	1
112281-77-3	1
114369-43-6	1
116255-48-2	1
119446-68-3	1
122836-35-5	1
125116-23-6	1
125225-28-7	1
125306-83-4	1
128639-02-1	1
129586-32-9	1
131983-72-7	1
139528-85-1	1
000273-02-9	0
000288-36-8	0
000288-88-0	0
000938-56-7	0
001123-54-2	0
001455-77-2	0
001680-44-0	0
002338-12-7	0
002440-22-4	1
002683-90-1	0
003357-42-4	0
004368-68-7	0
006085-94-5	0
007411-23-6	0
013351-73-0	0
016584-05-7	0
026621-45-4	0
028911-01-5	1
028981-97-7	1
036791-04-5	0
057801-81-7	1
059338-93-1	1
069141-50-0	0
077314-77-3	1
104958-85-2	0
