Compound Id	MATS7m
1a	0.498
1b	0.349
1c	0.5
1d	0.501
1e	0.439
1f	0.496
1g	0.556
1h	0.478
1i	0.481
1j	0.559
2a	0.285
2b	0.182
2c	0.289
2d	0.29
2e	0.237
2f	0.286
2g	0.317
2h	0.252
2i	0.256
2j	0.314
3a	0.056
3b	-0.009
3c	0.081
3d	0.091
3e	-0.012
3f	0.068
3g	0.089
3h	0.011
3i	0.027
3j	0.057
4a	0.374
4b	0.28
4c	0.39
4d	0.397
4e	0.329
4f	0.385
4g	0.432
4h	0.363
4i	0.373
4j	0.414
