Compound Id	H5u
1a	0.932
1b	1.646
1c	1.23
1d	1.207
1e	1.17
1f	1.023
1g	1.113
1h	1.078
1i	1.11
1j	0.834
2a	1.09
2b	1.327
2c	1.108
2d	1.281
2e	0.887
2f	1.146
2g	1.292
2h	1.27
2i	1.426
2j	0.912
3a	0.675
3b	0.981
3c	0.866
3d	0.986
3e	0.763
3f	0.696
3g	0.696
3h	0.713
3i	0.934
3j	0.428
4a	0.673
4b	0.974
4c	0.863
4d	0.983
4e	0.751
4f	0.697
4g	0.701
4h	0.713
4i	0.931
4j	0.425
