Compound Id	MATS8p
1a	-0.534
1b	-0.435
1c	-0.51
1d	-0.495
1e	-0.422
1f	-0.571
1g	-0.638
1h	-0.625
1i	-0.586
1j	-0.699
2a	-0.591
2b	-0.505
2c	-0.566
2d	-0.543
2e	-0.478
2f	-0.638
2g	-0.696
2h	-0.685
2i	-0.656
2j	-0.754
3a	-0.34
3b	-0.253
3c	-0.327
3d	-0.328
3e	-0.293
3f	-0.328
3g	-0.376
3h	-0.366
3i	-0.332
3j	-0.405
4a	-0.309
4b	-0.24
4c	-0.299
4d	-0.299
4e	-0.268
4f	-0.304
4g	-0.342
4h	-0.335
4i	-0.309
4j	-0.366
