Compound Id	R7p+
1a	0.026
1b	0.024
1c	0.027
1d	0.023
1e	0.023
1f	0.026
1g	0.023
1h	0.023
1i	0.022
1j	0.031
2a	0.025
2b	0.023
2c	0.026
2d	0.023
2e	0.027
2f	0.025
2g	0.028
2h	0.027
2i	0.026
2j	0.028
3a	0.014
3b	0.014
3c	0.013
3d	0.011
3e	0.019
3f	0.014
3g	0.016
3h	0.018
3i	0.015
3j	0.017
4a	0.027
4b	0.025
4c	0.026
4d	0.022
4e	0.031
4f	0.025
4g	0.027
4h	0.026
4i	0.026
4j	0.031
