Compound Id	G(N..S)
1a	25.694
1b	26.395
1c	26.638
1d	26.778
1e	26.278
1f	28.452
1g	30.013
1h	30.013
1i	30.013
1j	27.962
2a	25.361
2b	25.425
2c	25.206
2d	25.192
2e	25.135
2f	25.806
2g	27.72
2h	27.664
2i	27.638
2j	27.466
3a	23.1
3b	23.079
3c	22.995
3d	23.009
3e	22.956
3f	23.165
3g	22.497
3h	22.274
3i	22.151
3j	23.12
4a	23.1
4b	23.079
4c	22.995
4d	23.009
4e	22.956
4f	23.165
4g	22.497
4h	22.274
4i	22.151
4j	23.12
