Compound Id	HATS8m
1a	0.153
1b	0.137
1c	0.146
1d	0.118
1e	0.139
1f	0.181
1g	0.151
1h	0.142
1i	0.141
1j	0.261
2a	0.216
2b	0.175
2c	0.195
2d	0.164
2e	0.244
2f	0.215
2g	0.251
2h	0.244
2i	0.236
2j	0.328
3a	0.091
3b	0.099
3c	0.07
3d	0.074
3e	0.12
3f	0.081
3g	0.101
3h	0.099
3i	0.109
3j	0.106
4a	0.101
4b	0.108
4c	0.075
4d	0.077
4e	0.133
4f	0.09
4g	0.116
4h	0.113
4i	0.124
4j	0.124
