Compound Id	Molecular surface area
1	104.588
2	109.358
3	109.468
4	109.542
5	118.578
6	119.072
7	119.115
8	122.611
9	123.232
10	130.842
11	131.054
12	131.091
13	127.101
14	167.41
15	140.386
16	138.094
17	141.809
18	43.625
19	64.812
20	83.705
21	100.163
22	102.307
23	115.978
24	120.904
25	158.494
26	139.508
27	158.109
28	176.714
29	122.9
30	135.387
31	106.386
32	119.195
33	132.483
34	49.699
35	70.321
36	89.048
37	88.588
38	104.864
39	104.363
40	121.333
41	107.644
42	106.62
43	126.253
44	122.563
45	144.843
46	163.422
47	182.037
48	75.795
49	93.707
50	94.38
51	109.95
52	112.984
53	108.784
54	131.512
55	150.139
