Compound Id	Dipole moment
1	1.811
2	2.17
3	1.796
4	3.596
5	1.025
6	3.013
7	2.246
8	2.018
9	1.806
10	1.937
11	3.095
12	0.207
13	7.684
14	1.887
15	1.832
16	2.444
17	1.898
18	0.001
19	0.001
20	0.021
21	0.019
22	0.004
23	0.059
24	0.022
25	0.125
26	0.003
27	0.022
28	0
29	0.034
30	0.015
31	0.011
32	0
33	0.023
34	1.951
35	2.012
36	1.976
37	2.122
38	1.974
39	2.17
40	2.049
41	2
42	2.108
43	1.979
44	2.177
45	2.001
46	1.978
47	2
48	0.011
49	3.329
50	3.981
51	4.07
52	0.022
53	3.131
54	3.872
55	0.205
