Compound Id	logLC50exp
1	2.88
2	3.44
3	3.38
4	2.50
5	3.18
6	1.28
7	2.93
8	3.18
9	3.04
10	2.77
11	3.72
12	4.05
13	2.60
14	1.91
15	1.96
16	2.03
17	2.76
18	2.66
19	1.85
20	3.24
21	3.14
22	3.13
23	2.39
24	4.04
25	3.42
26	2.66
27	2.69
28	3.27
29	2.51
30	2.06
31	2.54
32	2.12
33	2.31
34	2.05
35	2.31
36	2.69
37	-0.52
38	2.74
39	1.95
40	1.26
41	1.45
