Compound Id	Energy of the Highest Occupied Molecular Orbital
1	-10.79
2	-10.86
3	-10.39
4	-9.72
5	-8.21
6	-10.88
7	-11.5
8	-11.62
9	-11.13
10	-10.9
11	-10.67
12	-11.77
13	-10.85
14	-10.85
15	-10.85
16	-9.65
17	-11.99
18	-10.8
19	-11.77
20	-10.55
21	-11.5
22	-11.34
23	-9.76
24	-13.68
25	-8.93
26	-10.69
27	-11.32
28	-10.74
29	-11.15
30	-10.21
31	-10.24
32	-9.89
33	-10.71
34	-8.95
35	-11.39
36	-12.02
37	-8.48
38	-11.48
39	-11.33
40	-11.29
41	-11.16
42	-8.91
43	-11.42
44	-10.19
45	-11.57
46	-11.93
47	-10.33
48	-12.03
49	-12.28
50	-13.31
51	-9.12
52	-11.23
53	-10.99
54	-8.89
55	-12.19
56	-11.18
57	-12.09
58	-11.08
59	-10.35
60	-10.64
61	-11.41
62	-11.2
63	-9.17
64	-10.46
65	-10.45
66	-11.38
67	-10.54
68	-10.63
69	-10.54
70	-11.57
71	-9.96
72	-11.44
73	-11.4
74	-11.75
75	-11.01
76	-11.34
77	-11.65
78	-9.72
79	-9.12
80	-8.49
81	-8.62
82	-9.39
83	-8.71
84	-10.17
85	-9.95
86	-8.58
87	-8.71
88	-8.62
89	-9.06
90	-9.17
91	-8.96
92	-9.6
93	-8.96
94	-8.8
95	-8.12
96	-8.83
97	-11.21
98	-11.37
99	-10.42
100	-10.8
101	-9.36
102	-10.25
103	-10.21
104	-9.38
105	-8.93
106	-9.94
107	-10.56
108	-10.2
109	-10.63
110	-8.66
111	-8.9
112	-8.44
113	-9.11
114	-9.06
115	-9.38
116	-9
117	-9.59
118	-10.02
119	-9.36
120	-10
121	-9
122	-9.37
123	-11.22
124	-11.13
125	-11.21
126	-11.16
127	-8.77
128	-11.16
129	-9.06
130	-8.88
131	-9.52
132	-8.31
133	-11.18
134	-11.37
135	-11.01
136	-11.17
137	-10.01
138	-9.33
139	-10.62
140	-10.69
