Compound Id	Mean information content on distance equality
1	0
2	1.52
3	1.85
4	0.92
5	1.76
6	0.92
7	0.92
8	1
9	0
10	1
11	1
12	1
13	1.46
14	1.85
15	2.15
16	1.52
17	0.97
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0.92
27	0.92
28	0.92
29	0.92
30	0.92
31	0.92
32	0.92
33	0.92
34	0.92
35	0.92
36	0.92
37	0.92
38	0
39	0
40	1
41	1
42	1
43	1
44	1
45	1
46	1
47	1
48	1
49	1
50	1
51	1
52	0.92
53	0.97
54	0.97
55	0.97
56	1.51
57	1.51
58	1.51
59	1.56
60	1.77
61	2.46
62	1.52
63	1.52
64	1.52
65	1.52
66	1.52
67	1.52
68	1.52
69	1.52
70	1.52
71	1.52
72	1.52
73	1.52
74	1.52
75	1.57
76	1.57
77	1.57
78	1.8
79	1.9
80	2.11
81	2.49
82	2.39
83	2.39
84	2.15
85	2.15
86	2.17
87	2.12
88	2.29
89	2.55
90	1.84
91	1.84
92	1.84
93	2.04
94	2.04
95	2.04
96	2.04
97	1.83
98	1.83
99	1.83
100	1.43
101	2.18
102	2.18
103	2.38
104	2.15
105	2.15
106	2.15
107	2.15
108	2.23
109	2.34
110	2.34
111	2.34
112	2.34
113	2.34
114	2.22
115	2.06
116	2.06
117	2.06
118	2.06
119	2.06
120	2.06
121	2.06
122	2.33
123	2.14
124	2.21
125	2.36
126	2.58
127	2.04
128	2.39
129	1.99
130	1.99
131	1.99
132	1.99
133	1.49
134	1.49
135	1.46
136	1.46
137	1.46
138	1.46
139	1.46
140	1.46
141	1.46
142	1.46
143	1.46
144	1.46
145	1.46
146	1.46
147	1.46
148	1.46
149	1.46
150	1.46
151	1.91
152	1.91
153	1.91
154	1.91
155	1.91
156	1.96
157	1.96
158	1.96
159	1.96
160	1.89
161	1.89
162	1.96
163	1.96
164	2.49
165	1.76
166	1.76
167	1.76
168	1.76
169	1.76
170	1.76
171	1.76
172	2.21
173	1.85
174	1.85
175	1.85
176	1.85
177	1.85
178	1.85
179	1
180	1
181	1
182	1
183	1
184	2.26
185	2.26
186	2.46
187	2.15
188	2.15
189	2.15
190	2.15
191	1.52
192	1.52
193	1.52
194	1.52
195	2.67
196	2.67
197	2.4
198	2.4
199	2.4
200	2.4
201	2.4
202	2.4
203	2.61
204	2.61
205	2.61
206	2.79
207	2.79
208	3.1
209	3.24
210	0.92
211	0.92
212	1
213	1.52
214	2.12
215	2.57
216	2.04
217	2.04
218	1.43
219	1.34
220	2.15
221	2.68
222	1.46
223	1.96
224	1.85
225	1.85
226	2.46
227	1.52
228	2.96
229	0.92
230	1.51
231	2.31
232	1.57
233	1.9
234	2.21
235	2.34
236	1.46
237	1.91
238	1.85
239	1
240	1.52
241	2.4
242	2.79
243	0
244	1.9
245	1.9
246	1.46
247	1.46
248	2.11
249	1.9
250	1.34
251	1.55
252	1.81
253	0.92
254	1
255	1
256	1
257	1
258	1.52
259	1.59
260	1.95
261	0
262	1.56
263	1.85
264	0.92
265	1.56
266	1.57
267	2.13
268	0.97
269	1.52
270	1.89
271	1.46
272	1.46
273	1.76
274	2.4
275	0.92
276	0.92
277	0.97
278	1.56
279	2.12
280	2.12
281	2.12
282	1.9
283	1.9
284	1.34
285	1.46
286	1.52
287	1.9
288	1.52
289	1.52
290	1.52
291	1.57
292	1.9
293	1.9
294	1.46
295	1.9
296	1.95
297	1.91
298	1.89
299	2.21
300	2.26
301	2.15
302	2.4
303	1.59
304	1.83
305	2.34
306	1
307	1.51
308	1.52
309	1.52
310	1.57
311	1.88
312	1.94
313	1.94
314	2.21
315	1.9
316	1.9
317	2.36
318	2.57
319	1.83
320	2.34
321	2.14
322	1.46
323	1.46
324	1.91
325	1.76
326	1.76
327	2.21
328	1.85
329	1.85
330	2.15
331	2.15
332	2.15
333	1.52
334	2.4
335	2.4
336	1.59
337	0
338	0.92
339	0.92
340	0.97
341	1.55
342	1.52
343	1.52
344	1.52
345	1.57
346	2.08
347	2.15
348	3.11
349	2.25
350	2.14
351	1.46
352	1.46
353	1.46
354	1.46
355	1.91
356	1.91
357	2.21
358	2.21
359	2.21
360	1.85
361	1.85
362	2.26
363	2.46
364	2.15
365	1.52
366	2.51
367	2.4
368	1.59
369	3.36
370	1.51
371	1.9
372	1.85
373	1.91
374	1.9
375	2.15
376	3.02
377	3.1
378	1.7
379	1.91
380	1.91
381	2.26
382	1.51
383	2.26
384	2.15
385	2.86
386	2.33
387	2.14
388	2.26
389	1.91
390	2.46
391	1.43
392	1.55
393	1.77
394	2.26
395	3.1
396	1.76
397	1.36
398	1.85
399	1.51
400	1.51
401	1.96
402	2.21
403	1.83
404	1.83
405	1.85
406	2.56
407	2.62
408	2.71
409	2.15
410	2.58
411	2.68
412	2.14
413	2.15
414	1.56
415	1.9
416	0.92
417	1.93
418	2.67
419	1.9
420	2.68
421	1.57
422	1.83
423	2.68
424	2.21
425	1.59
426	1.57
427	1.83
428	1.9
429	2.15
430	1.91
431	1.87
432	1.46
433	1.91
434	2.15
435	2.14
436	1.85
437	1.85
438	1.88
439	2.11
440	2.73
441	2.46
442	2.4
443	2.61
444	2.26
445	1.85
446	2.43
447	2.65
448	1.9
449	1.83
450	2.43
451	1.52
452	2.28
453	2.46
454	2.66
455	2.84
456	2.68
457	2.49
458	2.26
459	2.38
460	2.44
