Compound Id	Highest positive partial charge on the molecule
PCN-02	0.174953
PCN-01	0.170865
PCDE-000	0.31461
PCDF-000	0.230115
PCB-002	0.179123
PCB-003	0.169649
PCDD-00	0.176403
PCDE-002	0.356845
PCDE-003	0.303511
PCN-03	0.171813
PCB-010	0.175008
PCB-004	0.169774
PCB-009	0.182779
PCDE-010	0.325134
PCB-006	0.178029
PCB-008	0.171466
PCB-005	0.172669
PCDE-009	0.321137
PBDE-002	0.337102
PCB-014	0.193635
PCDE-007	0.299366
PCB-030	0.195974
PCDE-008	0.293951
PCDE-005	0.315071
PCDE-013	0.347606
PCB-011	0.179001
PCB-013	0.179266
PCB-012	0.179266
PCDD-01	0.182371
PCDE-015	0.286913
PCDD-02	0.198609
PCB-017	0.19191
PCN-13	0.180858
PCB-027	0.181268
PCDE-030	0.320414
PCB-016	0.172578
PCB-034	0.193362
PCB-023	0.19434
PCB-029	0.191664
PCB-054	0.176985
PCDE-024	0.317009
PCB-025	0.192599
PCB-028	0.192172
PCDE-023	0.35585
PCDE-029	0.30251
PCB-020	0.178126
PBDE-010	0.333301
PCB-021	0.175962
PCN-34	0.195853
PCB-033	0.179467
PCB-022	0.173749
PCB-051	0.192777
PCDE-025	0.351783
PCDE-031	0.311096
PCB-045	0.178532
PCDE-028	0.284551
PCB-039	0.194471
PCN-27	0.169456
PCB-046	0.177466
PCDE-033	0.34106
PCB-075	0.197106
PCB-036	0.194284
PCB-069	0.197644
PBDE-007	0.322589
PCDE-035	0.338878
PCB-043	0.194121
PCB-047	0.19289
PCB-048	0.192486
PCDE-022	0.304001
PCB-065	0.195088
PCB-035	0.180443
PCDE-037	0.329084
PCB-064	0.178637
PCB-044	0.186611
PCB-037	0.180718
PBDE-012	0.3395
PCB-042	0.193108
PBDE-013	0.321036
PCDE-065	0.306609
PCB-072	0.193958
PCB-040	0.173286
PCDE-062	0.31425
PCDD-10	0.199863
PCB-071	0.182743
PCB-103	0.198406
PCDD-11	0.199804
PCB-074	0.192776
PCN-52	0.195551
PCB-063	0.195186
PCB-067	0.193182
PCB-093	0.19468
PCDE-048	0.303515
PCB-066	0.193319
PCB-076	0.189663
PCDE-064	0.297301
PCDE-067	0.333379
PCB-088	0.197107
PCB-055	0.17836
PCN-50	0.192271
PCB-080	0.194841
PCB-095	0.183445
PCB-102	0.193429
PCDE-047	0.258873
PCDE-063	0.34758
PCB-091	0.193806
PCDE-070	0.317979
PCDE-074	0.291768
PCDE-061	0.336662
PBDE-030	0.325393
PCB-056	0.179518
PCDE-066	0.334157
PCB-092	0.194675
PCDE-042	0.314044
PCB-155	0.198591
PCDE-055	0.340566
PCB-101	0.193989
PCB-079	0.194867
PCDE-041	0.3009
PCB-078	0.18684
PCB-112	0.195707
PCB-099	0.194023
PCB-145	0.19781
PCB-082	0.179117
PCDE-056	0.326214
PCB-081	0.186116
PCB-086	0.191962
PCB-083	0.194619
PCDE-060	0.284815
PCDE-077	0.319027
PCB-117	0.195943
PCDD-12	0.199602
PCB-085	0.193745
PCB-087	0.186504
PBDE-032	0.334055
PCB-077	0.180578
