Compound Id	Molecular volume
PCN-02	188.52
PCN-01	186.68
PCDE-000	212.46
PCDF-000	198.83
PCB-002	224.93
PCB-003	224.18
PCDD-00	208.66
PCDE-002	235.41
PCDE-003	235.67
PCN-03	207.96
PCB-010	244.03
PCB-004	243.85
PCB-009	245.43
PCDE-010	256.47
PCB-006	245.35
PCB-008	246.52
PCB-005	244.24
PCDE-009	256.84
PBDE-002	242.36
PCB-014	247.49
PCDE-007	258.07
PCB-030	266.37
PCDE-008	257.84
PCDE-005	255.74
PCDE-013	258.55
PCB-011	247.02
PCB-013	247.83
PCB-012	247.83
PCDD-01	231.24
PCDE-015	258.71
PCDD-02	231.67
PCB-017	266.28
PCN-13	228.7
PCB-027	266.73
PCDE-030	280.53
PCB-016	265.04
PCB-034	269.05
PCB-023	266.75
PCB-029	266.92
PCB-054	293.56
PCDE-024	278.17
PCB-025	267.79
PCB-028	269.04
PCDE-023	279.05
PCDE-029	278.57
PCB-020	266.49
PBDE-010	271.83
PCB-021	265.45
PCN-34	252.06
PCB-033	267.66
PCB-022	267.65
PCB-051	293.73
PCDE-025	281.04
PCDE-031	279.5
PCB-045	291.44
PCDE-028	281.45
PCB-039	270.53
PCN-27	247.83
PCB-046	292.46
PCDE-033	280.08
PCB-075	289.53
PCB-036	269.64
PCB-069	289.32
PBDE-007	271.43
PCDE-035	279.38
PCB-043	287.75
PCB-047	289.9
PCB-048	287.76
PCDE-022	278.74
PCB-065	286.09
PCB-035	268.2
PCDE-037	279.28
PCB-064	288.12
PCB-044	288.52
PCB-037	268.98
PBDE-012	270.24
PCB-042	288.6
PBDE-013	272.51
PCDE-065	300.05
PCB-072	291.5
PCB-040	286.23
PCDE-062	299.85
PCDD-10	253.08
PCB-071	288.7
PCB-103	315.81
PCDD-11	254.98
PCB-074	290.17
PCN-52	272.88
PCB-063	290.11
PCB-067	289.21
PCB-093	312.57
PCDE-048	301.08
PCB-066	290.07
PCB-076	289.34
PCDE-064	301.02
PCDE-067	302.08
PCB-088	312.81
PCB-055	287.71
PCN-50	271.41
PCB-080	293.69
PCB-095	314.41
PCB-102	314.92
PCDE-047	302.22
PCDE-063	301.85
PCB-091	315.38
PCDE-070	301.47
PCDE-074	301.77
PCDE-061	298.73
PBDE-030	302
PCB-056	288.73
PCDE-066	303.38
PCB-092	311.32
PCDE-042	300.45
PCB-155	339.98
PCDE-055	300.2
PCB-101	311.27
PCB-079	292.14
PCDE-041	298.94
PCB-078	289.65
PCB-112	308.87
PCB-099	311.5
PCB-145	335.82
PCB-082	307.39
PCDE-056	300.15
PCB-081	290.58
PCB-086	307.81
PCB-083	308.96
PCDE-060	300.29
PCDE-077	301.28
PCB-117	309.09
PCDD-12	255.11
PCB-085	309.84
PCB-087	309.69
PBDE-032	301.57
PCB-077	290.04
PCB-115	309.17
PCDE-102	324.86
PCB-120	312.78
PCB-148	338.51
PCB-110	309.82
PCDE-119	325.44
PBDE-033	299.62
PCB-151	335.3
PCB-154	338.56
PCDE-116	319.93
PCDE-117	322.73
PCB-136	335.91
PCN-67	292.21
PCDE-090	324.52
PCDE-091	321.96
PCB-108	311.37
PBDE-035	301.37
PCB-106	309.24
PCB-123	311.83
PCB-131	334.42
PCB-107	311.12
PCB-134	334.16
PCDE-110	323.27
PCN-69	289.68
PCN-71	287.34
PCB-118	311.08
PCB-135	336.23
PCDD-14	275.5
PBDE-037	300.5
PCB-144	335.66
PCDE-108	324.31
PCDE-109	323.23
PCB-122	310.55
PCDE-123	323.39
PCDE-087	321.53
PCDE-089	322.29
PCB-105	309.69
PCB-188	359.34
PCB-133	332.72
PCB-127	313.62
PCB-146	333.1
PCB-132	334.68
PCDE-085	322.01
PCB-168	333.05
PCB-153	333.17
PCB-141	331.31
PCB-158	330.9
PCB-163	330.74
PCB-130	331.04
PCB-202	378.7
PCB-176	357.17
PCB-138	331.48
PCDE-105	321.82
PCDE-082	320.01
PCB-126	311.67
PCB-186	355.98
PCB-129	329.15
PCDE-149	343.18
PBDE-069	332.27
PCDE-146	345.54
PCB-175	357.5
PCB-183	357.77
PCDE-139	343.6
PCB-128	329.42
PCB-185	355.3
PBDE-047	328.06
PCB-187	357.23
PCN-73	309.14
PCB-181	356.38
PCB-137	331.43
PCB-167	333.11
PCDE-140	345.77
PBDE-066	329.82
PCDE-166	342.62
PCDE-167	345.06
PCB-157	331.7
PCDE-137	344.27
PCDD-27	295.86
PCDE-130	343.19
PCB-174	356.2
PCB-197	379.47
PCB-192	352.67
PCB-201	379.12
PCDE-138	343.01
PBDE-077	329.67
PCB-204	379.68
PCB-172	352.83
PCDE-156	342.71
PCB-180	353.18
PCDE-187	365.43
PCDE-157	344.12
PCB-190	350.87
PCB-191	352.69
PCDE-128	341.68
PCB-170	351.2
PCDE-174	366.21
PCB-198	376.97
PCDE-181	364.14
PCB-169	333.77
PCB-203	377.27
PCDE-180	365.25
PCB-196	378.35
PCB-199	378.05
PCDE-177	365.28
PCDD-42	301.05
PCDE-189	364.67
PCB-195	376.19
PCDE-170	363.98
PCDE-203	385.08
PCB-208	399.08
PBDE-115	357.66
PCB-205	372.78
PCDF-114	308.42
PCDE-194	385.2
PCB-206	397.41
PCDE-206	405.5
PCDF-118	327.58
PCDE-209	427.21
PCDF-131	349.07
PCDF-135	366.66
PCDD-75	383.84
PCB-001	223.27
PCDE-001	235.3
PCN-05	207.5
PCB-007	245.72
PBDE-001	241.21
PCDE-014	258.35
PCB-019	270.37
PCDE-012	256.63
PCB-018	266.33
PCB-015	247.3
PCB-024	265.01
PCB-032	266.86
PCB-026	267.7
PCB-031	268.67
PCDE-032	279.49
PCB-053	293.64
PCDE-017	278.96
PCDE-039	281.39
PCN-28	249.83
PCDE-038	278.2
PCDE-021	276.98
PCB-052	289.91
PCDF-016	245.49
PBDE-008	270.85
PCB-061	286.8
PCB-041	286.24
PBDE-015	272.3
PCDE-075	303.58
PCDE-068	305.67
PCDE-049	301.9
PCB-098	316.12
PCDE-071	301.48
PCB-070	289.73
PCB-060	288.88
PCB-121	312.88
PCDE-079	302.31
PCN-53	268.84
PCB-084	313.2
PCB-090	311.42
PCDE-081	301.28
PCB-113	311.27
PCB-119	311.17
PCB-097	310.3
PCB-116	305.76
PCDE-100	324.24
PCB-125	310.45
PCDE-120	325.36
PCDE-101	323.83
PCN-66	292.2
PCDE-115	322.67
PCDE-099	324.24
PCB-114	310.31
PCB-139	336.63
PCB-149	336.42
PCDE-097	321.35
PCDE-118	323.86
PCB-143	334.8
PCB-124	311.75
PCDE-114	321.68
PCDE-154	348.29
PCDE-126	322.04
PCB-179	356.71
PBDE-075	331.93
PCB-178	357.09
PCDE-147	344.57
PCDE-153	345.4
PCDE-163	344.73
PCB-182	358.41
PCB-177	356.68
PCB-156	331.19
PCB-171	356.54
PCDE-132	344.03
PCDF-083	287.72
PCB-193	352.54
PCDD-48	298.2
PCB-200	377.23
PBDE-099	356.35
PBDE-082	352.34
PCDE-190	364.91
PCB-189	353.13
PCB-207	399.46
PCDE-199	387.7
PCDE-195	384.11
PCDD-66	340.5
PCDD-73	362.16
BBz-01	137.39
BBz-02	164.91
BBz-03	167.28
BBz-04	167.31
BBz-05	192.76
BBz-06	194.73
BBz-07	197.02
BBz-08	220.34
BBz-09	222.45
BBz-10	222.37
BBz-11	247.95
BBz-12	273.57
CBz-00	108.61
CBz-01	130.48
CBz-02	151.99
CBz-03	153.56
CBz-04	153.56
CBz-05	173.48
CBz-06	174.87
CBz-07	176.42
CBz-08	195.12
CBz-09	196.43
CBz-10	195.82
CBz-11	216.21
CBz-12	235.87
PBB-001	230.71
PBB-002	231.84
PBB-003	231.53
PBB-004	261.22
PBB-005	258.35
PBB-006	260.85
PBB-007	259.84
PBB-008	261.57
PBB-009	259.86
PBB-010	260.14
PBB-011	261.4
PBB-012	259.2
PBB-013	262.16
PBB-014	261.08
PBB-015	261.81
PBB-016	288.63
PBB-017	290.74
PBB-018	290.55
PBB-019	288.25
PBB-020	288.51
PBB-021	285.7
PBB-022	289.39
PBB-023	287.36
PBB-024	288.64
PBB-025	290.18
PBB-026	290.11
PBB-027	290.39
PBB-028	290.7
PBB-029	287.38
PBB-030	290.24
PBB-031	290.72
PBB-032	290.62
PBB-033	288.81
PBB-034	291.1
PBB-035	288.93
PBB-036	290.68
PBB-037	289.77
PBB-038	286.82
PBB-039	291.46
PBB-040	316.98
PBB-041	316.05
PBB-042	319.46
PBB-043	317.86
PBB-044	318.59
PBB-045	315.74
PBB-046	317.28
PBB-047	321.47
PBB-048	318.27
PBB-049	320.54
PBB-050	317.37
PBB-051	319.47
PBB-052	320.34
