Compound Id	Polarizability derived from the heat of formation
PCDE-141	35.292495
PCDE-142	34.817561
PCDE-143	34.892861
PCDE-144	35.043725
PCDE-145	34.726439
PCDE-148	35.200208
PCDE-150	34.863139
PCDE-151	34.888091
PCDE-152	34.594485
PCDE-155	35.025581
PCDE-158	35.308641
PCDE-159	35.612138
PCDE-160	35.206481
PCDE-161	35.449902
PCDE-162	35.526888
PCDE-164	35.133508
PCDE-165	35.257189
PCDE-168	35.315315
PCDE-169	35.703215
PCDE-171	37.199214
PCDE-172	37.616516
PCDE-173	37.093087
PCDE-175	37.323996
PCDE-176	37.062304
PCDE-178	37.16529
PCDE-179	36.914589
PCDE-182	37.610592
PCDE-183	37.565206
PCDE-184	37.410258
PCDE-185	37.359732
PCDE-186	37.016764
PCDE-188	37.250103
PCDE-191	37.726038
PCDE-192	37.810576
PCDE-193	37.580425
PCDE-196	39.928378
PCDE-197	39.688632
PCDE-198	39.652226
PCDE-200	39.382738
PCDE-201	39.637468
PCDE-202	39.450576
PCDE-204	39.733943
PCDE-205	40.08503
PCDE-207	42.008864
PCDE-208	41.953049
PCDF-001	23.435162
PCDF-002	23.831154
PCDF-003	23.980132
PCDF-004	23.609005
PCDF-005	25.802853
PCDF-006	26.092141
PCDF-007	25.771145
PCDF-008	25.663932
PCDF-009	26.036246
PCDF-010	25.836296
PCDF-011	25.455856
PCDF-012	26.326138
PCDF-013	26.113213
PCDF-014	26.061117
PCDF-015	26.485461
PCDF-017	26.130688
PCDF-018	26.215567
PCDF-019	26.653546
PCDF-020	25.780284
PCDF-021	28.395487
PCDF-022	28.235612
PCDF-023	28.070625
PCDF-024	28.469968
PCDF-025	28.213581
PCDF-026	27.792449
PCDF-027	28.366826
PCDF-028	28.353356
PCDF-029	28.787998
PCDF-030	28.562257
PCDF-031	28.130981
PCDF-032	27.966064
PCDF-033	28.389314
PCDF-034	28.204013
PCDF-035	27.794285
PCDF-036	28.198781
PCDF-037	28.144595
PCDF-038	28.348835
PCDF-039	28.565886
PCDF-040	28.608047
PCDF-041	29.069598
PCDF-042	28.839654
PCDF-043	28.337252
PCDF-044	28.804362
PCDF-045	28.590832
PCDF-046	28.659089
PCDF-047	28.339967
PCDF-048	28.83304
PCDF-049	30.740202
PCDF-050	30.687279
PCDF-051	31.142844
PCDF-052	30.876724
PCDF-053	30.394364
PCDF-054	30.458731
PCDF-055	30.919234
PCDF-056	30.675213
PCDF-057	30.224983
PCDF-058	30.690763
PCDF-059	30.586242
PCDF-060	30.18347
PCDF-061	30.813578
PCDF-062	30.547512
PCDF-063	30.172562
PCDF-064	30.593917
PCDF-065	31.087588
PCDF-066	30.876895
PCDF-067	30.409307
PCDF-068	30.982419
PCDF-069	30.922889
PCDF-070	30.504337
PCDF-071	31.180414
PCDF-072	30.898792
PCDF-073	30.535279
PCDF-074	30.491855
PCDF-075	30.097729
PCDF-076	30.757711
PCDF-077	30.602566
PCDF-078	30.806856
PCDF-079	31.332104
PCDF-080	31.118549
PCDF-081	31.286823
PCDF-082	31.214461
PCDF-084	30.960887
PCDF-085	30.897874
PCDF-086	30.976516
PCDF-087	33.010023
PCDF-088	33.515322
PCDF-089	33.271738
PCDF-090	32.757686
PCDF-091	33.380653
PCDF-092	33.26965
PCDF-093	32.812125
PCDF-094	33.551271
PCDF-095	33.228588
PCDF-096	32.844301
PCDF-097	33.096646
PCDF-098	33.00027
PCDF-099	32.572328
PCDF-100	33.306439
PCDF-101	33.007186
PCDF-102	32.639638
PCDF-103	33.103895
PCDF-104	32.872148
PCDF-105	33.24152
PCDF-106	33.19263
PCDF-107	32.741671
PCDF-108	33.519733
PCDF-109	33.200243
PCDF-110	33.465201
PCDF-111	32.976283
PCDF-112	33.517163
PCDF-113	33.447545
PCDF-115	35.700984
PCDF-116	35.610555
PCDF-117	35.114728
PCDF-119	35.596462
PCDF-120	35.235982
PCDF-121	35.875145
PCDF-122	35.567716
PCDF-123	35.34443
PCDF-124	35.585588
PCDF-125	35.552872
PCDF-126	35.285851
PCDF-127	35.062637
PCDF-128	35.761728
PCDF-129	35.453287
PCDF-130	36.057236
PCDF-132	37.898371
PCDF-133	37.675699
PCDF-134	37.995657
PCN-00	17.220603
PCN-04	21.825545
PCN-06	21.47893
PCN-07	21.795077
PCN-08	21.718564
PCN-09	21.502348
PCN-10	21.953113
PCN-11	22.112153
PCN-12	22.10602
PCN-14	23.98689
PCN-15	23.937359
PCN-16	24.266187
PCN-17	24.186985
PCN-18	23.81618
PCN-19	23.974815
PCN-20	24.385514
PCN-21	24.318973
PCN-22	24.053911
PCN-23	23.821758
PCN-24	24.020169
PCN-25	24.106832
PCN-26	24.528293
PCN-29	26.714968
PCN-30	26.664208
PCN-31	26.229425
PCN-32	26.256758
PCN-33	26.553358
PCN-35	26.176871
PCN-36	26.396292
PCN-37	26.464209
PCN-38	26.164342
PCN-39	26.608434
PCN-40	26.439602
PCN-41	26.25531
PCN-42	26.578329
PCN-43	26.373885
PCN-44	26.80717
PCN-45	26.724096
PCN-46	26.137211
PCN-47	26.407679
PCN-48	27.026516
PCN-49	28.601583
PCN-51	28.889377
PCN-54	29.204723
PCN-55	28.969126
PCN-56	28.805898
PCN-57	28.757856
PCN-58	28.868171
PCN-59	28.623667
PCN-60	29.006556
PCN-61	28.845043
PCN-62	28.700806
PCN-63	31.19383
PCN-64	31.358736
PCN-65	31.019749
PCN-68	31.295565
PCN-70	31.401411
PCN-72	31.209334
PCN-74	33.697414
PCN-75	36.194186
