Compound Id	Polarizability derived from the heat of formation
PCDE-139	35.068934
PCB-128	33.998589
PCB-185	36.194877
PBDE-047	35.233529
PCB-187	36.216153
PCN-73	33.796611
PCB-181	36.352814
PCB-137	34.223045
PCB-167	34.493858
PCDE-140	35.313206
PBDE-066	35.374931
PCDE-166	35.550174
PCDE-167	35.582152
PCB-157	34.295942
PCDE-137	35.343807
PCDD-27	31.744909
PCDE-130	35.296765
PCB-174	35.991414
PCB-197	38.496079
PCB-192	36.516054
PCB-201	38.375249
PCDE-138	35.525575
PBDE-077	35.841188
PCB-204	38.545975
PCB-172	36.340784
PCDE-156	35.533404
PCB-180	36.588704
PCDE-187	37.374852
PCDE-157	35.512598
PCB-190	36.63186
PCB-191	36.563401
PCDE-128	35.175157
PCB-170	36.417939
PCDE-174	37.290484
PCB-198	38.533953
PCDE-181	37.392185
PCB-169	34.634188
PCB-203	38.727584
PCDE-180	37.85023
PCB-196	38.611811
PCB-199	38.458282
PCDE-177	37.558076
PCDD-42	31.985343
PCDE-189	37.989563
PCB-195	38.537488
PCDE-170	37.514191
PCDE-203	39.886253
PCB-208	40.721613
PBDE-115	39.075554
PCB-205	38.942122
PCDF-114	33.803131
PCDE-194	40.098122
PCB-206	40.98667
PCDE-206	42.10226
PCDF-118	35.955002
PCDE-209	44.471187
PCDF-131	38.228284
PCDF-135	40.338973
PCDD-75	41.376477
PCB-001	22.597618
PCDE-001	23.749731
PCN-05	21.565295
PCB-007	25.103748
PBDE-001	24.651618
PCDE-014	26.291432
PCB-019	26.60632
PCDE-012	26.424108
PCB-018	26.882929
PCB-015	25.502631
PCB-024	26.99035
PCB-032	27.06635
PCB-026	27.200477
PCB-031	27.420731
PCDE-032	28.127459
PCB-053	28.97371
PCDE-017	28.14934
PCDE-039	28.759842
PCN-28	26.287281
PCDE-038	28.600662
PCDE-021	28.502633
PCB-052	29.285873
PCDF-016	26.259779
PBDE-008	28.276938
PCB-061	29.651641
PCB-041	29.180323
PBDE-015	29.007777
PCDE-075	30.806289
PCDE-068	30.67184
PCDE-049	30.704016
PCB-098	31.3967
PCDE-071	30.255139
PCB-070	29.601886
PCB-060	29.759028
PCB-121	31.863058
PCDE-079	31.055852
PCN-53	28.622309
PCB-084	31.129128
PCB-090	31.759149
PCDE-081	31.10429
PCB-113	31.547015
PCB-119	31.961353
PCB-097	31.603233
PCB-116	31.856883
PCDE-100	32.701819
PCB-125	31.505416
PCDE-120	33.217692
PCDE-101	32.961121
PCN-66	31.521592
PCDE-115	33.200649
PCDE-099	32.980588
PCB-114	32.194934
PCB-139	33.994355
PCB-149	33.763177
PCDE-097	33.010832
PCDE-118	33.156043
PCB-143	33.589606
PCB-124	31.908377
PCDE-114	33.325081
PCDE-154	35.261717
PCDE-126	33.22735
PCB-179	35.809685
PBDE-075	35.557427
PCB-178	36.051933
PCDE-147	34.913341
PCDE-153	35.472658
PCDE-163	35.171471
PCB-182	36.287462
PCB-177	36.031649
PCB-156	34.434684
PCB-171	36.171164
PCDE-132	34.978698
PCDF-083	31.504408
PCB-193	36.364854
PCDD-48	32.512171
PCB-200	38.246263
PBDE-099	38.90402
PBDE-082	38.129519
PCDE-190	37.660593
PCB-189	36.749049
PCB-207	40.866615
PCDE-199	39.874875
PCDE-195	39.541027
PCDD-66	36.9892
PCDD-73	39.152769
BBz-01	13.476129
BBz-02	16.67332
BBz-03	16.91816
BBz-04	16.99512
BBz-05	20.011342
BBz-06	20.302328
BBz-07	20.473139
BBz-08	23.512177
BBz-09	23.731502
BBz-10	23.779625
BBz-11	27.092552
BBz-12	30.534586
CBz-00	10.166508
CBz-01	12.26238
CBz-02	14.317049
CBz-03	14.482485
CBz-04	14.515674
