Compound Id	Total energy
PCDE-177	-3581.94008
PCDD-42	-3123.22189
PCDE-189	-3581.98255
PCB-195	-3531.8177
PCDE-170	-3581.90607
PCDE-203	-3822.793
PCB-208	-3772.7747
PBDE-115	-2967.54086
PCB-205	-3531.86875
PCDF-114	-3072.84565
PCDE-194	-3822.7731
PCB-206	-3772.69014
PCDE-206	-4063.54519
PCDF-118	-3313.70344
PCDE-209	-4304.31821
PCDF-131	-3554.47412
PCDF-135	-3795.1711
PCDD-75	-4086.24179
PCB-001	-1845.43107
PCDE-001	-2136.42901
PCN-05	-1814.55827
PCB-007	-2086.50169
PBDE-001	-2109.89139
PCDE-014	-2377.62469
PCB-019	-2327.4928
PCDE-012	-2377.44716
PCB-018	-2327.56323
PCB-015	-2086.57606
PCB-024	-2327.36148
PCB-032	-2327.56374
PCB-026	-2327.59849
PCB-031	-2327.60193
PCDE-032	-2618.46385
PCB-053	-2568.55571
PCDE-017	-2618.45454
PCDE-039	-2618.68065
PCN-28	-2296.37395
PCDE-038	-2618.36243
PCDE-021	-2618.24806
PCB-052	-2568.6187
PCDF-016	-2350.27391
PBDE-008	-2324.42125
PCB-061	-2568.15761
PCB-041	-2568.32779
PBDE-015	-2324.48753
PCDE-075	-2859.47749
PCDE-068	-2859.61945
PCDE-049	-2859.50134
PCB-098	-2809.44457
PCDE-071	-2859.38761
PCB-070	-2568.5122
PCB-060	-2568.35892
PCB-121	-2809.64528
PCDE-079	-2859.57807
PCN-53	-2537.17115
PCB-084	-2809.30328
PCB-090	-2809.51725
PCDE-081	-2859.41484
PCB-113	-2809.50563
PCB-119	-2809.50412
PCB-097	-2809.3687
PCB-116	-2808.99029
PCDE-100	-3100.41387
PCB-125	-2809.37751
PCDE-120	-3100.50136
PCDE-101	-3100.40033
PCN-66	-2778.14941
PCDE-115	-3100.22566
PCDE-099	-3100.38948
PCB-114	-2809.24489
PCB-139	-3050.3326
PCB-149	-3050.33667
PCDE-097	-3100.25506
PCDE-118	-3100.34108
PCB-143	-3050.19976
PCB-124	-2809.40835
PCDE-114	-3100.19889
PCDE-154	-3341.31128
PCDE-126	-3100.31411
PCB-179	-3291.1657
PBDE-075	-2753.25103
PCB-178	-3291.20392
PCDE-147	-3341.18759
PCDE-153	-3341.26551
PCDE-163	-3341.1569
PCB-182	-3291.22503
PCB-177	-3291.07698
PCB-156	-3050.14777
PCB-171	-3291.08343
PCDE-132	-3341.06477
PCDF-083	-2832.06762
PCB-193	-3291.13064
PCDD-48	-3123.10486
PCB-200	-3531.90815
PBDE-099	-2967.71162
PBDE-082	-2967.57072
PCDE-190	-3581.8816
PCB-189	-3291.03712
PCB-207	-3772.78504
PCDE-199	-3822.8249
PCDE-195	-3822.67236
PCDD-66	-3604.68146
PCDD-73	-3845.467
BBz-01	-1030.21217
BBz-02	-1244.63875
BBz-03	-1244.7128
BBz-04	-1244.71948
BBz-05	-1459.03402
BBz-06	-1459.11141
BBz-07	-1459.17425
BBz-08	-1673.40818
BBz-09	-1673.47699
BBz-10	-1673.48508
BBz-11	-1887.75945
BBz-12	-2102.02185
CBz-00	-815.66132
CBz-01	-1056.77761
CBz-02	-1297.70205
CBz-03	-1297.8513
CBz-04	-1297.85053
CBz-05	-1538.61168
CBz-06	-1538.7477
CBz-07	-1538.89054
CBz-08	-1779.50028
CBz-09	-1779.63294
CBz-10	-1779.62618
CBz-11	-2020.37158
CBz-12	-2261.10613
PBB-001	-1818.87585
PBB-002	-1818.91379
PBB-003	-1818.91435
PBB-004	-2033.39976
PBB-005	-2033.29966
PBB-006	-2033.41702
PBB-007	-2033.37641
PBB-008	-2033.41852
PBB-009	-2033.38253
PBB-010	-2033.33998
PBB-011	-2033.44576
PBB-012	-2033.33856
PBB-013	-2033.44618
PBB-014	-2033.41208
PBB-015	-2033.44704
PBB-016	-2247.82037
PBB-017	-2247.89817
PBB-018	-2247.90225
PBB-019	-2247.88266
PBB-020	-2247.83176
PBB-021	-2247.69504
PBB-022	-2247.83366
PBB-023	-2247.77282
PBB-024	-2247.73848
PBB-025	-2247.90683
PBB-026	-2247.91092
PBB-027	-2247.87641
PBB-028	-2247.90871
PBB-029	-2247.77574
PBB-030	-2247.80428
PBB-031	-2247.9144
PBB-032	-2247.88162
PBB-033	-2247.84016
PBB-034	-2247.9097
PBB-035	-2247.86178
PBB-036	-2247.93157
PBB-037	-2247.86257
PBB-038	-2247.7331
PBB-039	-2247.93421
PBB-040	-2462.23492
PBB-041	-2462.21435
PBB-042	-2462.31175
PBB-043	-2462.28981
PBB-044	-2462.31507
PBB-045	-2462.27802
PBB-046	-2462.30177
PBB-047	-2462.38802
PBB-048	-2462.2939
PBB-049	-2462.39173
PBB-050	-2462.34491
PBB-051	-2462.38035
PBB-052	-2462.39466
PBB-053	-2462.38211
PBB-054	-2462.38362
PBB-055	-2462.21932
PBB-056	-2462.24903
PBB-057	-2462.29395
PBB-058	-2462.3166
PBB-059	-2462.267
PBB-060	-2462.22162
PBB-061	-2462.0701
PBB-062	-2462.10599
PBB-063	-2462.29768
PBB-064	-2462.27303
PBB-065	-2462.11176
PBB-066	-2462.32301
PBB-067	-2462.29689
PBB-068	-2462.39131
PBB-069	-2462.3318
PBB-070	-2462.3269
PBB-071	-2462.30046
PBB-072	-2462.39524
PBB-073	-2462.36955
PBB-074	-2462.30054
PBB-075	-2462.33748
PBB-076	-2462.22971
PBB-077	-2462.27218
PBB-078	-2462.2468
PBB-079	-2462.34082
PBB-080	-2462.40945
PBB-081	-2462.24959
PBB-082	-2676.62389
PBB-083	-2676.69769
PBB-084	-2676.69186
PBB-085	-2676.69961
PBB-086	-2676.58609
PBB-087	-2676.70262
PBB-088	-2676.64424
PBB-089	-2676.69544
PBB-090	-2676.77363
PBB-091	-2676.76966
PBB-092	-2676.77592
PBB-093	-2676.64861
PBB-094	-2676.7686
PBB-095	-2676.77072
PBB-096	-2676.7772
PBB-097	-2676.70197
PBB-098	-2676.75812
PBB-099	-2676.77758
PBB-100	-2676.83535
PBB-101	-2676.78024
PBB-102	-2676.77333
PBB-103	-2676.83688
PBB-104	-2676.8452
PBB-105	-2676.63165
PBB-106	-2676.58608
PBB-107	-2676.70519
PBB-108	-2676.69835
PBB-109	-2676.62845
PBB-110	-2676.68568
PBB-111	-2676.77173
PBB-112	-2676.63377
PBB-113	-2676.75205
PBB-114	-2676.59002
PBB-115	-2676.63433
PBB-116	-2676.38668
PBB-117	-2676.64012
PBB-118	-2676.70813
PBB-119	-2676.7487
PBB-120	-2676.77552
PBB-121	-2676.81643
PBB-122	-2676.63274
PBB-123	-2676.70667
PBB-124	-2676.71036
PBB-125	-2676.68954
PBB-126	-2676.65227
PBB-127	-2676.72002
PBB-128	-2891.00851
PBB-129	-2890.99069
PBB-130	-2891.08123
PBB-131	-2891.0539
PBB-132	-2891.08124
PBB-133	-2891.15317
PBB-134	-2891.05799
PBB-135	-2891.15294
PBB-136	-2891.16629
PBB-137	-2891.06589
PBB-138	-2891.08539
PBB-139	-2891.13072
PBB-140	-2891.14663
PBB-141	-2891.06793
PBB-142	-2890.92275
PBB-143	-2891.06473
PBB-144	-2891.13158
PBB-145	-2891.14307
PBB-146	-2891.1577
PBB-147	-2891.13517
PBB-148	-2891.21863
PBB-149	-2891.15789
PBB-150	-2891.23375
PBB-151	-2891.13559
PBB-152	-2891.1463
PBB-153	-2891.16192
PBB-154	-2891.22322
PBB-155	-2891.30066
PBB-156	-2890.99402
PBB-157	-2891.01119
PBB-158	-2891.04181
PBB-159	-2891.0599
PBB-160	-2890.90433
PBB-161	-2891.10816
PBB-162	-2891.08373
PBB-163	-2891.04739
PBB-164	-2891.06955
PBB-165	-2891.11346
PBB-166	-2890.91077
PBB-167	-2891.0875
PBB-168	-2891.13371
PBB-169	-2891.02808
PBB-170	-3105.37138
PBB-171	-3105.43962
PBB-172	-3105.44256
PBB-173	-3105.3293
PBB-174	-3105.44629
PBB-175	-3105.51047
PBB-176	-3105.52863
PBB-177	-3105.44378
PBB-178	-3105.51421
PBB-179	-3105.53161
PBB-180	-3105.44701
PBB-181	-3105.4058
PBB-182	-3105.5114
PBB-183	-3105.5153
PBB-184	-3105.5953
PBB-185	-3105.40605
PBB-186	-3105.42037
PBB-187	-3105.51938
PBB-188	-3105.59866
PBB-189	-3105.36974
PBB-190	-3105.31513
PBB-191	-3105.42178
PBB-192	-3105.38053
PBB-193	-3105.42665
PBB-194	-3319.7301
PBB-195	-3319.71262
PBB-196	-3319.80144
PBB-197	-3319.88793
PBB-198	-3319.78241
PBB-199	-3319.80523
PBB-200	-3319.80331
PBB-201	-3319.89101
PBB-202	-3319.89375
PBB-203	-3319.7875
PBB-204	-3319.86981
PBB-205	-3319.69184
PBB-206	-3534.07185
PBB-207	-3534.16067
PBB-208	-3534.16348
PBB-209	-3748.43186
PBDD-01	-2373.65952
PBDD-02	-2373.742
PBDD-03	-2588.05428
PBDD-04	-2588.11868
PBDD-05	-2588.04604
PBDD-06	-2588.06307
PBDD-07	-2588.14193
PBDD-08	-2588.13974
PBDD-09	-2588.05193
PBDD-10	-2588.12688
PBDD-11	-2588.22073
PBDD-12	-2588.22006
PBDD-13	-2802.41628
PBDD-14	-2802.41625
PBDD-15	-2802.45199
PBDD-16	-2802.52813
PBDD-17	-2802.52576
PBDD-18	-2802.44044
PBDD-19	-2802.51323
PBDD-20	-2802.59039
PBDD-21	-2802.58906
PBDD-22	-2802.505
PBDD-23	-2802.43541
PBDD-24	-2802.51957
PBDD-25	-2802.51917
PBDD-26	-2802.59675
PBDD-27	-3016.69327
PBDD-28	-3016.80699
PBDD-29	-3016.88214
PBDD-30	-3016.88054
PBDD-31	-3016.7981
PBDD-32	-3016.80125
PBDD-33	-3016.88262
PBDD-34	-3016.88225
PBDD-35	-3016.80019
PBDD-36	-3016.83474
PBDD-37	-3016.89467
PBDD-38	-3016.81903
PBDD-39	-3016.89919
PBDD-40	-3016.88625
PBDD-41	-3016.8227
PBDD-42	-3016.9552
PBDD-43	-3016.88061
PBDD-44	-3016.96082
PBDD-45	-3016.94876
PBDD-46	-3016.80588
PBDD-47	-3016.89233
PBDD-48	-3016.96708
PBDD-49	-3231.07424
PBDD-50	-3231.15417
PBDD-51	-3231.18421
PBDD-52	-3231.2437
PBDD-53	-3231.17054
PBDD-54	-3231.24822
PBDD-55	-3231.23693
PBDD-56	-3231.17503
PBDD-57	-3231.17966
PBDD-58	-3231.23995
PBDD-59	-3231.16708
PBDD-60	-3231.25004
PBDD-61	-3231.23936
PBDD-62	-3231.17848
PBDD-63	-3445.44884
PBDD-64	-3445.50868
PBDD-65	-3445.43769
PBDD-66	-3445.51807
PBDD-67	-3445.52934
PBDD-68	-3445.52635
PBDD-69	-3445.5256
PBDD-70	-3445.52212
PBDD-71	-3445.52389
PBDD-72	-3445.52368
PBDD-73	-3659.79244
PBDD-74	-3659.79123
PBDD-75	-3874.05642
PBDE-003	-2109.9779
PBDE-004	-2324.36166
PBDE-005	-2324.30638
PBDE-006	-2324.42396
PBDE-009	-2324.36803
PBDE-011	-2324.48773
PBDE-014	-2324.46147
PBDE-016	-2538.78023
PBDE-017	-2538.85053
PBDE-018	-2538.85267
PBDE-019	-2538.76336
PBDE-020	-2538.82765
PBDE-021	-2538.68671
PBDE-022	-2538.82744
PBDE-023	-2538.75964
PBDE-024	-2538.67187
