Compound Id	Total energy of the corresponding cation
PCDE-070	-2850.44932
PCDE-074	-2850.51821
PCDE-061	-2850.2997
PBDE-030	-2529.83163
PCB-056	-2559.1941
PCDE-066	-2850.48567
PCB-092	-2800.16443
PCDE-042	-2850.40947
PCB-155	-3040.801
PCDE-055	-2850.30405
PCB-101	-2800.26889
PCB-079	-2559.21277
PCDE-041	-2850.44122
PCB-078	-2559.07934
PCB-112	-2799.94035
PCB-099	-2800.33359
PCB-145	-3040.91131
PCB-082	-2799.98314
PCDE-056	-2850.35071
PCB-081	-2559.17642
PCB-086	-2800.04069
PCB-083	-2799.95787
PCDE-060	-2850.3712
PCDE-077	-2850.37823
PCB-117	-2800.09356
PCDD-12	-2632.95602
PCB-085	-2800.17686
PCB-087	-2800.10956
PBDE-032	-2529.9981
PCB-077	-2559.18619
PCB-115	-2800.15042
PCDE-102	-3091.51071
PCB-120	-2800.21135
PCB-148	-3041.19893
PCB-110	-2800.11519
PCDE-119	-3091.45186
PBDE-033	-2529.9404
PCB-151	-3040.95067
PCB-154	-3041.28202
PCDE-116	-3090.93776
PCDE-117	-3091.24469
PCB-136	-3040.91183
PCN-67	-2769.071
PCDE-090	-3091.33926
PCDE-091	-3091.26535
PCB-108	-2799.97919
PBDE-035	-2529.81703
PCB-106	-2799.94184
PCB-123	-2800.14891
PCB-131	-3040.72939
PCB-107	-2800.08378
PCB-134	-3040.81805
PCDE-110	-3091.34611
PCN-69	-2769.1345
PCN-71	-2769.11132
PCB-118	-2800.17063
PCB-135	-3040.92798
PCDD-14	-2873.62196
PBDE-037	-2529.83605
PCB-144	-3040.89139
PCDE-108	-3091.13486
PCDE-109	-3091.11868
PCB-122	-2799.97901
PCDE-123	-3091.34067
PCDE-087	-3091.31147
PCDE-089	-3091.34009
PCB-105	-2800.03136
PCB-188	-3282.09953
PCB-133	-3040.95492
PCB-127	-2800.01415
PCB-146	-3041.05212
PCB-132	-3040.71627
PCDE-085	-3091.33717
PCB-168	-3041.11848
PCB-153	-3041.14462
PCB-141	-3040.94171
PCB-158	-3040.97474
PCB-163	-3040.85143
PCB-130	-3040.89015
PCB-202	-3522.63929
PCB-176	-3281.72026
PCB-138	-3041.00822
PCDE-105	-3091.17433
PCDE-082	-3091.24033
PCB-126	-2799.98615
PCB-186	-3281.71291
PCB-129	-3040.84316
PCDE-149	-3332.10233
PBDE-069	-2744.14771
PCDE-146	-3332.108
PCB-175	-3281.73908
PCB-183	-3281.75411
PCDE-139	-3332.10314
PCB-128	-3040.8541
PCB-185	-3281.62454
PBDE-047	-2744.27025
PCB-187	-3281.7817
PCN-73	-3009.82377
PCB-181	-3281.61688
PCB-137	-3041.00653
PCB-167	-3040.9685
PCDE-140	-3332.23578
PBDE-066	-2744.23969
PCDE-166	-3331.95034
PCDE-167	-3332.07698
PCB-157	-3040.82131
PCDE-137	-3332.18279
PCDD-27	-3114.3128
PCDE-130	-3332.10701
PCB-174	-3281.63358
PCB-197	-3522.52902
PCB-192	-3281.60047
PCB-201	-3522.61546
PCDE-138	-3332.09564
PBDE-077	-2744.12715
PCB-204	-3522.74629
PCB-172	-3281.72447
PCDE-156	-3331.99496
PCB-180	-3281.82105
PCDE-187	-3572.83871
PCDE-157	-3331.95654
PCB-190	-3281.65764
PCB-191	-3281.76973
PCDE-128	-3332.01131
PCB-170	-3281.68019
PCDE-174	-3572.95603
PCB-198	-3522.46211
PCDE-181	-3572.79659
PCB-169	-3040.78721
PCB-203	-3522.46412
PCDE-180	-3572.9386
PCB-196	-3522.44581
PCB-199	-3522.48435
PCDE-177	-3572.86881
PCDD-42	-3114.63117
PCDE-189	-3572.77499
PCB-195	-3522.27544
PCDE-170	-3572.86067
PCDE-203	-3813.58955
PCB-208	-3763.32571
PBDE-115	-2958.50746
PCB-205	-3522.45293
PCDF-114	-3063.73677
PCDE-194	-3813.62854
PCB-206	-3763.16394
PCDE-206	-4054.2771
PCDF-118	-3304.61348
PCDE-209	-4295.05543
PCDF-131	-3545.32427
PCDF-135	-3785.96473
PCDD-75	-4077.47472
PCB-001	-1836.52309
PCDE-001	-2127.76179
PCN-05	-1805.83524
PCB-007	-2077.50978
PBDE-001	-2101.20952
PCDE-014	-2368.56369
PCB-019	-2318.15065
PCDE-012	-2368.64079
PCB-018	-2318.45671
PCB-015	-2077.55387
PCB-024	-2318.22484
PCB-032	-2318.54748
PCB-026	-2318.36659
PCB-031	-2318.47107
PCDE-032	-2609.72212
PCB-053	-2559.29822
PCDE-017	-2609.74245
PCDE-039	-2609.53514
PCN-28	-2287.43454
PCDE-038	-2609.46863
PCDE-021	-2609.44382
PCB-052	-2559.37718
PCDF-016	-2341.19268
PBDE-008	-2315.65068
PCB-061	-2559.04257
PCB-041	-2559.19592
PBDE-015	-2315.56672
PCDE-075	-2850.6186
PCDE-068	-2850.24358
PCDE-049	-2850.61428
PCB-098	-2800.037
PCDE-071	-2850.56178
PCB-070	-2559.29818
PCB-060	-2559.20346
PCB-121	-2800.20233
PCDE-079	-2850.38206
PCN-53	-2528.28561
PCB-084	-2799.92115
PCB-090	-2800.21461
PCDE-081	-2850.37363
PCB-113	-2799.99557
PCB-119	-2800.32064
PCB-097	-2800.17352
PCB-116	-2799.80329
PCDE-100	-3091.42276
PCB-125	-2800.19661
PCDE-120	-3091.32657
PCDE-101	-3091.47932
PCN-66	-2769.11847
PCDE-115	-3091.27888
PCDE-099	-3091.50057
PCB-114	-2800.03114
PCB-139	-3040.84224
PCB-149	-3040.9393
PCDE-097	-3091.1857
PCDE-118	-3091.30444
PCB-143	-3040.90953
PCB-124	-2800.09256
PCDE-114	-3091.20409
PCDE-154	-3332.41006
PCDE-126	-3091.18066
PCB-179	-3281.7995
PBDE-075	-2744.29029
PCB-178	-3281.7824
PCDE-147	-3332.01326
PCDE-153	-3332.25834
PCDE-163	-3332.0881
PCB-182	-3281.94855
PCB-177	-3281.63673
PCB-156	-3040.84799
PCB-171	-3281.50725
PCDE-132	-3332.0923
PCDF-083	-2823.0304
PCB-193	-3281.6486
PCDD-48	-3114.54435
PCB-200	-3522.46771
PBDE-099	-2958.54402
PBDE-082	-2958.42669
PCDE-190	-3572.77717
PCB-189	-3281.64317
PCB-207	-3763.27988
PCDE-199	-3813.74364
PCDE-195	-3813.47933
PCDD-66	-3596.01476
PCDD-73	-3836.75119
BBz-01	-1020.90266
BBz-02	-1235.27232
BBz-03	-1235.27407
BBz-04	-1235.37022
BBz-05	-1449.49714
BBz-06	-1449.68906
BBz-07	-1449.54743
BBz-08	-1663.91147
BBz-09	-1663.95229
BBz-10	-1664.03982
BBz-11	-1878.23707
BBz-12	-2092.42768
CBz-00	-806.26462
CBz-01	-1047.478
CBz-02	-1288.43178
CBz-03	-1288.38296
CBz-04	-1288.58582
CBz-05	-1529.06089
CBz-06	-1529.44009
CBz-07	-1529.18467
CBz-08	-1770.12937
CBz-09	-1770.24893
CBz-10	-1770.34031
CBz-11	-2011.00601
CBz-12	-2251.66043
PBB-001	-1809.84903
PBB-002	-1809.83067
PBB-003	-1809.91815
PBB-004	-2024.0767
PBB-005	-2024.12084
PBB-006	-2024.17384
PBB-007	-2024.2191
PBB-008	-2024.26987
PBB-009	-2024.17733
PBB-010	-2023.81629
PBB-011	-2024.12887
PBB-012	-2024.20627
PBB-013	-2024.23398
PBB-014	-2024.15747
PBB-015	-2024.29892
PBB-016	-2238.34555
PBB-017	-2238.46466
PBB-018	-2238.48828
PBB-019	-2238.44544
PBB-020	-2238.46163
PBB-021	-2238.43336
PBB-022	-2238.56056
PBB-023	-2238.43945
PBB-024	-2238.26426
PBB-025	-2238.54902
PBB-026	-2238.50941
PBB-027	-2238.40414
PBB-028	-2238.63029
PBB-029	-2238.51912
PBB-030	-2238.30302
PBB-031	-2238.59497
PBB-032	-2238.63814
PBB-033	-2238.57696
PBB-034	-2238.47903
PBB-035	-2238.52466
PBB-036	-2238.44922
PBB-037	-2238.58942
PBB-038	-2238.48402
PBB-039	-2238.57736
PBB-040	-2452.63754
PBB-041	-2452.68344
PBB-042	-2452.71162
PBB-043	-2452.76985
PBB-044	-2452.7763
PBB-045	-2452.78278
PBB-046	-2452.75034
PBB-047	-2452.83689
PBB-048	-2452.82866
PBB-049	-2452.85529
PBB-050	-2452.79907
PBB-051	-2452.89128
PBB-052	-2452.87669
PBB-053	-2452.93166
PBB-054	-2452.81127
PBB-055	-2452.77055
PBB-056	-2452.87784
PBB-057	-2452.7802
PBB-058	-2452.70573
PBB-059	-2452.7
PBB-060	-2452.85116
PBB-061	-2452.7212
PBB-062	-2452.55073
PBB-063	-2452.87033
PBB-064	-2452.77626
PBB-065	-2452.5815
PBB-066	-2452.9369
PBB-067	-2452.85144
PBB-068	-2452.87668
PBB-069	-2452.78669
PBB-070	-2452.90218
PBB-071	-2453.00902
PBB-072	-2452.82815
PBB-073	-2452.74789
PBB-074	-2452.92383
PBB-075	-2452.88018
PBB-076	-2452.84384
PBB-077	-2452.88304
PBB-078	-2452.79363
PBB-079	-2452.8666
PBB-080	-2452.76062
PBB-081	-2452.87129
PBB-082	-2666.94065
PBB-083	-2667.04259
PBB-084	-2667.09413
PBB-085	-2667.05985
PBB-086	-2667.033
PBB-087	-2667.0902
PBB-088	-2667.0696
PBB-089	-2667.10849
PBB-090	-2667.13944
PBB-091	-2667.1773
PBB-092	-2667.17144
PBB-093	-2667.10488
PBB-094	-2667.21912
PBB-095	-2667.2264
PBB-096	-2667.22079
PBB-097	-2667.09554
PBB-098	-2667.09365
PBB-099	-2667.18729
PBB-100	-2667.24143
PBB-101	-2667.19784
PBB-102	-2667.30531
PBB-103	-2667.3311
PBB-104	-2667.18944
PBB-105	-2667.16394
PBB-106	-2667.05996
PBB-107	-2667.18431
PBB-108	-2667.0839
PBB-109	-2666.96589
PBB-110	-2667.24768
PBB-111	-2667.08031
PBB-112	-2667.00626
PBB-113	-2667.05794
PBB-114	-2667.1347
PBB-115	-2667.06651
PBB-116	-2666.78334
PBB-117	-2667.26841
PBB-118	-2667.2282
PBB-119	-2667.24569
PBB-120	-2667.19458
PBB-121	-2667.08385
PBB-122	-2667.13907
PBB-123	-2667.20811
PBB-124	-2667.17569
PBB-125	-2666.97917
PBB-126	-2667.15845
PBB-127	-2667.13614
PBB-128	-2881.27768
PBB-129	-2881.30401
PBB-130	-2881.37427
PBB-131	-2881.37786
PBB-132	-2881.40176
PBB-133	-2881.46859
PBB-134	-2881.41965
PBB-135	-2881.52399
PBB-136	-2881.56484
PBB-137	-2881.39472
PBB-138	-2881.42734
PBB-139	-2881.46551
PBB-140	-2881.44842
PBB-141	-2881.42027
PBB-142	-2881.30926
PBB-143	-2881.49636
PBB-144	-2881.51296
PBB-145	-2881.51492
PBB-146	-2881.49303
PBB-147	-2881.48805
PBB-148	-2881.61116
PBB-149	-2881.56423
PBB-150	-2881.59747
PBB-151	-2881.53608
PBB-152	-2881.57033
PBB-153	-2881.51478
PBB-154	-2881.68373
PBB-155	-2881.56543
PBB-156	-2881.44526
PBB-157	-2881.4299
PBB-158	-2881.4588
PBB-159	-2881.38359
PBB-160	-2881.21732
PBB-161	-2881.34003
PBB-162	-2881.44837
PBB-163	-2881.40639
PBB-164	-2881.5101
PBB-165	-2881.37568
PBB-166	-2881.35513
PBB-167	-2881.50677
PBB-168	-2881.60001
PBB-169	-2881.4346
PBB-170	-3095.62955
PBB-171	-3095.69168
PBB-172	-3095.71607
PBB-173	-3095.6274
PBB-174	-3095.77701
PBB-175	-3095.80921
PBB-176	-3095.85027
PBB-177	-3095.7198
PBB-178	-3095.83737
PBB-179	-3095.89354
PBB-180	-3095.74012
PBB-181	-3095.70524
PBB-182	-3095.85395
PBB-183	-3095.85675
PBB-184	-3095.86045
PBB-185	-3095.75566
PBB-186	-3095.76452
PBB-187	-3095.86512
PBB-188	-3095.9208
PBB-189	-3095.71694
PBB-190	-3095.64627
PBB-191	-3095.72341
PBB-192	-3095.58435
PBB-193	-3095.62425
PBB-194	-3309.96167
PBB-195	-3309.93487
PBB-196	-3310.06327
PBB-197	-3310.13531
PBB-198	-3310.05483
PBB-199	-3310.08523
PBB-200	-3310.10092
PBB-201	-3310.17988
PBB-202	-3310.21561
PBB-203	-3310.09613
PBB-204	-3310.04045
PBB-205	-3309.96853
PBB-206	-3524.30704
PBB-207	-3524.38365
PBB-208	-3524.429
PBB-209	-3738.63782
PBDD-01	-2365.44619
PBDD-02	-2365.46509
PBDD-03	-2579.71234
PBDD-04	-2579.74903
PBDD-05	-2579.7314
PBDD-06	-2579.73639
PBDD-07	-2579.75759
PBDD-08	-2579.75487
PBDD-09	-2579.73489
PBDD-10	-2579.72815
PBDD-11	-2579.77721
