Compound Id	Total energy of the corresponding cation
PBN-56	-2395.19722
PBN-57	-2395.27358
PBN-58	-2395.32311
PBN-59	-2395.09976
PBN-60	-2395.45589
PBN-61	-2395.32594
PBN-62	-2395.25182
PBN-63	-2609.45814
PBN-64	-2609.52532
PBN-65	-2609.33257
PBN-66	-2609.67335
PBN-67	-2609.66642
PBN-68	-2609.53729
PBN-69	-2609.52443
PBN-70	-2609.46154
PBN-71	-2609.35141
PBN-72	-2609.39631
PBN-73	-2823.72559
PBN-74	-2823.51349
PBN-75	-3037.80793
PCB-000	-1595.52864
PCB-038	-2318.19424
PCB-049	-2559.43228
PCB-050	-2559.09588
PCB-057	-2559.15955
PCB-058	-2559.00142
PCB-059	-2559.11543
PCB-062	-2559.12462
PCB-068	-2559.30173
PCB-073	-2559.22081
PCB-089	-2799.81687
PCB-094	-2800.16516
PCB-096	-2800.09223
PCB-100	-2800.11852
PCB-104	-2799.95731
PCB-109	-2800.01759
PCB-111	-2800.06593
PCB-140	-3040.77665
PCB-142	-3040.67851
PCB-147	-3040.96722
PCB-150	-3041.11848
PCB-152	-3041.07083
PCB-159	-3040.87929
PCB-160	-3040.69434
PCB-161	-3040.93709
PCB-162	-3040.87785
PCB-164	-3040.9048
PCB-165	-3040.89101
PCB-166	-3040.83198
PCB-173	-3281.48325
PCB-184	-3281.95594
PCB-194	-3522.49532
PCB-209	-4004.00444
PCDD-03	-2632.78807
PCDD-04	-2632.90202
PCDD-05	-2632.83688
PCDD-06	-2632.84545
PCDD-07	-2632.90615
PCDD-08	-2632.89571
PCDD-09	-2632.85408
PCDD-13	-2873.58684
PCDD-15	-2873.6357
PCDD-16	-2873.68904
PCDD-17	-2873.68787
PCDD-18	-2873.63291
PCDD-19	-2873.73983
PCDD-20	-2873.81103
PCDD-21	-2873.79207
PCDD-22	-2873.75859
PCDD-23	-2873.68036
PCDD-24	-2873.73534
PCDD-25	-2873.69874
PCDD-26	-2873.74879
PCDD-28	-3114.43193
PCDD-29	-3114.49291
PCDD-30	-3114.48364
PCDD-31	-3114.43883
PCDD-32	-3114.47137
PCDD-33	-3114.51907
PCDD-34	-3114.52788
PCDD-35	-3114.46004
PCDD-36	-3114.42437
PCDD-37	-3114.53745
PCDD-38	-3114.46522
PCDD-39	-3114.48755
PCDD-40	-3114.5363
PCDD-41	-3114.41989
PCDD-43	-3114.58167
PCDD-44	-3114.59999
PCDD-45	-3114.66856
PCDD-46	-3114.50778
PCDD-47	-3114.53611
PCDD-49	-3355.15891
PCDD-50	-3355.21538
PCDD-51	-3355.22594
PCDD-52	-3355.32967
PCDD-53	-3355.2698
PCDD-54	-3355.28542
PCDD-55	-3355.3459
PCDD-56	-3355.22312
PCDD-57	-3355.25588
PCDD-58	-3355.37969
PCDD-59	-3355.29261
PCDD-60	-3355.3249
PCDD-61	-3355.36048
PCDD-62	-3355.25299
PCDD-63	-3595.94847
PCDD-64	-3596.0635
PCDD-65	-3595.98998
PCDD-67	-3596.02126
PCDD-68	-3596.06458
PCDD-69	-3596.05452
PCDD-70	-3596.02746
PCDD-71	-3596.0806
PCDD-72	-3596.08704
PCDD-74	-3836.78081
PCDE-004	-2368.73327
PCDE-006	-2368.61617
PCDE-011	-2368.60203
PCDE-016	-2609.5075
PCDE-018	-2609.66987
PCDE-019	-2609.51803
PCDE-020	-2609.42865
PCDE-026	-2609.57638
PCDE-027	-2609.54168
PCDE-034	-2609.34945
PCDE-036	-2609.47854
PCDE-040	-2850.30645
PCDE-043	-2850.44423
PCDE-044	-2850.3679
PCDE-045	-2850.29661
PCDE-046	-2850.40749
PCDE-050	-2850.47687
PCDE-051	-2850.64621
PCDE-052	-2850.53706
PCDE-053	-2850.58019
PCDE-054	-2850.42267
PCDE-057	-2850.3716
PCDE-058	-2850.27227
PCDE-059	-2850.3121
PCDE-069	-2850.44522
PCDE-072	-2850.43451
PCDE-073	-2850.38729
PCDE-076	-2850.45718
PCDE-078	-2850.36034
PCDE-080	-2850.36421
PCDE-083	-3091.26097
PCDE-084	-3091.07807
PCDE-086	-3091.28643
PCDE-088	-3091.1707
PCDE-092	-3091.3071
PCDE-093	-3091.05403
PCDE-094	-3091.36153
PCDE-095	-3091.19469
PCDE-096	-3091.20094
PCDE-098	-3091.30367
PCDE-103	-3091.35861
PCDE-104	-3091.37953
PCDE-106	-3091.18614
PCDE-107	-3091.22135
PCDE-111	-3091.25127
PCDE-112	-3091.05985
PCDE-113	-3091.14671
PCDE-121	-3091.29467
PCDE-122	-3091.15849
PCDE-124	-3091.24271
PCDE-125	-3091.36487
PCDE-127	-3091.24253
PCDE-129	-3332.0984
PCDE-131	-3331.96083
PCDE-133	-3332.11214
PCDE-134	-3331.84473
PCDE-135	-3332.09869
PCDE-136	-3331.97638
PCDE-141	-3332.16524
PCDE-142	-3331.87604
PCDE-143	-3332.19576
PCDE-144	-3332.04869
PCDE-145	-3332.07204
PCDE-148	-3332.24749
PCDE-150	-3332.15867
PCDE-151	-3331.93861
PCDE-152	-3331.96587
PCDE-155	-3332.32009
PCDE-158	-3332.1072
PCDE-159	-3332.05343
PCDE-160	-3331.81953
PCDE-161	-3331.97548
PCDE-162	-3332.02479
PCDE-164	-3332.15444
PCDE-165	-3331.90062
PCDE-168	-3332.25144
PCDE-169	-3331.97498
PCDE-171	-3572.78822
PCDE-172	-3572.97238
PCDE-173	-3572.67408
PCDE-175	-3572.83754
PCDE-176	-3572.83123
PCDE-178	-3572.72583
PCDE-179	-3572.73639
PCDE-182	-3573.09361
PCDE-183	-3572.90436
PCDE-184	-3573.00219
PCDE-185	-3572.75281
PCDE-186	-3572.7784
PCDE-188	-3572.91119
PCDE-191	-3572.90126
PCDE-192	-3572.6855
PCDE-193	-3572.8764
PCDE-196	-3813.73682
PCDE-197	-3813.68812
PCDE-198	-3813.54669
PCDE-200	-3813.53444
PCDE-201	-3813.59667
PCDE-202	-3813.4896
PCDE-204	-3813.69741
PCDE-205	-3813.57091
PCDE-207	-4054.374
PCDE-208	-4054.3054
PCDF-001	-2100.42637
PCDF-002	-2100.40506
PCDF-003	-2100.47566
PCDF-004	-2100.2739
PCDF-005	-2341.16752
PCDF-006	-2341.41747
PCDF-007	-2341.28788
PCDF-008	-2341.19784
PCDF-009	-2341.44763
PCDF-010	-2341.37078
PCDF-011	-2341.26687
PCDF-012	-2341.30344
PCDF-013	-2341.26886
PCDF-014	-2341.26288
PCDF-015	-2341.34588
PCDF-017	-2341.17121
PCDF-018	-2341.24156
PCDF-019	-2341.46823
PCDF-020	-2341.00581
PCDF-021	-2582.08756
PCDF-022	-2582.12576
PCDF-023	-2582.06968
PCDF-024	-2582.20588
PCDF-025	-2582.14474
PCDF-026	-2582.00209
PCDF-027	-2582.15419
PCDF-028	-2582.19625
PCDF-029	-2582.4244
PCDF-030	-2582.31666
PCDF-031	-2582.25048
PCDF-032	-2582.13889
PCDF-033	-2582.24986
PCDF-034	-2582.24929
PCDF-035	-2582.0997
PCDF-036	-2582.15022
PCDF-037	-2582.21712
PCDF-038	-2582.27713
PCDF-039	-2581.99384
PCDF-040	-2582.10258
PCDF-041	-2582.26578
PCDF-042	-2582.16947
PCDF-043	-2582.15248
PCDF-044	-2582.17344
PCDF-045	-2582.19609
PCDF-046	-2582.09446
PCDF-047	-2581.96595
PCDF-048	-2582.16862
PCDF-049	-2822.81188
PCDF-050	-2822.87501
PCDF-051	-2823.0846
PCDF-052	-2822.9626
PCDF-053	-2822.91592
PCDF-054	-2822.9951
PCDF-055	-2823.03064
PCDF-056	-2823.07224
PCDF-057	-2822.93696
PCDF-058	-2822.88472
PCDF-059	-2823.03074
PCDF-060	-2822.9102
PCDF-061	-2823.01645
PCDF-062	-2822.99078
PCDF-063	-2822.77007
PCDF-064	-2822.96509
PCDF-065	-2823.13863
PCDF-066	-2823.08457
PCDF-067	-2822.98095
PCDF-068	-2823.12467
PCDF-069	-2823.12783
PCDF-070	-2823.05395
PCDF-071	-2823.23528
PCDF-072	-2823.23208
PCDF-073	-2822.95093
PCDF-074	-2823.10976
PCDF-075	-2822.84142
PCDF-076	-2823.09751
PCDF-077	-2822.96536
PCDF-078	-2822.83259
PCDF-079	-2822.95713
PCDF-080	-2822.87525
PCDF-081	-2822.97656
PCDF-082	-2822.98107
PCDF-084	-2822.94936
PCDF-085	-2822.72911
PCDF-086	-2822.86576
PCDF-087	-3063.66816
PCDF-088	-3063.79264
PCDF-089	-3063.76395
PCDF-090	-3063.63468
PCDF-091	-3063.78178
PCDF-092	-3063.8021
PCDF-093	-3063.74678
PCDF-094	-3063.88957
PCDF-095	-3063.89666
PCDF-096	-3063.62811
PCDF-097	-3063.79079
PCDF-098	-3063.9451
PCDF-099	-3063.79203
PCDF-100	-3063.88146
PCDF-101	-3063.84635
PCDF-102	-3063.75079
PCDF-103	-3063.71587
PCDF-104	-3063.74896
PCDF-105	-3063.83346
PCDF-106	-3063.92026
PCDF-107	-3063.75011
PCDF-108	-3063.95666
PCDF-109	-3063.94913
PCDF-110	-3063.92589
PCDF-111	-3063.81336
PCDF-112	-3063.67118
PCDF-113	-3063.77153
PCDF-115	-3304.48641
PCDF-116	-3304.62579
PCDF-117	-3304.46673
PCDF-119	-3304.60581
PCDF-120	-3304.43005
PCDF-121	-3304.5738
PCDF-122	-3304.62046
PCDF-123	-3304.54558
PCDF-124	-3304.55806
PCDF-125	-3304.63029
PCDF-126	-3304.58226
PCDF-127	-3304.63383
PCDF-128	-3304.65672
PCDF-129	-3304.643
PCDF-130	-3304.42521
PCDF-132	-3545.31412
PCDF-133	-3545.31081
PCDF-134	-3545.27169
PCN-00	-1323.79727
PCN-04	-1805.74587
PCN-06	-1805.79627
PCN-07	-1805.72982
PCN-08	-1805.7683
PCN-09	-1805.67234
PCN-10	-1805.52299
PCN-11	-1805.76411
PCN-12	-1805.63591
PCN-14	-2046.68707
PCN-15	-2046.63753
PCN-16	-2046.64389
PCN-17	-2046.60245
PCN-18	-2046.54366
PCN-19	-2046.73815
PCN-20	-2046.63293
PCN-21	-2046.73513
PCN-22	-2046.57879
PCN-23	-2046.65598
PCN-24	-2046.76333
PCN-25	-2046.54385
PCN-26	-2046.52948
PCN-29	-2287.40339
PCN-30	-2287.41406
PCN-31	-2287.31523
PCN-32	-2287.4787
PCN-33	-2287.63137
PCN-35	-2287.50993
PCN-36	-2287.49656
PCN-37	-2287.55573
PCN-38	-2287.49666
PCN-39	-2287.42397
PCN-40	-2287.4734
PCN-41	-2287.3779
PCN-42	-2287.70001
PCN-43	-2287.57402
PCN-44	-2287.50322
PCN-45	-2287.47064
PCN-46	-2287.45655
PCN-47	-2287.56382
PCN-48	-2287.25913
PCN-49	-2528.19877
PCN-51	-2528.27577
PCN-54	-2528.19168
PCN-55	-2528.23838
PCN-56	-2528.17197
PCN-57	-2528.32785
PCN-58	-2528.38889
PCN-59	-2528.28272
PCN-60	-2528.4194
PCN-61	-2528.43844
PCN-62	-2528.33253
PCN-63	-2769.0307
PCN-64	-2769.12156
PCN-65	-2768.98384
PCN-68	-2769.11056
PCN-70	-2768.95004
PCN-72	-2769.10161
PCN-74	-3009.80657
PCN-75	-3250.50545
