Compound Id	Electronic energy
PCN-02	-8043.06116
PCN-01	-8130.06122
PCDE-000	-10540.29776
PCDF-000	-10322.54864
PCB-002	-10252.55797
PCB-003	-10209.1046
PCDD-00	-12057.80314
PCDE-002	-11900.95321
PCDE-003	-11880.76259
PCN-03	-9480.04917
PCB-010	-12072.38049
PCB-004	-12080.79357
PCB-009	-11854.86361
PCDE-010	-13886.97813
PCB-006	-11852.08385
PCB-008	-11808.7365
PCB-005	-11924.13715
PCDE-009	-13578.68012
PBDE-002	-11784.89576
PCB-014	-11661.6824
PCDE-007	-13509.56167
PCB-030	-13529.62912
PCDE-008	-13484.10744
PCDE-005	-13584.10294
PCDE-013	-13290.20735
PCB-011	-11627.13484
PCB-013	-11580.44636
PCB-012	-11580.44636
PCDD-01	-13638.59633
PCDE-015	-13269.66092
PCDD-02	-13475.52062
PCB-017	-13524.55796
PCN-13	-10922.40832
PCB-027	-13565.55801
PCDE-030	-15411.48366
PCB-016	-13626.70781
PCB-034	-13358.83527
PCB-023	-13414.18436
PCB-029	-13368.98168
PCB-054	-15650.08244
PCDE-024	-15484.26793
PCB-025	-13271.84262
PCB-028	-13222.56579
PCDE-023	-15179.58403
PCDE-029	-15159.38927
PCB-020	-13377.12584
PBDE-010	-13600.58063
PCB-021	-13438.62093
PCN-34	-12366.16467
PCB-033	-13352.99673
PCB-022	-13330.44001
PCB-051	-15326.69157
PCDE-025	-15079.87758
PCDE-031	-15039.59661
PCB-045	-15439.2175
PCDE-028	-14962.86687
PCB-039	-13044.07041
PCN-27	-12532.70432
PCB-046	-15444.51303
PCDE-033	-15145.8858
PCB-075	-15008.08075
PCB-036	-13100.54593
PCB-069	-15077.17222
PBDE-007	-13395.95935
PCDE-035	-14930.88934
PCB-043	-15214.70495
PCB-047	-15016.86567
PCB-048	-15169.42375
PCDE-022	-15035.64272
PCB-065	-15260.93325
PCB-035	-13104.29415
PCDE-037	-14828.09728
PCB-064	-15104.93262
PCB-044	-15186.79456
PCB-037	-13051.77466
PBDE-012	-13137.2935
PCB-042	-15125.01612
PBDE-013	-13056.70171
PCDE-065	-17218.33946
PCB-072	-14879.23644
PCB-040	-15230.28109
PCDE-062	-17158.27916
PCDD-10	-15042.54874
PCB-071	-15144.39657
PCB-103	-16966.12949
PCDD-11	-14941.54867
PCB-074	-14823.88791
PCN-52	-13953.46375
PCB-063	-14874.954
PCB-067	-14883.21834
PCB-093	-17165.14339
PCDE-048	-17148.7608
PCB-066	-14821.29482
PCB-076	-15008.89606
PCDE-064	-17020.10057
