Compound Id	Solvent accessible surface
PCN-02	185.96
PCN-01	182.86
PCDE-000	209.13
PCDF-000	195.76
PCB-002	217.53
PCB-003	217.08
PCDD-00	204.83
PCDE-002	228.15
PCDE-003	228.37
PCN-03	199.1
PCB-010	224.24
PCB-004	223.69
PCB-009	230.17
PCDE-010	235.12
PCB-006	230.39
PCB-008	230.52
PCB-005	227.39
PCDE-009	245.73
PBDE-002	233.56
PCB-014	236.95
PCDE-007	245.37
PCB-030	243.29
PCDE-008	244.45
PCDE-005	242.48
PCDE-013	247.88
PCB-011	236.76
PCB-013	236.59
PCB-012	236.59
PCDD-01	222.93
PCDE-015	247.57
PCDD-02	224.07
PCB-017	242.75
PCN-13	214.9
PCB-027	242.67
PCDE-030	254.76
PCB-016	239.85
PCB-034	249.29
PCB-023	246.57
PCB-029	246.81
PCB-054	248.54
PCDE-024	251.55
PCB-025	249.46
PCB-028	249.73
PCDE-023	262.36
PCDE-029	261.76
PCB-020	246.66
PBDE-010	244.15
PCB-021	243.66
PCN-34	234.79
PCB-033	246.91
PCB-022	246.79
PCB-051	256.18
PCDE-025	263.5
PCDE-031	264.39
PCB-045	252.86
PCDE-028	264.3
PCB-039	256.03
PCN-27	228.03
PCB-046	253.43
PCDE-033	260.5
PCB-075	262.41
PCB-036	256.14
PCB-069	261.89
PBDE-007	247.34
PCDE-035	264.2
PCB-043	258.36
PCB-047	261.95
PCB-048	258.3
PCDE-022	261.32
PCB-065	256.73
PCB-035	253.07
PCDE-037	263.62
PCB-064	259.43
PCB-044	258.72
PCB-037	252.87
PBDE-012	253.74
PCB-042	259.02
PBDE-013	258.51
PCDE-065	268.54
PCB-072	268.48
PCB-040	256.24
PCDE-062	268.01
PCDD-10	240.33
PCB-071	258.9
PCB-103	275.24
PCDD-11	243.04
PCB-074	266.13
PCN-52	250.68
PCB-063	265.97
PCB-067	266.12
PCB-093	269.37
PCDE-048	270.08
PCB-066	266.02
PCB-076	262.81
PCDE-064	270.69
PCDE-067	281.16
PCB-088	269.35
PCB-055	262.93
PCN-50	247.81
PCB-080	275.72
PCB-095	272.22
PCB-102	272.39
PCDE-047	273.66
PCDE-063	281.52
PCB-091	272.13
PCDE-070	280.55
PCDE-074	281.22
PCDE-061	275.6
PBDE-030	268.7
PCB-056	263.17
PCDE-066	280.09
PCB-092	277.19
PCDE-042	271.19
PCB-155	286.94
PCDE-055	277.6
PCB-101	277.22
PCB-079	272.57
PCDE-041	268.32
PCB-078	269.71
PCB-112	275.07
PCB-099	277.68
PCB-145	280.86
PCB-082	272.34
PCDE-056	277.28
PCB-081	269.66
PCB-086	271.91
PCB-083	274.75
PCDE-060	277.82
PCDE-077	280.66
PCB-117	275.67
PCDD-12	243.62
PCB-085	275.31
PCB-087	274.92
PBDE-032	268.73
PCB-077	269.33
PCB-115	275.54
PCDE-102	285.36
PCB-120	284.94
PCB-148	291.6
PCB-110	275.05
PCDE-119	289.39
PBDE-033	267.35
PCB-151	288.48
PCB-154	291.65
PCDE-116	281.69
PCDE-117	287.39
PCB-136	280.74
PCN-67	263.61
PCDE-090	289.98
PCDE-091	278.66
PCB-108	281.86
PBDE-035	280.37
PCB-106	279.7
PCB-123	282.06
PCB-131	285.74
PCB-107	282.33
PCB-134	285.67
PCDE-110	286.57
PCN-69	259.79
PCN-71	256.25
PCB-118	282.4
PCB-135	288.54
PCDD-14	257.38
PBDE-037	279.43
PCB-144	288.71
PCDE-108	296.51
PCDE-109	286.39
PCB-122	279.33
PCDE-123	289.55
PCDE-087	286.84
PCDE-089	282.87
PCB-105	279.26
PCB-188	300.07
PCB-133	293.46
PCB-127	289.24
PCB-146	293.46
PCB-132	285.51
PCDE-085	287.37
PCB-168	294.27
PCB-153	293.63
PCB-141	290.66
PCB-158	291.25
PCB-163	291.37
PCB-130	291.18
PCB-202	313.15
PCB-176	297.01
PCB-138	291.21
PCDE-105	293.8
PCDE-082	284.3
PCB-126	286.16
PCB-186	294.61
PCB-129	288.39
PCDE-149	294.85
PBDE-069	292.41
PCDE-146	305.94
PCB-175	305.27
PCB-183	305.06
PCDE-139	294.96
PCB-128	288.54
PCB-185	302.02
PBDE-047	284.22
PCB-187	304.63
PCN-73	272.91
PCB-181	302.02
PCB-137	291.09
PCB-167	298.57
PCDE-140	302.4
PBDE-066	292.04
PCDE-166	300.59
PCDE-167	312.86
PCB-157	295.47
PCDE-137	303.12
PCDD-27	271.19
PCDE-130	303.65
PCB-174	302.04
PCB-197	313.5
PCB-192	307.71
PCB-201	313.31
PCDE-138	303.24
PBDE-077	301.24
PCB-204	313.87
PCB-172	307.25
PCDE-156	310.92
PCB-180	307.13
PCDE-187	311.48
PCDE-157	309.73
PCB-190	305.07
PCB-191	307.38
PCDE-128	300.66
PCB-170	304.58
PCDE-174	315.18
PCB-198	318.45
PCDE-181	308.61
PCB-169	302.93
PCB-203	318.21
PCDE-180	318.95
PCB-196	318.72
PCB-199	318.37
PCDE-177	315.87
PCDD-42	279.76
PCDE-189	327.11
PCB-195	315.39
PCDE-170	316.62
PCDE-203	324.41
PCB-208	326.99
PBDE-115	309.86
PCB-205	321.14
PCDF-114	281.84
PCDE-194	332.5
PCB-206	331.76
PCDE-206	338.02
PCDF-118	293.46
PCDE-209	350.17
PCDF-131	309.25
PCDF-135	318.13
PCDD-75	332.09
PCB-001	211.19
PCDE-001	226.72
PCN-05	199.13
PCB-007	230.36
PBDE-001	222.75
PCDE-014	247.09
PCB-019	236.71
PCDE-012	244.32
PCB-018	241.87
PCB-015	236.35
PCB-024	240.4
PCB-032	243.08
PCB-026	249.37
PCB-031	249.43
PCDE-032	254.38
PCB-053	256.15
PCDE-017	254.28
PCDE-039	266.67
PCN-28	231.35
PCDE-038	260.34
PCDE-021	258.62
PCB-052	260.74
PCDF-016	234.5
PBDE-008	247.44
PCB-061	260.27
PCB-041	256.14
PBDE-015	258.38
PCDE-075	274.08
PCDE-068	281.28
PCDE-049	273.5
PCB-098	272.62
PCDE-071	269.85
PCB-070	265.82
PCB-060	263.1
PCB-121	280.7
PCDE-079	282.84
PCN-53	244.11
PCB-084	269.31
PCB-090	277.59
PCDE-081	279.98
PCB-113	277.61
PCB-119	278.08
PCB-097	275.18
PCB-116	270.01
PCDE-100	281.93
PCB-125	274.86
