Compound Id	Total energy in a solution represented by the Conductor-like Screening Model (COMSO)
PCN-02	-1573.69244
PCN-01	-1573.6544
PCDE-000	-1895.65271
PCDF-000	-1868.33408
PCB-002	-1845.63882
PCB-003	-1845.63707
PCDD-00	-2159.46384
PCDE-002	-2136.75269
PCDE-003	-2136.73208
PCN-03	-1814.58824
PCB-010	-2086.62303
PCB-004	-2086.6693
PCB-009	-2086.66415
PCDE-010	-2377.61015
PCB-006	-2086.71152
PCB-008	-2086.71218
PCB-005	-2086.53076
PCDE-009	-2377.72064
PBDE-002	-2110.19283
PCB-014	-2086.70206
PCDE-007	-2377.68967
PCB-030	-2327.63902
PCDE-008	-2377.72617
PCDE-005	-2377.58496
PCDE-013	-2377.82284
PCB-011	-2086.75181
PCB-013	-2086.7531
PCB-012	-2086.7531
PCDD-01	-2400.43484
PCDE-015	-2377.80691
PCDD-02	-2400.50738
PCB-017	-2327.73163
PCN-13	-2055.48945
PCB-027	-2327.73583
PCDE-030	-2618.60137
PCB-016	-2327.60096
PCB-034	-2327.76717
PCB-023	-2327.55709
PCB-029	-2327.55348
PCB-054	-2568.70231
PCDE-024	-2618.50001
PCB-025	-2327.77025
PCB-028	-2327.77375
PCDE-023	-2618.60845
PCDE-029	-2618.58442
PCB-020	-2327.64148
PBDE-010	-2324.55488
PCB-021	-2327.43144
PCN-34	-2296.63637
PCB-033	-2327.6381
PCB-022	-2327.64486
PCB-051	-2568.74427
PCDE-025	-2618.77469
PCDE-031	-2618.78319
PCB-045	-2568.57792
PCDE-028	-2618.75676
PCB-039	-2327.80964
PCN-27	-2296.32694
PCB-046	-2568.61299
PCDE-033	-2618.64577
PCB-075	-2568.75263
PCB-036	-2327.80494
PCB-069	-2568.74714
PBDE-007	-2324.60982
PCDE-035	-2618.73414
PCB-043	-2568.62206
PCB-047	-2568.79028
PCB-048	-2568.62157
PCDE-022	-2618.65531
PCB-065	-2568.3886
PCB-035	-2327.67768
PCDE-037	-2618.72222
PCB-064	-2568.63484
PCB-044	-2568.65821
PCB-037	-2327.6803
PBDE-012	-2324.6393
PCB-042	-2568.65894
PBDE-013	-2324.73078
PCDE-065	-2859.36078
PCB-072	-2568.82109
PCB-040	-2568.5272
PCDE-062	-2859.34217
PCDD-10	-2641.38287
PCB-071	-2568.66149
PCB-103	-2809.75097
PCDD-11	-2641.54491
PCB-074	-2568.66395
PCN-52	-2537.51282
PCB-063	-2568.66591
PCB-067	-2568.65782
PCB-093	-2809.43865
PCDE-048	-2859.57522
PCB-066	-2568.69576
PCB-076	-2568.53201
PCDE-064	-2859.57699
PCDE-067	-2859.65539
PCB-088	-2809.43811
PCB-055	-2568.53715
PCN-50	-2537.37571
PCB-080	-2568.85109
PCB-095	-2809.63037
PCB-102	-2809.62859
PCDE-047	-2859.70677
PCDE-063	-2859.67277
PCB-091	-2809.63468
PCDE-070	-2859.68655
PCDE-074	-2859.64718
PCDE-061	-2859.33571
PBDE-030	-2538.98698
PCB-056	-2568.56497
PCDE-066	-2859.67101
PCB-092	-2809.67151
PCDE-042	-2859.60641
PCB-155	-3050.71747
PCDE-055	-2859.53978
PCB-101	-2809.67402
PCB-079	-2568.72787
PCDE-041	-2859.45882
PCB-078	-2568.56921
PCB-112	-2809.4878
PCB-099	-2809.67643
PCB-145	-3050.4475
PCB-082	-2809.4227
PCDE-056	-2859.56326
PCB-081	-2568.57481
PCB-086	-2809.36555
PCB-083	-2809.54209
PCDE-060	-2859.52855
PCDE-077	-2859.6282
PCB-117	-2809.49689
PCDD-12	-2641.54486
PCB-085	-2809.55493
PCB-087	-2809.55299
PBDE-032	-2539.10758
PCB-077	-2568.60162
PCB-115	-2809.49533
PCDE-102	-3100.5242
PCB-120	-2809.7038
PCB-148	-3050.63195
PCB-110	-2809.5532
PCDE-119	-3100.59902
PBDE-033	-2539.12342
PCB-151	-3050.48509
PCB-154	-3050.63403
PCDE-116	-3100.06879
PCDE-117	-3100.43388
PCB-136	-3050.47579
PCN-67	-2778.25909
PCDE-090	-3100.61963
PCDE-091	-3100.50337
PCB-108	-2809.5844
PBDE-035	-2539.16069
PCB-106	-2809.40206
PCB-123	-2809.58592
PCB-131	-3050.36033
PCB-107	-2809.5799
PCB-134	-3050.35869
PCDE-110	-3100.49513
PCN-69	-2778.16075
PCN-71	-2778.02705
PCB-118	-2809.58056
PCB-135	-3050.51073
PCDD-14	-2882.23056
PBDE-037	-2539.16689
PCB-144	-3050.48723
PCDE-108	-3100.56822
PCDE-109	-3100.43471
PCB-122	-2809.45366
PCDE-123	-3100.56417
PCDE-087	-3100.48602
PCDE-089	-3100.40667
PCB-105	-2809.46048
PCB-188	-3291.44776
PCB-133	-3050.54764
PCB-127	-2809.61341
PCB-146	-3050.55206
PCB-132	-3050.39599
PCDE-085	-3100.48104
PCB-168	-3050.55515
PCB-153	-3050.5554
PCB-141	-3050.41277
PCB-158	-3050.41118
PCB-163	-3050.41012
PCB-130	-3050.43233
PCB-202	-3532.17024
PCB-176	-3291.3294
PCB-138	-3050.43505
PCDE-105	-3100.43317
PCDE-082	-3100.36704
PCB-126	-2809.49077
PCB-186	-3291.16582
PCB-129	-3050.28384
