Compound Id	Car
1	0
4	0
7	0
10	0
13	0
16	0
19	0
22	0
25	0
28	0
31	0
34	6
37	6
40	6
43	6
46	6
49	6
52	6
55	6
58	6
61	0
64	0
67	0
70	0
73	0
76	0
79	0
82	0
85	0
88	0
91	6
94	6
97	6
100	0
103	0
106	0
109	0
112	0
115	6
118	6
121	6
124	0
127	0
130	6
133	0
136	0
139	0
142	0
145	0
148	0
151	0
154	0
157	0
161	0
163	0
166	0
169	0
172	0
175	0
178	0
181	0
184	0
187	6
190	0
193	0
196	0
199	0
202	0
205	0
208	0
211	0
214	0
217	0
220	0
223	0
226	0
229	0
232	6
235	6
238	5
241	9
244	6
247	6
250	0
253	6
256	0
259	0
262	0
265	0
268	0
271	0
274	0
277	0
280	0
283	0
286	0
289	0
292	0
295	0
298	6
301	0
304	6
307	6
310	0
313	0
316	0
319	0
322	0
325	0
328	0
331	0
334	0
337	0
340	0
343	0
346	0
349	0
352	0
355	0
358	8
361	8
364	0
366	0
367	0
370	0
373	0
376	6
379	6
382	8
385	6
388	0
391	0
394	8
397	12
400	6
2	0
5	0
8	0
11	0
14	0
17	0
20	0
23	0
26	0
29	0
32	0
35	8
38	8
41	8
44	8
47	8
50	8
53	8
56	8
59	12
62	0
65	0
68	0
71	0
74	0
77	0
80	8
83	8
86	0
89	0
92	8
95	10
98	12
101	0
104	0
107	0
110	0
113	0
116	0
119	0
122	0
125	0
128	0
131	0
134	0
137	0
140	0
143	0
146	8
149	0
152	0
155	0
158	8
160	0
164	0
167	0
170	0
173	0
176	0
179	0
182	0
185	0
188	0
191	8
194	0
197	8
200	0
203	0
206	8
209	0
212	0
215	0
218	0
221	0
224	8
227	8
230	0
233	0
236	12
239	5
242	0
245	8
248	0
251	8
254	10
257	0
260	0
263	0
266	8
269	0
272	0
275	0
278	0
281	0
284	0
287	0
290	0
293	0
296	8
299	6
302	0
305	6
308	6
311	0
314	6
317	12
320	0
323	0
326	0
329	0
332	0
335	0
338	0
341	0
344	0
347	0
350	0
353	0
356	0
359	6
362	6
365	0
368	0
371	0
374	0
377	6
380	0
383	6
386	6
389	0
392	6
395	6
398	12
3	0
6	0
9	0
12	0
15	0
18	0
21	0
24	0
27	0
30	0
33	0
36	6
39	6
42	6
45	10
48	6
51	6
54	12
57	14
60	0
63	0
66	0
69	0
72	0
75	0
78	0
81	0
84	0
87	0
90	6
93	6
96	6
99	6
102	0
105	0
108	0
111	0
114	6
117	12
120	12
123	0
126	0
129	0
132	0
135	0
138	0
141	0
144	0
147	0
150	0
153	0
156	0
159	0
162	0
165	0
168	0
171	0
174	0
177	0
180	0
183	0
186	6
189	0
192	6
195	6
198	12
201	0
204	0
207	0
210	0
213	0
216	0
219	6
222	0
225	6
228	6
231	0
234	0
237	6
240	5
243	0
246	0
249	0
252	6
255	12
258	6
261	0
264	6
267	0
270	0
273	0
276	0
279	0
282	6
285	0
288	0
291	0
294	0
297	6
300	0
303	0
306	6
309	6
312	0
315	0
318	0
321	0
324	0
327	0
330	0
333	0
336	0
339	0
342	0
345	0
348	0
351	0
354	0
357	0
360	6
363	0
369	0
372	0
375	0
378	6
381	0
384	6
387	0
390	0
393	0
396	6
399	6
