Compound Id	COO
1	0
4	0
7	0
10	0
13	0
16	0
19	0
22	0
25	0
28	0
31	0
34	0
37	0
40	0
43	0
46	0
49	0
52	0
55	0
58	0
61	0
64	0
67	0
70	0
73	0
76	0
79	0
82	0
85	0
88	0
91	0
94	0
97	0
100	0
103	0
106	0
109	0
112	0
115	0
118	0
121	0
124	0
127	0
130	0
133	0
136	0
139	0
142	0
145	0
148	0
151	0
154	0
157	0
161	0
163	1
166	1
169	1
172	1
175	1
178	1
181	1
184	1
187	1
190	1
193	1
196	1
199	0
202	0
205	0
208	0
211	0
214	0
217	0
220	0
223	0
226	0
229	0
232	0
235	0
238	0
241	0
244	0
247	0
250	0
253	0
256	0
259	0
262	0
265	0
268	0
271	0
274	0
277	0
280	0
283	0
286	0
289	0
292	0
295	0
298	0
301	0
304	0
307	0
310	0
313	0
316	0
319	0
322	0
325	0
328	0
331	0
334	1
337	0
340	0
343	0
346	0
349	0
352	0
355	0
358	0
361	0
364	1
366	0
367	2
370	1
373	0
376	0
379	0
382	0
385	0
388	0
391	0
394	1
397	0
400	3
2	0
5	0
8	0
11	0
14	0
17	0
20	0
23	0
26	0
29	0
32	0
35	0
38	0
41	0
44	0
47	0
50	0
53	0
56	0
59	0
62	0
65	0
68	0
71	0
74	0
77	0
80	0
83	0
86	0
89	0
92	0
95	0
98	0
101	0
104	0
107	0
110	0
113	0
116	0
119	0
122	0
125	0
128	0
131	0
134	0
137	0
140	0
143	0
146	0
149	0
152	0
155	0
158	0
160	1
164	1
167	1
170	1
173	1
176	1
179	1
182	1
185	1
188	1
191	1
194	1
197	1
200	0
203	0
206	0
209	0
212	0
215	0
218	0
221	0
224	0
227	0
230	0
233	0
236	0
239	0
242	0
245	0
248	0
251	0
254	0
257	0
260	0
263	0
266	0
269	0
272	0
275	0
278	0
281	0
284	0
287	0
290	0
293	0
296	0
299	0
302	0
305	0
308	0
311	0
314	0
317	0
320	0
323	0
326	1
329	0
332	0
335	1
338	0
341	0
344	0
347	0
350	0
353	0
356	1
359	0
362	0
365	2
368	0
371	0
374	0
377	0
380	1
383	1
386	0
389	1
392	2
395	0
398	0
3	0
6	0
9	0
12	0
15	0
18	0
21	0
24	0
27	0
30	0
33	0
36	0
39	0
42	0
45	0
48	0
51	0
54	0
57	0
60	0
63	0
66	0
69	0
72	0
75	0
78	0
81	0
84	0
87	0
90	0
93	0
96	0
99	0
102	0
105	0
108	0
111	0
114	0
117	0
120	0
123	0
126	0
129	0
132	0
135	0
138	0
141	0
144	0
147	0
150	0
153	0
156	0
159	0
162	1
165	1
168	1
171	1
174	1
177	1
180	1
183	1
186	1
189	1
192	1
195	1
198	1
201	0
204	0
207	0
210	0
213	0
216	0
219	0
222	0
225	0
228	0
231	0
234	0
237	0
240	0
243	0
246	0
249	0
252	0
255	0
258	0
261	0
264	0
267	0
270	0
273	0
276	0
279	0
282	0
285	0
288	0
291	0
294	0
297	0
300	0
303	0
306	0
309	0
312	0
315	0
318	0
321	0
324	0
327	0
330	0
333	0
336	0
339	0
342	0
345	0
348	0
351	1
354	1
357	0
360	0
363	0
369	0
372	0
375	0
378	0
381	0
384	0
387	0
390	0
393	0
396	1
399	2
