Compound Id	Chi
1	2.27
4	2.914
7	2.914
10	3.394
13	3.932
16	3.932
19	4.414
22	4.966
25	5.914
28	6.914
31	8.414
34	3
37	3.972
40	4.326
43	4.432
46	4.966
49	4.88
52	4.843
55	5.932
58	6.932
61	1.414
64	1.732
67	2.27
70	2.27
73	2.561
76	2.56
79	3.27
82	3.914
85	4.27
88	5.44
91	3.805
94	4.326
97	5.41
100	1.414
103	2.207
106	2.414
109	2.77
112	3.414
115	4.432
118	6.098
121	7.598
124	1.914
127	2.27
130	3.932
133	1.732
136	2.694
139	3.394
142	3.126
145	3.626
148	4.77
151	2.27
154	2.643
157	3.681
161	4.77
163	2.27
166	2.77
169	2.808
172	3.414
175	3.126
178	3.77
181	3.808
184	4.126
187	4.788
190	4.664
193	5.164
196	5.702
199	1.914
202	2.808
205	3.414
208	1.914
211	2.414
214	2.414
217	2.914
220	3.414
223	3.126
226	3.914
229	4.414
232	5.381
235	5.56
238	3
241	4.966
244	4.787
247	6.753
250	2.643
253	4.698
256	1.914
259	4.432
262	2.414
265	3.414
268	4.414
271	2.5
274	3.414
277	4.121
280	2.914
283	1.414
286	1.732
289	2.414
292	2
295	2.914
298	3.394
301	3.414
304	3.805
307	3.788
310	3.805
313	3.914
316	4.414
319	1.732
322	1.732
325	2.643
328	3.27
331	2.414
334	3.308
337	2.561
340	3
343	2.914
346	3.414
349	3.414
352	3.126
355	3.77
358	5.464
361	4.198
364	4.164
366	4.626
367	4.626
370	4.27
373	3.914
376	5.183
379	4.343
382	4.843
385	4.932
388	6.414
391	5.414
394	7.253
397	7.88
400	9.596
2	2.5
5	2.77
8	2.561
11	3.414
14	3.061
17	3.914
20	4.256
23	4.914
26	6.414
29	7.414
32	8.914
35	3.394
38	3.788
41	4.305
44	4.198
47	4.932
50	4.864
53	5.432
56	6.432
59	7.288
62	1.914
65	2.414
68	2.414
71	2
74	2.914
77	3.394
80	3.932
83	4.432
86	4.346
89	6.346
92	3.788
95	5.36
98	6.377
101	1.914
104	2.5
107	3
110	2.894
113	3.414
116	4.414
119	6.414
122	8.278
125	1.914
128	2.414
131	4.414
134	2.27
137	2.77
140	3.126
143	3.77
146	4.305
149	4.52
152	2.27
155	3.27
158	4.304
160	1.914
164	2.77
167	2.914
170	3.126
173	3.308
176	3.27
179	3.914
182	4.27
185	4.308
188	4.787
191	5.343
194	5.164
197	7.305
200	1.914
203	2.414
206	3.932
209	1.732
212	2.27
215	3
218	2.77
221	3.414
224	3.804
227	4.215
230	4.414
233	5.414
236	6.449
239	3.394
242	2.77
245	5.182
248	2.27
251	4.304
254	6.288
257	3.414
260	1.414
263	2.914
266	3.932
269	6.414
272	2.414
275	4.414
278	5.121
281	3.414
284	1.914
287	2.27
290	2.27
293	2.414
296	3.394
299	3.394
302	3.414
305	3.788
308	3.932
311	3.788
314	4.326
317	6.36
320	1.914
323	2.27
326	2.77
329	2.414
332	2.914
335	3.27
338	3.414
341	2.914
344	2.914
347	2.914
350	3.414
353	3.414
356	3.77
359	6.112
362	5.626
365	4.664
368	4.27
371	3.914
374	4.414
377	4.826
380	4.788
383	5.253
386	4.826
389	5.27
392	6.702
395	6.421
398	7.915
3	2.414
6	3
9	2.643
12	3.126
15	3.788
18	3.417
21	4.698
24	5.414
27	6.524
30	7.914
33	9.414
36	3.932
39	3.932
42	4.305
45	4.966
48	4.788
51	4.696
54	5.36
57	6.933
60	1
63	1.914
66	2.414
69	2.27
72	2.693
75	2.77
78	3.414
81	3.787
84	4.414
87	4.914
90	3.394
93	3.788
96	5.577
99	7.826
102	2.414
105	2.414
108	3
111	3.27
114	3.932
117	6.449
120	7.449
123	1.414
126	2.414
129	2.27
132	4.346
135	2.27
138	3.394
141	3.27
144	3.808
147	4.27
150	1.732
153	2.77
156	3.77
159	4.27
162	2.414
165	2.808
168	2.77
171	3.308
174	3.308
177	3.808
180	3.626
183	4.306
186	4.843
189	4.77
192	5.267
195	5.696
198	7.86
201	2.414
204	2.914
207	1.5
210	2.5
213	2.27
216	2.894
219	3.394
222	3.126
225	3.788
228	4.304
231	4.126
234	5.414
237	7.381
240	3.788
243	3.77
246	5.718
249	2.77
252	4.715
255	7.288
258	4.432
261	1.914
264	3.394
267	3.914
270	1.414
273	2.694
276	3.707
279	1.914
282	4.432
285	1.914
288	2.27
291	2.414
294	2.27
297	3.394
300	3.394
303	3.414
306	3.805
309	3.805
312	3.914
315	4.414
318	2.643
321	2.77
324	2.27
327	2.808
330	2.27
333	2.643
336	3.27
339	3
342	3.77
345	2.914
348	2.561
351	3.608
354	3.681
357	3.394
360	4.882
363	3.626
369	3.417
372	3.626
375	4.914
378	4.305
381	4.846
384	5.274
387	4.77
390	4.914
393	6.558
396	8.253
399	8.702
