Compound Id	Leverage-weighted autocorrelation of lag 1/weighted by atomic masses
100-53-8	0.069
109-79-5	0.06
513-53-1	0.059
75-66-1	0.045
1569-69-3	0.086
143-10-2	0.036
112-55-0	0.031
25103-58-6	0.039
540-63-6	0.093
75-08-1	0.073
1639-09-4	0.046
111-31-9	0.051
513-44-0	0.062
75-33-2	0.065
74-93-1	0.093
1455-21-6	0.038
25360-10-5	0.046
111-88-6	0.043
141-59-3	0.054
110-66-7	0.053
108-98-5	0.065
107-03-9	0.056
5332-52-5	0.033
598-04-9	0.034
2150-02-9	0.082
67-68-5	0.397
625-60-5	0.051
110-77-0	0.044
60-24-2	0.076
107-96-0	0.109
872-93-5	0.243
3268-49-3	0.087
598-03-8	0.062
126-33-0	0.27
111-48-8	0.052
68-11-1	0.098
95-15-8	0.117
110-06-5	0.034
107-47-1	0.033
544-40-1	0.024
75-15-0	0
592-88-1	0.034
132-65-0	0.075
7133-46-2	0.053
110-81-6	0.049
352-93-2	0.036
544-02-5	0.03
624-92-0	0.263
75-18-3	0.175
16587-40-9	0.049
1207-12-1	0.045
638-02-8	0.047
882-33-7	0.054
14290-92-7	0.036
55735-23-4	0.059
20333-39-5	0.089
3698-94-0	0.028
30453-31-7	0.044
4110-50-3	0.034
1551-32-2	0.15
872-55-9	0.152
1195-14-8	0.068
6163-64-0	0.067
7372-88-5	0.058
624-89-5	0.074
1551-21-9	0.072
13286-92-5	0.057
1741-83-9	0.052
100-68-5	0.082
628-29-5	0.058
3877-15-4	0.063
1795-09-1	0.144
554-14-3	0.127
616-44-4	0.195
2690-08-6	0.016
2084-19-7	0.059
629-19-6	0.036
111-47-7	0.03
16587-32-9	0.08
1551-27-5	0.138
110-01-0	0.176
420-12-2	0.347
4565-32-6	0.101
110-02-1	0.216
287-27-4	0.232
