Compound Id	Balaban-type index from van der Waals weighted distance matrix
100-53-8	2.856
109-79-5	2.222
513-53-1	2.584
75-66-1	3.087
1569-69-3	2.142
143-10-2	2.698
112-55-0	2.764
25103-58-6	3.006
540-63-6	2.067
75-08-1	1.702
1639-09-4	2.544
111-31-9	2.465
513-44-0	2.581
75-33-2	2.389
74-93-1	1.088
1455-21-6	2.656
25360-10-5	3.057
111-88-6	2.606
141-59-3	3.088
110-66-7	2.362
108-98-5	3.059
107-03-9	2.02
5332-52-5	2.734
598-04-9	3.574
2150-02-9	1.706
67-68-5	2.548
625-60-5	2.768
110-77-0	2.191
60-24-2	1.599
107-96-0	2.356
872-93-5	2.557
3268-49-3	2.415
598-03-8	3.613
126-33-0	2.551
111-48-8	2.179
68-11-1	2.166
95-15-8	2.996
110-06-5	3.828
107-47-1	3.914
544-40-1	2.675
75-15-0	3.554
592-88-1	2.796
132-65-0	2.674
7133-46-2	1.736
110-81-6	2.552
352-93-2	2.313
544-02-5	2.988
624-92-0	2.23
75-18-3	1.777
16587-40-9	2.944
1207-12-1	2.663
638-02-8	3.128
882-33-7	2.079
14290-92-7	3.296
55735-23-4	3.053
20333-39-5	2.411
3698-94-0	2.731
30453-31-7	2.633
4110-50-3	2.443
1551-32-2	2.194
872-55-9	2.823
1195-14-8	2.922
6163-64-0	3.298
7372-88-5	2.664
624-89-5	2.098
1551-21-9	2.665
13286-92-5	3.465
1741-83-9	2.501
100-68-5	2.91
628-29-5	2.409
3877-15-4	2.283
1795-09-1	2.252
554-14-3	3.138
616-44-4	3.115
2690-08-6	2.892
2084-19-7	2.658
629-19-6	2.704
111-47-7	2.545
16587-32-9	2.51
1551-27-5	2.541
110-01-0	2.154
420-12-2	2.379
4565-32-6	2.579
110-02-1	3.23
287-27-4	2.107
