Compound Id	Number of circuits
95-15-8	3
110-06-5	0
107-47-1	0
544-40-1	0
75-15-0	0
592-88-1	0
7133-46-2	2
544-02-5	0
75-18-3	0
16587-40-9	3
1207-12-1	6
638-02-8	1
20333-39-5	0
3698-94-0	0
30453-31-7	0
4110-50-3	0
1551-32-2	1
872-55-9	1
1195-14-8	3
7372-88-5	6
1551-21-9	0
1741-83-9	0
100-68-5	1
1795-09-1	1
2084-19-7	0
16587-32-9	3
1551-27-5	1
4565-32-6	3
109-79-5	0
143-10-2	0
112-55-0	0
75-08-1	0
1639-09-4	0
111-31-9	0
74-93-1	0
1455-21-6	0
25360-10-5	0
111-88-6	0
110-66-7	0
107-03-9	0
5332-52-5	0
67-68-5	0
625-60-5	0
60-24-2	0
3268-49-3	0
100-53-8	1
513-53-1	0
75-66-1	0
1569-69-3	1
25103-58-6	0
540-63-6	0
513-44-0	0
75-33-2	0
141-59-3	0
108-98-5	1
598-04-9	0
2150-02-9	0
110-77-0	0
107-96-0	0
872-93-5	1
598-03-8	0
126-33-0	1
111-48-8	0
68-11-1	0
132-65-0	6
110-81-6	0
352-93-2	0
624-92-0	0
882-33-7	2
14290-92-7	0
55735-23-4	1
6163-64-0	0
624-89-5	0
13286-92-5	0
628-29-5	0
3877-15-4	0
554-14-3	1
616-44-4	1
629-19-6	0
111-47-7	0
110-01-0	1
420-12-2	1
110-02-1	1
287-27-4	1
2690-08-6	0
