Compound Id	Energy of the lowest unoccupied molecular orbital
1	3.2748
2	1.5499
3	1.5509
4	1.6112
5	1.6382
6	1.5499
7	1.5132
8	1.5504
9	1.5500
10	1.5500
11	1.4311
12	1.4997
13	1.4311
14	0.9396
15	0.6784
16	0.0732
17	-0.6363
18	0.1896
19	0.6416
20	0.0574
21	1.2411
22	-0.2387
23	0.6718
24	0.9670
25	0.3336
26	0.3340
27	0.3340
28	0.3348
29	0.3336
