Compound Id	Water solubility
1	1.29E1
2	1.88E1
3	1.74E1
4	6.29E1
5	1.98E0
6	2.91E0
7	3.61E0
8	3.54E0
9	4.83E0
10	5.98E-1
11	1.17E0
12	1.72E0
13	1.30E0
14	1.30E0
15	1.30E0
16	1.30E0
17	1.45E0
18	3.52E-1
19	5.17E-1
20	5.39E-2
21	1.06E-1
22	3.19E-2
23	3.67E-2
24	4.93E-2
25	9.60E-3
26	2.86E-3
27	4.57E-2
28	2.593E-4
