Compound Id	X2A
1	0.292
2	0.292
3	0.261
4	0.297
5	0.26
6	0.257
7	0.309
8	0.295
9	0.292
10	0.309
11	0.26
12	0.288
13	0.287
14	0.297
15	0.298
16	0.289
17	0.263
18	0.256
19	0.288
20	0.29
21	0.261
22	0.26
23	0.292
24	0.292
25	0.26
26	0.302
27	0.254
28	0.309
29	0.296
30	0.298
31	0.29
32	0.276
33	0.268
34	0.291
35	0.277
36	0.261
37	0.309
38	0.266
39	0.257
40	0.281
41	0.282
42	0.31
43	0.308
44	0.293
45	0.287
46	0.257
47	0.295
48	0.309
49	0.287
50	0.286
51	0.288
52	0.258
53	0.288
54	0.303
55	0.284
56	0.305
57	0.31
58	0.299
59	0.303
60	0.292
61	0.303
62	0.33
63	0.285
64	0.28
65	0.282
67	0.338
68	0.315
69	0.32
70	0.269
72	0.328
73	0.297
74	0.285
75	0.302
76	0.257
77	0.296
78	0.334
79	0.279
80	0.28
81	0.278
82	0.308
83	0.302
84	0.3
85	0.308
86	0.308
87	0.296
88	0.283
89	0.265
90	0.31
92	0.278
93	0.278
94	0.298
95	0.284
96	0.293
97	0.307
98	0.305
99	0.334
100	0.258
101	0.282
102	0.309
103	0.301
104	0.284
105	0.277
106	0.323
107	0.297
108	0.28
109	0.302
110	0.304
111	0.321
112	0.319
113	0.289
114	0.272
115	0.312
116	0.315
117	0.323
118	0.284
119	0.302
120	0.31
121	0.315
122	0.308
123	0.333
124	0.297
125	0.323
126	0.323
127	0.291
128	0.284
129	0.322
131	0.321
132	0.337
K1	0.278
K2	0.28
K3	0.278
K4	0.279
K5	0.284
K6	0.286
K7	0.287
K8	0.287
K9	0.295
K10	0.285
K11	0.285
K12	0.285
K13	0.286
K14	0.286
K15	0.294
K16	0.297
K17	0.258
K18	0.261
K19	0.261
K20	0.261
K21	0.26
K22	0.281
K23	0.309
