Compound Id	E1u
1	0.409
2	0.395
3	0.386
4	0.512
5	0.452
6	0.467
7	0.475
8	0.451
9	0.431
10	0.429
11	0.472
12	0.372
13	0.416
14	0.484
15	0.482
16	0.592
17	0.449
18	0.439
19	0.41
20	0.384
21	0.448
22	0.45
23	0.409
24	0.395
25	0.452
26	0.547
27	0.448
28	0.427
29	0.489
30	0.49
31	0.457
32	0.465
33	0.554
34	0.68
35	0.588
36	0.46
37	0.429
38	0.445
39	0.471
40	0.521
41	0.549
42	0.56
43	0.513
44	0.529
45	0.521
46	0.496
47	0.547
48	0.475
49	0.49
50	0.538
51	0.489
52	0.521
53	0.427
54	0.582
55	0.419
56	0.59
57	0.535
58	0.542
59	0.489
60	0.476
61	0.489
62	0.566
63	0.564
64	0.548
65	0.544
67	0.56
68	0.497
69	0.488
70	0.383
72	0.573
73	0.449
74	0.532
75	0.518
76	0.462
77	0.439
78	0.557
79	0.563
80	0.557
81	0.537
82	0.577
83	0.555
84	0.566
85	0.586
86	0.589
87	0.574
88	0.517
89	0.538
90	0.548
92	0.539
93	0.581
94	0.545
95	0.546
96	0.433
97	0.591
98	0.493
99	0.565
100	0.558
101	0.544
102	0.544
103	0.542
104	0.515
105	0.572
106	0.601
107	0.562
108	0.542
109	0.385
110	0.491
111	0.595
112	0.599
113	0.534
114	0.382
115	0.44
116	0.491
117	0.576
118	0.55
119	0.569
120	0.584
121	0.558
122	0.525
123	0.481
124	0.533
125	0.54
126	0.548
127	0.399
128	0.544
129	0.575
131	0.536
132	0.53
K1	0.53
K2	0.529
K3	0.532
K4	0.538
K5	0.528
K6	0.524
K7	0.535
K8	0.556
K9	0.533
K10	0.524
K11	0.529
K12	0.524
K13	0.526
K14	0.549
K15	0.525
K16	0.521
K17	0.521
K18	0.446
K19	0.442
K20	0.452
K21	0.447
K22	0.549
K23	0.486
