Compound Id	SPH
1	0.666
2	0.56
3	0.731
4	0.834
5	0.807
6	0.808
7	0.829
8	0.902
9	0.582
10	0.81
11	0.818
12	0.683
13	0.61
14	0.836
15	0.98
16	0.849
17	0.789
18	0.641
19	0.533
20	0.552
21	0.795
22	0.798
23	0.605
24	0.559
25	0.807
26	1
27	0.755
28	0.762
29	0.842
30	0.851
31	0.632
32	0.842
33	1
34	0.788
35	0.87
36	0.812
37	0.81
38	0.79
39	0.753
40	0.973
41	0.951
42	1
43	0.573
44	0.782
45	1
46	0.76
47	0.817
48	0.829
49	0.8
50	1
51	0.781
52	0.662
53	0.55
54	0.612
55	0.832
56	1
57	0.675
58	1
59	0.877
60	0.805
61	0.878
62	0.893
63	1
64	0.974
65	0.953
67	0.926
68	0.72
69	0.648
70	0.521
72	0.962
73	0.596
74	0.94
75	1
76	0.771
77	0.561
78	0.867
79	0.964
80	0.949
81	0.95
82	1
83	0.691
84	1
85	0.779
86	1
87	1
88	0.943
89	0.644
90	0.639
92	0.953
93	1
94	1
95	0.951
96	0.75
97	1
98	0.571
99	0.954
100	0.62
101	0.953
102	0.709
103	1
104	0.952
105	1
106	0.955
107	0.612
108	0.946
109	0.457
110	0.511
111	0.956
112	0.959
113	1
114	0.487
115	0.436
116	0.544
117	0.95
118	1
119	1
120	0.679
121	0.971
122	0.423
123	0.688
124	1
125	0.95
126	0.948
127	0.517
128	0.944
129	0.819
131	0.819
132	0.949
K1	1
K2	1
K3	1
K4	1
K5	1
K6	1
K7	1
K8	1
K9	1
K10	1
K11	1
K12	1
K13	1
K14	1
K15	1
K16	1
K17	0.721
K18	0.78
K19	0.772
K20	0.764
K21	0.791
K22	0.858
K23	0.817
