Compound Id	JGI10
1	0.021
2	0.021
3	0.011
4	0.008
5	0
6	0
7	0.006
8	0.006
9	0.021
10	0.006
11	0
12	0.012
13	0.01
14	0.007
15	0.021
16	0.005
17	0
18	0.01
19	0.012
20	0.021
21	0
22	0
23	0.021
24	0.021
25	0
26	0
27	0.011
28	0.006
29	0.006
30	0.006
31	0
32	0.012
33	0
34	0.006
35	0.005
36	0
37	0.006
38	0
39	0
40	0.021
41	0.021
42	0.021
43	0
44	0.014
45	0
46	0.01
47	0.021
48	0.006
49	0.021
50	0.021
51	0.014
52	0
53	0
54	0.005
55	0.01
56	0.006
57	0.021
58	0
59	0.01
60	0
61	0.01
62	0.006
63	0.004
64	0.004
65	0.021
67	0.004
68	0
69	0
70	0
72	0.006
73	0
74	0.004
75	0
76	0
77	0
78	0.009
79	0.006
80	0.014
81	0.01
82	0.008
83	0
84	0
85	0.008
86	0.008
87	0
88	0.012
89	0
90	0.012
92	0.012
93	0.004
94	0
95	0
96	0
97	0
98	0
99	0.009
100	0
101	0.021
102	0
103	0
104	0.012
105	0.012
106	0
107	0
108	0.004
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0.012
119	0
120	0.012
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
131	0
132	0
K1	0
K2	0
K3	0
K4	0
K5	0
K6	0
K7	0
K8	0
K9	0
K10	0
K11	0
K12	0
K13	0
K14	0
K15	0
K16	0
K17	0
K18	0
K19	0
K20	0
K21	0
K22	0.005
K23	0.006
