Compound Id	RTm_plus
1	0.069
2	0.085
3	0.088
4	0.058
5	0.075
6	0.069
7	0.076
8	0.074
9	0.082
10	0.078
11	0.073
12	0.087
13	0.079
14	0.073
15	0.069
16	0.073
17	0.075
18	0.09
19	0.099
20	0.069
21	0.074
22	0.077
23	0.078
24	0.085
25	0.075
26	0.491
27	0.083
28	0.084
29	0.055
30	0.077
31	0.098
32	0.075
33	0.113
34	0.058
35	0.067
36	0.074
37	0.078
38	0.08
39	0.061
40	0.103
41	0.089
42	0.071
43	0.591
44	0.549
45	0.494
46	0.089
47	0.153
48	0.076
49	0.074
50	0.103
51	0.459
52	0.065
53	0.097
54	0.102
55	0.06
56	0.076
57	0.101
58	0.251
59	0.07
60	0.125
61	0.069
62	0.075
63	0.086
64	0.1
65	0.073
67	0.079
68	0.103
69	0.104
70	0.123
72	0.078
73	0.103
74	0.103
75	0.183
76	0.076
77	0.102
78	0.087
79	0.122
80	0.118
81	0.097
82	0.069
83	0.353
84	0.078
85	0.088
86	0.075
87	0.077
88	0.106
89	0.055
90	0.097
92	0.087
93	0.096
94	0.14
95	0.097
96	0.066
97	0.055
98	0.558
99	0.067
100	0.082
101	0.073
102	0.11
103	0.08
104	0.103
105	0.085
106	0.082
107	0.347
108	0.101
109	0.13
110	0.062
111	0.079
112	0.081
113	0.287
114	0.27
115	0.1
116	0.097
117	0.192
118	0.102
119	0.085
120	0.102
121	0.078
122	0.073
123	0.096
124	0.203
125	0.288
126	0.262
127	0.114
128	0.102
129	0.102
131	0.092
132	0.085
K1	0.466
K2	0.466
K3	0.463
K4	0.45
K5	0.456
K6	0.481
K7	0.491
K8	0.477
K9	0.505
K10	0.476
K11	0.468
K12	0.471
K13	0.474
K14	0.463
K15	0.308
K16	0.251
K17	0.055
K18	0.339
K19	0.095
K20	0.074
K21	0.075
K22	0.084
K23	0.075
