Compound Id	EEig02d
1	2.736
2	2.811
3	3.306
4	2.894
5	3.299
6	3.406
7	2.959
8	4.61
9	2.845
10	3.008
11	3.341
12	2.841
13	3.068
14	2.892
15	2.727
16	3.48
17	3.247
18	3.48
19	2.873
20	3.017
21	3.314
22	3.368
23	2.803
24	2.811
25	3.299
26	2.683
27	3.389
28	3.62
29	2.892
30	2.893
31	3.131
32	3.042
33	3.053
34	2.916
35	2.94
36	3.416
37	3.008
38	3.397
39	3.282
40	3.032
41	2.998
42	2.696
43	2.959
44	2.839
45	3.005
46	3.726
47	3.145
48	2.959
49	2.945
50	3.024
51	3.142
52	3.53
53	2.684
54	2.958
55	2.864
56	2.818
57	2.746
58	2.786
59	3.068
60	3.131
61	3.068
62	1.965
63	3.032
64	3.037
65	2.913
67	2.423
68	2.906
69	2.613
70	3.51
72	2.645
73	2.684
74	3.176
75	2.787
76	3.356
77	2.649
78	2.423
79	3.111
80	3.044
81	3
82	2.638
83	3.043
84	2.668
85	2.769
86	2.718
87	2.841
88	3.172
89	3.555
90	2.67
92	3.04
93	3.247
94	2.541
95	3.183
96	2.454
97	2.507
98	3.176
99	2.506
100	3.645
101	2.913
102	2.684
103	2.532
104	3.164
105	3.148
106	2.645
107	3.128
108	3.16
109	3.586
110	3.17
111	2.644
112	2.644
113	3.364
114	4.141
115	2.612
116	2.544
117	2.486
118	3.015
119	2.478
120	2.689
121	2.643
122	2.224
123	2.607
124	2.906
125	2.38
126	2.66
127	3.461
128	3.166
129	2.294
131	2.4
132	2.303
K1	3.541
K2	3.49
K3	3.538
K4	3.385
K5	3.382
K6	3.21
K7	3.193
K8	3.133
K9	3.075
K10	3.207
K11	3.309
K12	3.383
K13	3.202
K14	3.187
K15	3.17
K16	2.799
K17	3.618
K18	3.322
K19	3.403
K20	3.314
K21	3.368
K22	3.073
K23	3.62
