Compound Id	permeability
1	-6.04
2	-4.54
3	-6.17
4	-6.85
5	-4.27
6	-6.42
7	-4.24
8	-4.74
9	-4.51
10	-4.96
11	-4.96
12	-4.25
13	-4.44
14	-5.25
15	-4.37
16	-4.41
17	-5.17
18	-5.18
19	-5.82
20	-4.33
21	-5.33
22	-4.7
23	-4.85
24	-5.59
25	-6.11
26	-4.6
27	-6
28	-4.54
29	-4.35
30	-6.03
31	-5
32	-4.32
33	-5.04
34	-4.1
35	-4.15
36	-4.31
37	-5.8
38	-4.19
39	-4.26
40	-5.1
41	-4.89
42	-5.08
43	-5.35
44	-5.28
45	-6.46
46	-5.19
47	-5.39
48	-5.24
49	-4.92
50	-4.96
51	-5.41
52	-4.74
53	-5.82
54	-4.77
55	-5.77
56	-5.85
57	-5.72
58	-5.89
59	-5.04
60	-5.54
61	-5.6
62	-5.46
63	-4.18
64	-5.42
65	-4.8
66	-5.01
67	-4.13
68	-4.22
69	-5.04
