Compound Id	permeability
1	9.1E-7
2	2.9E-5
3	6.7E-7
4	1.4E-7
5	5.4E-5
6	3.8E-7
7	5.7E-5
8	1.8E-5
9	3.1E-5
10	1.1E-5
11	1.1E-5
12	5.6E-5
13	3.6E-5
14	5.6E-6
15	4.3E-5
16	3.9E-5
17	6.7E-6
18	6.6E-6
19	1.5E-6
20	4.7E-5
21	4.7E-6
22	2.0E-5
23	1.4E-5
24	2.6E-6
25	7.8E-7
26	2.5E-5
27	1.0E-6
28	2.9E-5
29	4.5E-5
30	9.4E-7
31	1.0E-5
32	4.8E-5
33	9.2E-6
34	7.9E-5
35	7.1E-5
36	4.9E-5
37	1.6E-6
38	6.5E-5
39	5.5E-5
40	7.9E-6
41	1.3E-5
42	8.3E-6
43	4.5E-6
44	5.2E-6
45	3.5E-7
46	6.4E-6
47	4.1E-6
48	5.8E-6
49	1.2E-5
50	1.1E-5
51	3.9E-6
52	1.8E-5
53	1.5E-6
54	1.7E-5
55	1.7E-6
56	1.4E-6
57	1.9E-6
58	1.3E-6
59	9.1E-6
60	2.9E-6
61	2.5E-6
62	3.5E-6
63	6.65E-5
64	3.8E-6
65	1.6E-5
66	9.8E-6
67	7.4E-5
68	6.0E-5
69	9.2E-6
