Compound Id	Polar surface area
Tab1_1	92.1
Tab1_2	78.9
Tab1_3	94
Tab1_4	73.5
Tab1_5	87
Tab1_6	39
Tab1_7	26.8
Tab1_8	6
Tab1_9	84.5
Tab1_10	139.2
Tab1_11	88.8
Tab1_12	73.5
Tab1_13	83.9
Tab1_14	84
Tab1_15	78
Tab1_16	76.6
Tab1_17	104.4
Tab1_18	108.8
Tab1_19	135.8
Tab1_20	85.5
Tab1_21	79.5
Tab1_22	82.7
Tab1_23	85.7
Tab1_24	47.9
Tab1_25	45.2
Tab1_26	38.5
Tab1_27	39.1
Tab1_28	40
Tab1_29	39.2
Tab1_30	54.9
Tab1_31	22.7
Tab1_32	0
Tab1_33	0
Tab1_34	0
Tab1_35	23.4
Tab1_36	22.6
Tab1_37	0
Tab1_38	0
Tab1_39	0
Tab1_40	0
Tab1_41	11.3
Tab1_42	11.6
Tab1_43	24.4
Tab1_44	10.7
Tab1_45	0
Tab1_46	0
Tab1_47	0
Tab1_48	11
Tab1_49	0
Tab1_50	0
Tab1_51	54.2
Tab1_52	0
Tab1_53	24.4
Tab1_54	22.7
Tab1_55	0
Tab1_56	0
Tab1_57	0
Tab2_1	29.3
Tab2_2	18.8
Tab2_3	43.1
Tab2_4	40.6
Tab2_5	46.7
Tab2_6	67.5
Tab2_7	44.1
Tab3_1	46.7
Tab3_2	62.7
Tab3_3	76.1
Tab3_4	98.5
Tab3_5	120.4
Tab3_6	5.4
