Compound Id	Maximal electrotopological positive variation
1	2.19
2	1.594
3	1.834
4	4.344
5	4.461
6	4.517
7	2.235
8	4.127
9	4.578
10	1.98
11	4.303
12	5.183
13	3.071
14	1.903
15	3.143
16	3.942
17	2.774
18	4.164
19	4.975
20	4.28
21	4.58
22	2.289
23	2.083
24	2.038
25	4.762
26	4.4
27	3.775
28	4.659
29	5.243
30	1.791
31	3.731
32	4.214
33	2.726
34	4.481
35	2.547
36	4.418
37	2.712
38	4.696
39	4.668
40	4.46
41	1.865
